#separator:Tab
#html:true
#tags column:10
#columns:Card ID	Front	Hint	Back	Instructor Notes	Difficulty	Card Type	Objective	Source	Tags
2.5-B001	"<p>What feature makes a deceptive message a phishing attack rather than merely
unsolicited email?</p>"		"<p>It uses deception to make the recipient reveal information, follow a malicious
link, or perform another unsafe action.</p>"	"<p>Spoofed identity or copied branding can make the lure believable, but the
human-directed attempt to obtain an action or information is the key.</p>"	medium	basic	220-1202 2.5 - Social Engineering, Threats, and Vulnerabilities	CompTIA 220-1202 Exam Objectives v4.0, Objective 2.5; Professor Messer 220-1202 v1.40, p. 35	A+::220-1202::2.5 A+::220-1202::Domain2-Security A+::220-1202::SocialEngineeringThreatsandVulnerabilities Basic HighYield Phishing SocialEngineering Recognition Source::Messer-v140
2.5-B002	"<p>A caller claiming to represent a bank asks a user to confirm account details.
Which phishing variant uses this voice channel?</p>"		<p>Vishing (voice phishing).</p>	"<p>Caller ID can be spoofed, so the displayed number does not authenticate the
caller.</p>"	medium	basic	220-1202 2.5 - Social Engineering, Threats, and Vulnerabilities	CompTIA 220-1202 Exam Objectives v4.0, Objective 2.5; Professor Messer 220-1202 v1.40, p. 35	A+::220-1202::2.5 A+::220-1202::Domain2-Security A+::220-1202::SocialEngineeringThreatsandVulnerabilities Basic HighYield Vishing Phishing Voice Source::Messer-v140
2.5-B003	"<p>A text message claims a package cannot be delivered until the recipient opens
a link and confirms personal information. Which phishing variant is this?</p>"		<p>Smishing (SMS phishing).</p>	"<p>The text-message channel distinguishes smishing from email phishing and
voice-based vishing.</p>"	medium	basic	220-1202 2.5 - Social Engineering, Threats, and Vulnerabilities	CompTIA 220-1202 Exam Objectives v4.0, Objective 2.5; Professor Messer 220-1202 v1.40, p. 35	A+::220-1202::2.5 A+::220-1202::Domain2-Security A+::220-1202::SocialEngineeringThreatsandVulnerabilities Basic HighYield Smishing Phishing SMS Source::Messer-v140
2.5-B004	"<p>An attacker places a replacement QR-code sticker over a legitimate code so
scans open a malicious site. What attack is this?</p>"		<p>QR code phishing.</p>	"<p>The code conceals its destination until it is scanned, making destination
verification an important defense.</p>"	medium	basic	220-1202 2.5 - Social Engineering, Threats, and Vulnerabilities	CompTIA 220-1202 Exam Objectives v4.0, Objective 2.5; Professor Messer 220-1202 v1.40, p. 35	A+::220-1202::2.5 A+::220-1202::Domain2-Security A+::220-1202::SocialEngineeringThreatsandVulnerabilities Basic QRPhishing Phishing Recognition Source::Messer-v140
2.5-B005	<p>How does whaling differ from spear phishing?</p>		"<p>Spear phishing targets a particular person or group; whaling is spear phishing
aimed specifically at a senior executive or other high-value leader.</p>"	"<p>Both are targeted and may use information about the victim. The target's senior
or high-value role is what makes the attack whaling.</p>"	medium	basic	220-1202 2.5 - Social Engineering, Threats, and Vulnerabilities	CompTIA 220-1202 Exam Objectives v4.0, Objective 2.5; Professor Messer 220-1202 v1.40, p. 35	A+::220-1202::2.5 A+::220-1202::Domain2-Security A+::220-1202::SocialEngineeringThreatsandVulnerabilities Basic HighYield SpearPhishing Whaling Comparison Source::Messer-v140
2.5-B006	"<p>What social-engineering attack obtains sensitive information by watching a
person's screen or keyboard?</p>"		<p>Shoulder surfing.</p>	"<p>The observer may be nearby or use a camera or other distant viewing method.
Screen placement and privacy filters help reduce exposure.</p>"	easy	basic	220-1202 2.5 - Social Engineering, Threats, and Vulnerabilities	CompTIA 220-1202 Exam Objectives v4.0, Objective 2.5; Professor Messer 220-1202 v1.40, pp. 35-36	A+::220-1202::2.5 A+::220-1202::Domain2-Security A+::220-1202::SocialEngineeringThreatsandVulnerabilities Basic HighYield ShoulderSurfing PhysicalSecurity Recognition Source::Messer-v140
2.5-B007	"<p>An unauthorized person slips through a controlled door immediately behind an
employee without the employee's consent. What attack occurred?</p>"		<p>Tailgating.</p>	"<p>The approved notes contrast tailgating with piggybacking, where the authorized
person knowingly permits the follower to enter. Neither gives the follower
independent authorization.</p>"	medium	basic	220-1202 2.5 - Social Engineering, Threats, and Vulnerabilities	CompTIA 220-1202 Exam Objectives v4.0, Objective 2.5; Professor Messer 220-1202 v1.40, p. 36	A+::220-1202::2.5 A+::220-1202::Domain2-Security A+::220-1202::SocialEngineeringThreatsandVulnerabilities Basic HighYield Tailgating PhysicalSecurity AccessControl Source::Messer-v140
2.5-B008	"<p>An attacker claims to be from the help desk and uses technical language to
persuade an employee to disclose a code. Which social-engineering method is
central to the attack?</p>"		<p>Impersonation.</p>	"<p>The attacker pretends to hold a trusted identity or role. Authority,
familiarity, and technical detail are persuasion tools, not proof of identity.</p>"	medium	basic	220-1202 2.5 - Social Engineering, Threats, and Vulnerabilities	CompTIA 220-1202 Exam Objectives v4.0, Objective 2.5; Professor Messer 220-1202 v1.40, p. 36	A+::220-1202::2.5 A+::220-1202::Domain2-Security A+::220-1202::SocialEngineeringThreatsandVulnerabilities Basic Impersonation SocialEngineering Trust Source::Messer-v140
2.5-B009	"<p>What attack searches discarded material for names, schedules, invoices, or
other information useful in a later attack?</p>"		<p>Dumpster diving.</p>	"<p>Discarded fragments can make later phishing or impersonation more convincing
even when no password is found.</p>"	easy	basic	220-1202 2.5 - Social Engineering, Threats, and Vulnerabilities	CompTIA 220-1202 Exam Objectives v4.0, Objective 2.5; Professor Messer 220-1202 v1.40, p. 36	A+::220-1202::2.5 A+::220-1202::Domain2-Security A+::220-1202::SocialEngineeringThreatsandVulnerabilities Basic DumpsterDiving SocialEngineering InformationGathering Source::Messer-v140
2.5-B010	"<p>What distinguishes a distributed denial-of-service attack from a general
denial-of-service attack?</p>"		"<p>A DDoS attack coordinates the disruption from many systems, while a DoS attack
does not require multiple distributed sources.</p>"	"<p>Both target availability. DDoS commonly uses a botnet to exhaust bandwidth or
service resources from many origins at once.</p>"	medium	basic	220-1202 2.5 - Social Engineering, Threats, and Vulnerabilities	CompTIA 220-1202 Exam Objectives v4.0, Objective 2.5; Professor Messer 220-1202 v1.40, p. 36	A+::220-1202::2.5 A+::220-1202::Domain2-Security A+::220-1202::SocialEngineeringThreatsandVulnerabilities Basic HighYield DoS DDoS Availability Comparison Source::Messer-v140
