#separator:Tab
#html:true
#tags column:10
#columns:Card ID	Front	Hint	Back	Instructor Notes	Difficulty	Card Type	Objective	Source	Tags
3.5-B001	<p>When choosing among ATX, microATX, and ITX motherboards, what is the main tradeoff a technician is evaluating?</p>		<p>The tradeoff is system size versus expansion room. ATX usually provides the most room and expansion, microATX reduces size with fewer slots, and ITX prioritizes very small systems.</p>	"<h3>Why</h3>
<p>Form factor affects case fit, mounting, power layout, airflow, and expansion capacity. Exact dimensions are less useful than recognizing which board class fits the scenario.</p>"	medium	basic	220-1201 3.5 - Motherboards, CPUs, and Add-on Cards	Professor Messer 220-1201 v1.70 p.34; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.5	A+::220-1201::3.5 A+::220-1201::Domain3-Hardware A+::220-1201::MotherboardsCPUsandAddonCards Basic HighYield Motherboard FormFactor Source::Messer-v170
3.5-B002	<p>A desktop build needs a smaller motherboard but still needs broad case and power compatibility. Why might microATX be a reasonable choice?</p>		<p>microATX is smaller than ATX but commonly keeps similar mounting and power compatibility, with the main tradeoff being fewer expansion slots.</p>	"<h3>Distinction</h3>
<p>microATX is not the smallest option in the objective. It is a middle ground between full-size ATX expansion and very compact ITX systems.</p>"	medium	basic	220-1201 3.5 - Motherboards, CPUs, and Add-on Cards	Professor Messer 220-1201 v1.70 p.34; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.5	A+::220-1201::3.5 A+::220-1201::Domain3-Hardware A+::220-1201::MotherboardsCPUsandAddonCards Basic Motherboard FormFactor Source::Messer-v170
3.5-B003	<p>What type of system is ITX best suited for compared with ATX?</p>		<p>ITX is best suited for compact or small-form-factor systems where low size and limited expansion are acceptable.</p>	"<h3>Exam Angle</h3>
<p>ITX often appears in scenarios where the system is space-constrained or single-purpose. Do not choose it when the scenario requires many adapter cards.</p>"	medium	basic	220-1201 3.5 - Motherboards, CPUs, and Add-on Cards	Professor Messer 220-1201 v1.70 p.34; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.5	A+::220-1201::3.5 A+::220-1201::Domain3-Hardware A+::220-1201::MotherboardsCPUsandAddonCards Basic Motherboard FormFactor Source::Messer-v170
3.5-B004	<p>How should a technician distinguish PCI from PCIe when selecting an expansion slot?</p>		<p>PCI is an older parallel expansion bus, while PCIe is the newer serial expansion interface used for modern adapter cards and scalable lane widths.</p>	"<h3>Distinction</h3>
<p>PCIe replaced PCI for most modern expansion-card use. PCIe slots may have different lane sizes, such as x1 or x16, so the card and slot documentation still matters.</p>"	medium	basic	220-1201 3.5 - Motherboards, CPUs, and Add-on Cards	Professor Messer 220-1201 v1.70 p.35; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.5	A+::220-1201::3.5 A+::220-1201::Domain3-Hardware A+::220-1201::MotherboardsCPUsandAddonCards Basic HighYield Motherboard PCIe ExpansionCards Source::Messer-v170
3.5-B005	<p>What is the purpose of motherboard headers during a PC build?</p>		<p>Headers are motherboard pin blocks used for small internal or case wiring connections.</p>	"<h3>Why</h3>
<p>Headers are easy to confuse with expansion slots. Expansion slots accept add-on cards; headers are smaller motherboard connection points for wiring.</p>"	medium	basic	220-1201 3.5 - Motherboards, CPUs, and Add-on Cards	Professor Messer 220-1201 v1.70 p.35; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.5	A+::220-1201::3.5 A+::220-1201::Domain3-Hardware A+::220-1201::MotherboardsCPUsandAddonCards Basic HighYield Motherboard Headers Source::Messer-v170
3.5-B006	<p>Why might a video card need a power cable in addition to being installed in a PCIe slot?</p>		<p>High-power PCIe cards may need separate 6-pin or 8-pin PCIe power connectors because the slot alone may not provide enough power.</p>	"<h3>Scope Boundary</h3>
<p>Objective 3.5 includes motherboard and adapter-card power connectors. Overall power-supply selection belongs mainly to Objective 3.6.</p>"	medium	basic	220-1201 3.5 - Motherboards, CPUs, and Add-on Cards	Professor Messer 220-1201 v1.70 p.35; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.5	A+::220-1201::3.5 A+::220-1201::Domain3-Hardware A+::220-1201::MotherboardsCPUsandAddonCards Basic Motherboard Power PCIe Source::Messer-v170
3.5-B007	<p>What is the practical difference between SATA and eSATA motherboard connections?</p>		<p>SATA is used for internal storage connections, while eSATA is the external version used for external SATA storage devices.</p>	"<h3>Distinction</h3>
<p>Both are storage-related interfaces. The key exam distinction in this objective is internal connector versus external connector.</p>"	easy	basic	220-1201 3.5 - Motherboards, CPUs, and Add-on Cards	Professor Messer 220-1201 v1.70 p.26; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.5	A+::220-1201::3.5 A+::220-1201::Domain3-Hardware A+::220-1201::MotherboardsCPUsandAddonCards Basic Motherboard SATA Source::Messer-v170
3.5-B008	<p>What should a technician verify before installing a device in an M.2 motherboard connector?</p>		<p>Verify that the motherboard supports the device type, keying, size, and interface required by the M.2 device.</p>	"<h3>Why</h3>
<p>M.2 is a physical connector family, not a guarantee that every M.2 device works in every M.2 slot. The motherboard documentation controls compatibility.</p>"	medium	basic	220-1201 3.5 - Motherboards, CPUs, and Add-on Cards	Professor Messer 220-1201 v1.70 p.32; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.5	A+::220-1201::3.5 A+::220-1201::Domain3-Hardware A+::220-1201::MotherboardsCPUsandAddonCards Basic Motherboard M2 Source::Messer-v170
3.5-B009	<p>What is the first compatibility item to check before installing a CPU in a motherboard?</p>		<p>Check that the motherboard supports the CPU socket and processor family; AMD and Intel CPUs are not interchangeable between socket families.</p>	"<h3>Why</h3>
<p>Socket compatibility is a hard physical and electrical boundary. Chipset and firmware support can also matter, but the socket is the first practical install check.</p>"	medium	basic	220-1201 3.5 - Motherboards, CPUs, and Add-on Cards	Professor Messer 220-1201 v1.70 p.35; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.5	A+::220-1201::3.5 A+::220-1201::Domain3-Hardware A+::220-1201::MotherboardsCPUsandAddonCards Basic HighYield Motherboard CPU Compatibility Source::Messer-v170
3.5-B010	<p>What does a multisocket motherboard support?</p>		<p>A multisocket motherboard supports more than one physical CPU package on the same motherboard.</p>	"<h3>Distinction</h3>
<p>Multisocket is not the same as multicore. Multisocket means multiple CPU packages; multicore means multiple cores inside a CPU package.</p>"	easy	basic	220-1201 3.5 - Motherboards, CPUs, and Add-on Cards	Professor Messer 220-1201 v1.70 p.35; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.5	A+::220-1201::3.5 A+::220-1201::Domain3-Hardware A+::220-1201::MotherboardsCPUsandAddonCards Basic Motherboard CPU Source::Messer-v170
3.5-B011	<p>What does changing the boot order in BIOS/UEFI control?</p>		<p>It controls which bootable device the system tries first, and which devices it tries next if the first option does not boot.</p>	"<h3>Why</h3>
<p>Boot order is a firmware setting. It is commonly changed when installing an operating system, recovering a system, or preventing unauthorized USB boot.</p>"	easy	basic	220-1201 3.5 - Motherboards, CPUs, and Add-on Cards	Professor Messer 220-1201 v1.70 p.36; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.5	A+::220-1201::3.5 A+::220-1201::Domain3-Hardware A+::220-1201::MotherboardsCPUsandAddonCards Basic BIOS UEFI Boot Source::Messer-v170
3.5-B012	<p>Why might an organization disable or restrict USB access in BIOS/UEFI?</p>		<p>To reduce the risk of unauthorized removable storage, data transfer, or booting from external USB devices.</p>	"<h3>Why</h3>
<p>USB permissions are a firmware-level security control. They can stop access before the operating system loads or before OS policy is applied.</p>"	medium	basic	220-1201 3.5 - Motherboards, CPUs, and Add-on Cards	Professor Messer 220-1201 v1.70 p.36; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.5	A+::220-1201::3.5 A+::220-1201::Domain3-Hardware A+::220-1201::MotherboardsCPUsandAddonCards Basic BIOS UEFI USB Source::Messer-v170
3.5-B013	<p>What is the purpose of Secure Boot in UEFI?</p>		<p>Secure Boot helps ensure that trusted, signed startup software is used during the boot process.</p>	"<h3>Exam Trap</h3>
<p>Secure Boot is not a boot password. It verifies trust in startup code; a password controls access to startup or firmware settings.</p>"	medium	basic	220-1201 3.5 - Motherboards, CPUs, and Add-on Cards	Professor Messer 220-1201 v1.70 p.37; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.5	A+::220-1201::3.5 A+::220-1201::Domain3-Hardware A+::220-1201::MotherboardsCPUsandAddonCards Basic HighYield UEFI SecureBoot Security Source::Messer-v170
