#separator:Tab
#html:true
#tags column:10
#columns:Card ID	Prompt	Typed Answer	Back	Instructor Notes	Difficulty	Card Type	Objective	Source	Tags
1.9-T001	<p>Type the base Linux command that lists directory contents.</p>	ls	<p><code>ls</code> lists files and directories.</p>	<p>Use <code>pwd</code> instead when the question asks for the current directory's path.</p>	easy	command	220-1202 1.9 - Linux Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.9; Professor Messer 220-1202 v1.40, p. 19	A+::220-1202::1.9 A+::220-1202::Domain1-OperatingSystems A+::220-1202::LinuxFeaturesandTools Command Linux CLI FileManagement Source::Messer-v140
1.9-T002	<p>Type the Linux command that prints the current working directory path.</p>	pwd	<p><code>pwd</code> means “print working directory.”</p>	"<p>This confirms location after moving among directories; <code>ls</code> instead shows what
the current location contains.</p>"	easy	command	220-1202 1.9 - Linux Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.9; Professor Messer 220-1202 v1.40, p. 19	A+::220-1202::1.9 A+::220-1202::Domain1-OperatingSystems A+::220-1202::LinuxFeaturesandTools Command Linux CLI Navigation Source::Messer-v140
1.9-T003	<p>Type the base Linux command that moves or renames a file.</p>	mv	<p><code>mv</code> uses a source and destination.</p>	"<p>Changing only the destination name performs a rename; <code>cp</code> leaves the source
in place by creating a copy.</p>"	easy	command	220-1202 1.9 - Linux Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.9; Professor Messer 220-1202 v1.40, p. 19	A+::220-1202::1.9 A+::220-1202::Domain1-OperatingSystems A+::220-1202::LinuxFeaturesandTools Command Linux CLI FileManagement Source::Messer-v140
1.9-T004	<p>Type the base Linux command that copies a file.</p>	cp	<p><code>cp</code> duplicates a source at a destination.</p>	"<p>Use <code>mv</code> when the source should be moved or renamed rather than retained as a
separate copy.</p>"	easy	command	220-1202 1.9 - Linux Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.9; Professor Messer 220-1202 v1.40, p. 19	A+::220-1202::1.9 A+::220-1202::Domain1-OperatingSystems A+::220-1202::LinuxFeaturesandTools Command Linux CLI FileManagement Source::Messer-v140
1.9-T005	<p>Type the base Linux command that removes files or directories.</p>	rm	<p><code>rm</code> removes the specified items.</p>	"<p>Directory removal needs additional conditions or options; the official
Objective 1.9 recall target is the base command.</p>"	easy	command	220-1202 1.9 - Linux Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.9; Professor Messer 220-1202 v1.40, p. 19	A+::220-1202::1.9 A+::220-1202::Domain1-OperatingSystems A+::220-1202::LinuxFeaturesandTools Command Linux CLI FileManagement Source::Messer-v140
1.9-T006	<p>Type the base Linux command that changes read, write, or execute permissions.</p>	chmod	<p><code>chmod</code> changes an object's access mode.</p>	"<p>Use <code>chown</code> for ownership. Permission modes can be expressed symbolically or
with octal notation.</p>"	easy	command	220-1202 1.9 - Linux Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.9; Professor Messer 220-1202 v1.40, p. 20	A+::220-1202::1.9 A+::220-1202::Domain1-OperatingSystems A+::220-1202::LinuxFeaturesandTools Command HighYield Linux CLI Permissions Source::Messer-v140
1.9-T007	<p>Type the base Linux command that changes a file's owner or group.</p>	chown	<p><code>chown</code> changes ownership information.</p>	"<p>Ownership and access mode are separate: <code>chmod</code> changes permissions without
changing which user owns the file.</p>"	easy	command	220-1202 1.9 - Linux Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.9; Professor Messer 220-1202 v1.40, p. 19	A+::220-1202::1.9 A+::220-1202::Domain1-OperatingSystems A+::220-1202::LinuxFeaturesandTools Command Linux CLI Ownership Source::Messer-v140
1.9-T008	<p>Type the base Linux command that searches text for a pattern.</p>	grep	<p><code>grep</code> finds matching text in input or files.</p>	"<p>Use <code>find</code> to locate filesystem entries by criteria such as filename; use
<code>grep</code> when the target is text content.</p>"	easy	command	220-1202 1.9 - Linux Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.9; Professor Messer 220-1202 v1.40, p. 19	A+::220-1202::1.9 A+::220-1202::Domain1-OperatingSystems A+::220-1202::LinuxFeaturesandTools Command HighYield Linux CLI Search Source::Messer-v140
1.9-T009	"<p>Type the base Linux command that searches a directory tree for files matching
criteria such as a name.</p>"	find	<p><code>find</code> searches filesystem paths.</p>	"<p><code>grep</code> searches text content instead. The distinction is pathname search
versus content search.</p>"	easy	command	220-1202 1.9 - Linux Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.9; Professor Messer 220-1202 v1.40, p. 20	A+::220-1202::1.9 A+::220-1202::Domain1-OperatingSystems A+::220-1202::LinuxFeaturesandTools Command Linux CLI Search Source::Messer-v140
1.9-T010	<p>Type the base Linux command that checks a filesystem for logical errors.</p>	fsck	<p><code>fsck</code> means “file system check.”</p>	"<p>The approved notes specify an unmounted or read-only volume for checking and
repair; the base-command association is the recall target here.</p>"	easy	command	220-1202 1.9 - Linux Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.9; Professor Messer 220-1202 v1.40, p. 20	A+::220-1202::1.9 A+::220-1202::Domain1-OperatingSystems A+::220-1202::LinuxFeaturesandTools Command HighYield Linux CLI Filesystems Source::Messer-v140
