#separator:Tab
#html:true
#tags column:10
#columns:Card ID	Front	Hint	Back	Instructor Notes	Difficulty	Card Type	Objective	Source	Tags
3.4-B001	<p>What is the key practical difference between an HDD and an SSD when comparing storage devices?</p>		<p>An HDD uses spinning magnetic media and moving parts, while an SSD uses non-volatile flash memory with no moving parts.</p>	"<h3>Why</h3>
<p>The moving-parts difference affects performance, durability, noise, and failure modes. Both are non-volatile storage, but an SSD avoids mechanical seek and rotation delays.</p>"	medium	basic	220-1201 3.4 - Storage Devices	Professor Messer 220-1201 v1.70 p.32; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.4	A+::220-1201::3.4 A+::220-1201::Domain3-Hardware A+::220-1201::StorageDevices Basic HighYield Storage HDD SSD Source::Messer-v170
3.4-B002	<p>When comparing hard-drive form factors, where are 2.5-inch and 3.5-inch drives commonly used?</p>		<p>2.5-inch drives are common in laptops and compact systems; 3.5-inch drives are common in desktops and storage enclosures.</p>	"<h3>Why</h3>
<p>The form factor is a physical fit requirement. Capacity or interface alone does not make a drive suitable if the bay or enclosure expects a different size.</p>"	easy	basic	220-1201 3.4 - Storage Devices	Professor Messer 220-1201 v1.70 p.32; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.4	A+::220-1201::3.4 A+::220-1201::Domain3-Hardware A+::220-1201::StorageDevices Basic Storage HDD FormFactors Source::Messer-v170
3.4-B003	<p>A user wants the fastest supported SSD option for a modern motherboard. Why would NVMe normally be preferred over SATA if the system supports it?</p>		<p>NVMe is designed for SSD performance over PCIe, while SATA is an older storage interface that can limit modern SSD throughput.</p>	"<h3>Exam Trap</h3>
<p>The right answer still depends on system support. An NVMe drive is not a safe purchase unless the motherboard, slot, firmware, and physical keying support it.</p>"	medium	basic	220-1201 3.4 - Storage Devices	Professor Messer 220-1201 v1.70 p.32; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.4	A+::220-1201::3.4 A+::220-1201::Domain3-Hardware A+::220-1201::StorageDevices Basic HighYield SSD NVMe SATA Source::Messer-v170
3.4-B004	<p>Why is PCIe useful for high-performance SSD storage?</p>		<p>PCIe provides a high-speed bus path that SSDs can use for much higher throughput than older storage interfaces.</p>	"<h3>Why</h3>
<p>PCIe storage may appear as an add-in card or through an M.2 slot using PCIe lanes. The exam point is the high-speed storage path, not a specific product shape.</p>"	easy	basic	220-1201 3.4 - Storage Devices	Professor Messer 220-1201 v1.70 p.32; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.4	A+::220-1201::3.4 A+::220-1201::Domain3-Hardware A+::220-1201::StorageDevices Basic SSD PCIe Source::Messer-v170
3.4-B005	<p>Why is it unsafe to assume that every M.2 SSD uses NVMe?</p>		<p>M.2 describes the physical module interface and keying; an M.2 slot or drive may use NVMe/PCIe, SATA/AHCI, or only the modes the platform supports.</p>	"<h3>Exam Trap</h3>
<p>M.2 is a form factor/interface shape, not a protocol guarantee. Compatibility depends on the drive key, slot support, and system documentation.</p>"	medium	basic	220-1201 3.4 - Storage Devices	Professor Messer 220-1201 v1.70 p.32; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.4	A+::220-1201::3.4 A+::220-1201::Domain3-Hardware A+::220-1201::StorageDevices Basic HighYield SSD M2 ExamTrap Source::Messer-v170
3.4-B006	<p>In what kind of environment is SAS storage most likely to be chosen?</p>		<p>SAS is most likely in higher-end storage systems or large storage arrays that need enterprise-style drive management and throughput.</p>	"<h3>Why</h3>
<p>SAS is not the normal consumer desktop storage choice. It is associated with managed storage arrays and server-class storage designs.</p>"	medium	basic	220-1201 3.4 - Storage Devices	Professor Messer 220-1201 v1.70 p.32; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.4	A+::220-1201::3.4 A+::220-1201::Domain3-Hardware A+::220-1201::StorageDevices Basic Storage SAS Source::Messer-v170
3.4-B007	<p>What was the purpose of mSATA storage compared with a 2.5-inch SATA drive?</p>		<p>mSATA provided SATA-based storage in a smaller card-style form factor for compact systems.</p>	"<h3>Why</h3>
<p>mSATA is mainly a form-factor distinction. Modern systems more commonly use M.2, so checking the actual slot type matters before ordering a replacement.</p>"	easy	basic	220-1201 3.4 - Storage Devices	Professor Messer 220-1201 v1.70 p.32; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.4	A+::220-1201::3.4 A+::220-1201::Domain3-Hardware A+::220-1201::StorageDevices Basic Storage mSATA M2 Source::Messer-v170
3.4-B008	<p>Why should flash drives and memory cards not be treated as the only copy of important data?</p>		<p>They are portable flash storage that can be lost, damaged, or wear out, so important data still needs a separate backup.</p>	"<h3>Why</h3>
<p>Removable flash storage is useful for transfer and convenience. It is not the same thing as a managed backup or archival strategy.</p>"	easy	basic	220-1201 3.4 - Storage Devices	Professor Messer 220-1201 v1.70 p.32; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.4	A+::220-1201::3.4 A+::220-1201::Domain3-Hardware A+::220-1201::StorageDevices Basic Storage RemovableStorage Flash Source::Messer-v170
3.4-B009	<p>When would an optical drive still be a reasonable storage device choice?</p>		<p>When removable disc media is required, such as for legacy installation media, offline distribution, or archival-style storage.</p>	"<h3>Why</h3>
<p>Optical storage is slower than modern SSDs and flash drives, but it can still matter when the requirement is compatibility with removable disc media.</p>"	easy	basic	220-1201 3.4 - Storage Devices	Professor Messer 220-1201 v1.70 p.32; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.4	A+::220-1201::3.4 A+::220-1201::Domain3-Hardware A+::220-1201::StorageDevices Basic Storage OpticalDrives Source::Messer-v170
3.4-B010	<p>Why is RAID not a replacement for backups?</p>		<p>RAID can improve availability after some drive failures, but it does not protect against deleted files, malware, corruption, theft, or site-wide loss.</p>	"<h3>Exam Trap</h3>
<p>RAID answers the availability problem: can the system keep using the storage after a drive failure? Backups answer the recovery problem: can lost or damaged data be restored?</p>"	medium	basic	220-1201 3.4 - Storage Devices	Professor Messer 220-1201 v1.70 p.33; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.4	A+::220-1201::3.4 A+::220-1201::Domain3-Hardware A+::220-1201::StorageDevices Basic HighYield RAID Backups ExamTrap Source::Messer-v170
