#separator:Tab
#html:true
#tags column:10
#columns:Card ID	Front	Hint	Back	Instructor Notes	Difficulty	Card Type	Objective	Source	Tags
1.2-B001	<p>What two conditions must be true to install an OS from a USB drive?</p>		<p>The USB drive must be bootable, and the computer must support booting from USB.</p>	"<p>A USB installer is local boot media. If either the media is not bootable or the
system cannot boot from USB, the installation cannot start that way.</p>"	easy	basic	220-1202 1.2 - OS Installations and Upgrades	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.2; Professor Messer 220-1202 v1.40, p. 3	A+::220-1202::1.2 A+::220-1202::Domain1-OperatingSystems A+::220-1202::OSInstallationsandUpgrades Basic Installation Boot Source::Messer-v140
1.2-B002	"<p>A technician wants a computer to boot from the network and start an OS
installation from a remote source. Which boot method fits?</p>"		<p>PXE network boot.</p>	"<p>PXE is the network-boot path for remote installation. The target computer must
support PXE booting.</p>"	medium	basic	220-1202 1.2 - OS Installations and Upgrades	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.2; Professor Messer 220-1202 v1.40, p. 3	A+::220-1202::1.2 A+::220-1202::Domain1-OperatingSystems A+::220-1202::OSInstallationsandUpgrades Basic Installation Network Source::Messer-v140
1.2-B003	"<p>A user needs Windows and Linux available on the same computer and wants to
choose between them at startup. What installation approach supports this?</p>"		"<p>Configure a multiboot system with separate bootable operating-system
installations.</p>"	"<p>Multiboot presents a boot menu for selecting among installed operating systems.
It is different from replacing the old OS with a clean install.</p>"	medium	basic	220-1202 1.2 - OS Installations and Upgrades	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.2; Professor Messer 220-1202 v1.40, p. 3	A+::220-1202::1.2 A+::220-1202::Domain1-OperatingSystems A+::220-1202::OSInstallationsandUpgrades Basic Installation Multiboot Source::Messer-v140
1.2-B004	"<p>Which installation type should be chosen when the goal is to start over with a
fresh OS environment and the existing data does not need to remain in place?</p>"		<p>A clean install.</p>	"<p>A clean install wipes or replaces the existing environment. Backups and
application reinstall plans matter before choosing it on a user system.</p>"	medium	basic	220-1202 1.2 - OS Installations and Upgrades	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.2; Professor Messer 220-1202 v1.40, pp. 3-4	A+::220-1202::1.2 A+::220-1202::Domain1-OperatingSystems A+::220-1202::OSInstallationsandUpgrades Basic HighYield Installation Backup Source::Messer-v140
1.2-B005	"<p>Which upgrade method keeps existing applications, documents, and settings when
the upgrade path supports it?</p>"		<p>An in-place upgrade.</p>	"<p>An in-place upgrade starts from inside the existing OS. It is the preservation
choice, but it still depends on supported upgrade paths and compatibility.</p>"	medium	basic	220-1202 1.2 - OS Installations and Upgrades	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.2; Professor Messer 220-1202 v1.40, p. 4	A+::220-1202::1.2 A+::220-1202::Domain1-OperatingSystems A+::220-1202::OSInstallationsandUpgrades Basic HighYield Upgrade Installation Source::Messer-v140
1.2-B006	"<p>Which installation method deploys a prepared clone or standardized build to
systems quickly?</p>"		<p>Image deployment.</p>	"<p>Image deployment is useful when many devices should receive the same baseline
configuration. It is not the same as preserving each user's existing local
applications and files.</p>"	medium	basic	220-1202 1.2 - OS Installations and Upgrades	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.2; Professor Messer 220-1202 v1.40, p. 3	A+::220-1202::1.2 A+::220-1202::Domain1-OperatingSystems A+::220-1202::OSInstallationsandUpgrades Basic HighYield Deployment Installation Source::Messer-v140
1.2-B007	"<p>A company ships laptops directly to remote users and wants the installation and
company-specific configuration to complete with minimal user input. Which
deployment approach fits?</p>"		<p>Zero-touch deployment.</p>	"<p>Zero-touch deployment automates the installation and configuration workflow so a
remote user can receive a system that sets itself up.</p>"	medium	basic	220-1202 1.2 - OS Installations and Upgrades	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.2; Professor Messer 220-1202 v1.40, p. 3	A+::220-1202::1.2 A+::220-1202::Domain1-OperatingSystems A+::220-1202::OSInstallationsandUpgrades Basic HighYield Deployment Automation Source::Messer-v140
1.2-B008	<p>What is the purpose of a recovery partition during OS installation or recovery?</p>		<p>It is a hidden partition that stores installation or recovery files.</p>	"<p>A recovery partition must already exist to be useful. Do not assume it is
available on every system or that it performs every kind of upgrade.</p>"	easy	basic	220-1202 1.2 - OS Installations and Upgrades	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.2; Professor Messer 220-1202 v1.40, p. 3	A+::220-1202::1.2 A+::220-1202::Domain1-OperatingSystems A+::220-1202::OSInstallationsandUpgrades Basic Recovery Installation Source::Messer-v140
1.2-B009	<p>What is a repair installation used for during Windows installation work?</p>		"<p>It is used to fix problems with the existing Windows OS without modifying user
files.</p>"	"<p>A repair installation targets the current Windows installation. It is different
from a clean install, which starts over, and from an in-place upgrade, which
moves an existing OS to a newer supported version.</p>"	medium	basic	220-1202 1.2 - OS Installations and Upgrades	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.2; Professor Messer 220-1202 v1.40, p. 3	A+::220-1202::1.2 A+::220-1202::Domain1-OperatingSystems A+::220-1202::OSInstallationsandUpgrades Basic Repair Windows Source::Messer-v140
1.2-B010	"<p>During an OS install, the installer cannot see the target storage controller.
What should the technician consider loading?</p>"		<p>The appropriate third-party storage or disk-controller driver.</p>	"<p>Some installers need additional drivers before they can access the storage
hardware. This is different from choosing a different installation type.</p>"	medium	basic	220-1202 1.2 - OS Installations and Upgrades	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.2; Professor Messer 220-1202 v1.40, p. 3	A+::220-1202::1.2 A+::220-1202::Domain1-OperatingSystems A+::220-1202::OSInstallationsandUpgrades Basic HighYield Drivers Installation Source::Messer-v140
