#separator:Tab
#html:true
#tags column:10
#columns:Card ID	Front	Hint	Back	Instructor Notes	Difficulty	Card Type	Objective	Source	Tags
4.1-B001	<p>What is a virtual machine?</p>		<p>A virtual machine is a software-defined computer that runs as a guest with its own operating system, resources, and settings on shared physical hardware.</p>	"<h3>Why</h3>
<p>The host owns the real hardware, but each guest behaves like a separate computer. This separation lets one physical system run multiple operating systems or workloads.</p>"	easy	basic	220-1201 4.1 - Virtualization Concepts	Professor Messer 220-1201 v1.70 p.46; CompTIA 220-1201 Exam Objectives v4.0, Objective 4.1	A+::220-1201::4.1 A+::220-1201::Domain4-VirtualizationCloud A+::220-1201::VirtualizationConcepts Basic Virtualization VM Source::Messer-v170
4.1-B002	<p>Why use a virtual machine as a sandbox?</p>		<p>A VM sandbox isolates testing from the real production system, so changes, failures, or unsafe behavior are less likely to affect the host or production environment.</p>	"<h3>Why</h3>
<p>Sandboxing is useful for testing code, configuration changes, or suspicious behavior. Snapshots can also help return the VM to a known state after testing.</p>"	medium	basic	220-1201 4.1 - Virtualization Concepts	Professor Messer 220-1201 v1.70 p.46; CompTIA 220-1201 Exam Objectives v4.0, Objective 4.1	A+::220-1201::4.1 A+::220-1201::Domain4-VirtualizationCloud A+::220-1201::VirtualizationConcepts Basic HighYield Virtualization Sandbox Source::Messer-v170
4.1-B003	<p>How do virtual machines support test and development work?</p>		<p>They provide separate environments where developers can build and test software before it reaches production.</p>	"<h3>Distinction</h3>
<p>Development is where the application is built. Testing is where the pieces are checked together before release. VMs help keep both stages separate from production systems.</p>"	easy	basic	220-1201 4.1 - Virtualization Concepts	Professor Messer 220-1201 v1.70 p.46; CompTIA 220-1201 Exam Objectives v4.0, Objective 4.1	A+::220-1201::4.1 A+::220-1201::Domain4-VirtualizationCloud A+::220-1201::VirtualizationConcepts Basic Virtualization Development Source::Messer-v170
4.1-B004	<p>A business app only runs correctly on an older operating system. How can virtualization help?</p>		<p>Run the older operating system in a VM and install the legacy application inside that guest.</p>	"<h3>Why</h3>
<p>This keeps the old application environment available without requiring the entire physical computer to run the older operating system.</p>"	medium	basic	220-1201 4.1 - Virtualization Concepts	Professor Messer 220-1201 v1.70 p.46; CompTIA 220-1201 Exam Objectives v4.0, Objective 4.1	A+::220-1201::4.1 A+::220-1201::Domain4-VirtualizationCloud A+::220-1201::VirtualizationConcepts Basic Virtualization LegacySoftware Source::Messer-v170
4.1-B005	<p>What problem does cross-platform virtualization solve?</p>		<p>It lets a user run operating systems or applications from different platforms on the same physical computer without rebooting between them.</p>	"<h3>Why</h3>
<p>No single operating system runs every tool. Cross-platform virtualization lets a user move between guests, such as Windows, Linux, or macOS environments, on one host.</p>"	medium	basic	220-1201 4.1 - Virtualization Concepts	Professor Messer 220-1201 v1.70 p.46; CompTIA 220-1201 Exam Objectives v4.0, Objective 4.1	A+::220-1201::4.1 A+::220-1201::Domain4-VirtualizationCloud A+::220-1201::VirtualizationConcepts Basic HighYield Virtualization CrossPlatform Source::Messer-v170
4.1-B006	<p>What is the purpose of a hypervisor?</p>		<p>A hypervisor creates and manages the virtual platform for guest operating systems.</p>	"<h3>Why</h3>
<p>The hypervisor manages virtualized CPU, memory, storage, networking, and guest operation. It is also called a virtual machine manager.</p>"	easy	basic	220-1201 4.1 - Virtualization Concepts	Professor Messer 220-1201 v1.70 p.46; CompTIA 220-1201 Exam Objectives v4.0, Objective 4.1	A+::220-1201::4.1 A+::220-1201::Domain4-VirtualizationCloud A+::220-1201::VirtualizationConcepts Basic HighYield Virtualization Hypervisor Source::Messer-v170
4.1-B007	<p>What distinguishes a Type 1 hypervisor from a Type 2 hypervisor?</p>		<p>A Type 1 hypervisor runs directly on the hardware as the primary platform; a Type 2 hypervisor runs on top of an existing host operating system.</p>	"<h3>Exam Trap</h3>
<p>Type 1 is often called bare metal. Type 2 is often called hosted.</p>"	medium	basic	220-1201 4.1 - Virtualization Concepts	Professor Messer 220-1201 v1.70 p.46; CompTIA 220-1201 Exam Objectives v4.0, Objective 4.1	A+::220-1201::4.1 A+::220-1201::Domain4-VirtualizationCloud A+::220-1201::VirtualizationConcepts Basic HighYield Virtualization Hypervisor Type1 Source::Messer-v170
4.1-B008	<p>A technician installs virtualization software as an app inside Windows. Which hypervisor type is this?</p>		<p>Type 2, because the hypervisor is hosted by an existing operating system.</p>	"<h3>Why</h3>
<p>Hosted hypervisors are common for desktop labs and client-side testing. The host OS starts first, and the VMs run above that host OS.</p>"	medium	basic	220-1201 4.1 - Virtualization Concepts	Professor Messer 220-1201 v1.70 p.46; CompTIA 220-1201 Exam Objectives v4.0, Objective 4.1	A+::220-1201::4.1 A+::220-1201::Domain4-VirtualizationCloud A+::220-1201::VirtualizationConcepts Basic HighYield Virtualization Hypervisor Type2 Source::Messer-v170
4.1-B009	<p>Why must a virtualization host be sized for CPU, memory, and storage?</p>		<p>The host platform needs suitable CPU virtualization support, enough memory for the host and guests, and enough storage for each guest's virtual disk image.</p>	"<h3>Distinction</h3>
<p>Virtualization adds overhead. CPU virtualization support belongs to the host platform, while each guest consumes allocated CPU time, memory, storage, and virtual hardware.</p>"	medium	basic	220-1201 4.1 - Virtualization Concepts	Professor Messer 220-1201 v1.70 p.47; CompTIA 220-1201 Exam Objectives v4.0, Objective 4.1	A+::220-1201::4.1 A+::220-1201::Domain4-VirtualizationCloud A+::220-1201::VirtualizationConcepts Basic Virtualization Resources Source::Messer-v170
4.1-B010	<p>How do NAT, bridged, and private VM networking differ?</p>		<p>NAT shares the host's network connection, bridged networking makes the VM appear as a device on the physical network, and private networking keeps the VM inside an internal virtual network.</p>	"<h3>Distinction</h3>
<p>Choose the network mode based on the communication requirement. Some VMs need outside access, some need to appear on the LAN, and some should remain isolated.</p>"	medium	basic	220-1201 4.1 - Virtualization Concepts	Professor Messer 220-1201 v1.70 p.47; CompTIA 220-1201 Exam Objectives v4.0, Objective 4.1	A+::220-1201::4.1 A+::220-1201::Domain4-VirtualizationCloud A+::220-1201::VirtualizationConcepts Basic HighYield Virtualization Networking Source::Messer-v170
4.1-B011	<p>Why does each guest operating system need its own security controls?</p>		<p>Each guest is a self-contained computer, so it still needs normal controls such as patching, firewall rules, anti-malware, and access management.</p>	"<h3>Why</h3>
<p>Virtual machines are isolated, but isolation does not make them automatically trusted or patched. Treat each guest as a separate system to protect.</p>"	medium	basic	220-1201 4.1 - Virtualization Concepts	Professor Messer 220-1201 v1.70 p.47; CompTIA 220-1201 Exam Objectives v4.0, Objective 4.1	A+::220-1201::4.1 A+::220-1201::Domain4-VirtualizationCloud A+::220-1201::VirtualizationConcepts Basic HighYield Virtualization Security Source::Messer-v170
4.1-B012	<p>Why are unknown or third-party virtual machine images risky?</p>		<p>They may contain unwanted software or insecure configurations, and the user may not know what is running inside the guest.</p>	"<h3>Why</h3>
<p>A VM image can look convenient, but it is still a complete system. Importing an untrusted image can introduce an unmanaged or malicious guest into the environment.</p>"	medium	basic	220-1201 4.1 - Virtualization Concepts	Professor Messer 220-1201 v1.70 p.47; CompTIA 220-1201 Exam Objectives v4.0, Objective 4.1	A+::220-1201::4.1 A+::220-1201::Domain4-VirtualizationCloud A+::220-1201::VirtualizationConcepts Basic Virtualization Security Source::Messer-v170
4.1-B013	<p>What is Virtual Desktop Infrastructure?</p>		<p>VDI provides desktop sessions or applications from remote infrastructure while the client device mainly displays the session and sends user input.</p>	"<h3>Why</h3>
<p>VDI can reduce endpoint hardware requirements because the desktop workload runs elsewhere. Hosted virtual desktops may also be described as Desktop as a Service.</p>"	easy	basic	220-1201 4.1 - Virtualization Concepts	Professor Messer 220-1201 v1.70 p.47; CompTIA 220-1201 Exam Objectives v4.0, Objective 4.1	A+::220-1201::4.1 A+::220-1201::Domain4-VirtualizationCloud A+::220-1201::VirtualizationConcepts Basic HighYield Virtualization VDI Source::Messer-v170
4.1-B014	<p>Why is network connectivity a major requirement for VDI?</p>		<p>The desktop session runs remotely, so the user's display, input, and application interaction depend on the network connection.</p>	"<h3>Why</h3>
<p>VDI moves much of the desktop experience across the network. A weak connection can make an otherwise functional virtual desktop feel unusable.</p>"	medium	basic	220-1201 4.1 - Virtualization Concepts	Professor Messer 220-1201 v1.70 p.47; CompTIA 220-1201 Exam Objectives v4.0, Objective 4.1	A+::220-1201::4.1 A+::220-1201::Domain4-VirtualizationCloud A+::220-1201::VirtualizationConcepts Basic Virtualization VDI Networking Source::Messer-v170
4.1-B015	<p>What does an application container include?</p>		<p>It includes the application code and dependencies needed to run the application as a portable software unit.</p>	"<h3>Distinction</h3>
<p>A container packages the application environment, but it does not normally include a full guest operating system the way a VM does.</p>"	easy	basic	220-1201 4.1 - Virtualization Concepts	Professor Messer 220-1201 v1.70 p.47; CompTIA 220-1201 Exam Objectives v4.0, Objective 4.1	A+::220-1201::4.1 A+::220-1201::Domain4-VirtualizationCloud A+::220-1201::VirtualizationConcepts Basic HighYield Virtualization Containers Source::Messer-v170
4.1-B016	<p>Why are containers usually lighter than full virtual machines?</p>		<p>Containers share the host operating system kernel instead of running a separate guest operating system for each application instance.</p>	"<h3>Distinction</h3>
<p>A VM isolates a full operating system. A container isolates an application and its dependencies while relying on the host OS kernel.</p>"	medium	basic	220-1201 4.1 - Virtualization Concepts	Professor Messer 220-1201 v1.70 p.47; CompTIA 220-1201 Exam Objectives v4.0, Objective 4.1	A+::220-1201::4.1 A+::220-1201::Domain4-VirtualizationCloud A+::220-1201::VirtualizationConcepts Basic HighYield Virtualization Containers Source::Messer-v170
4.1-B017	<p>What security benefit does container isolation provide?</p>		<p>It helps keep application processes separated so one containerized application cannot freely interact with another.</p>	"<h3>Why</h3>
<p>Container isolation is useful for application separation, but the containers still depend on the host operating system and container runtime.</p>"	medium	basic	220-1201 4.1 - Virtualization Concepts	Professor Messer 220-1201 v1.70 p.47; CompTIA 220-1201 Exam Objectives v4.0, Objective 4.1	A+::220-1201::4.1 A+::220-1201::Domain4-VirtualizationCloud A+::220-1201::VirtualizationConcepts Basic Virtualization Containers Security Source::Messer-v170
4.1-B018	<p>Why is hypervisor security important in a virtualization environment?</p>		<p>The hypervisor manages the virtual platform and guest isolation, so a compromised hypervisor could affect multiple guest systems.</p>	"<h3>Why</h3>
<p>The hypervisor sits between guests and the underlying hardware. Keep this card at the concept level: the exam target is why that control layer matters, not detailed exploit mechanics.</p>"	medium	basic	220-1201 4.1 - Virtualization Concepts	Professor Messer 220-1201 v1.70 p.47; CompTIA 220-1201 Exam Objectives v4.0, Objective 4.1	A+::220-1201::4.1 A+::220-1201::Domain4-VirtualizationCloud A+::220-1201::VirtualizationConcepts Basic HighYield Virtualization Hypervisor Security Source::Messer-v170
