#separator:Tab
#html:true
#tags column:10
#columns:Card ID	Front	Hint	Back	Instructor Notes	Difficulty	Card Type	Objective	Source	Tags
2.7-B001	"<p>A company is concerned that someone could read a laptop's storage after
stealing the device. Which workstation security option directly addresses
this risk?</p>"		<p>Data-at-rest encryption, such as full-disk encryption.</p>	"<p>Authentication controls normal sign-in, but drive encryption protects stored
data even when an attacker has physical possession of the storage device.</p>"	medium	basic	220-1202 2.7 - Workstation Security and Hardening	CompTIA 220-1202 Exam Objectives v4.0, Objective 2.7; Professor Messer 220-1202 v1.40, p. 43	A+::220-1202::2.7 A+::220-1202::Domain2-Security A+::220-1202::WorkstationSecurityandHardening Basic HighYield Encryption DataAtRest Scenario Source::Messer-v140
2.7-B002	"<p>A password policy already permits several character types, but users still
choose very short passwords. Which password consideration should be strengthened?</p>"		<p>Password length.</p>	"<p>Character variety does not compensate for a password that is too short. A
longer password or passphrase increases the work required to guess it.</p>"	medium	basic	220-1202 2.7 - Workstation Security and Hardening	CompTIA 220-1202 Exam Objectives v4.0, Objective 2.7; Professor Messer 220-1202 v1.40, p. 43	A+::220-1202::2.7 A+::220-1202::Domain2-Security A+::220-1202::WorkstationSecurityandHardening Basic HighYield Passwords Length Scenario Source::Messer-v140
2.7-B003	<p>Why can requiring varied character types improve password complexity?</p>		"<p>It broadens the possible password combinations and discourages simple,
single-pattern choices.</p>"	"<p>Character types are one part of complexity. Length and unpredictability still
matter; a familiar word with a predictable symbol added is not strong merely
because it satisfies a category rule.</p>"	medium	basic	220-1202 2.7 - Workstation Security and Hardening	CompTIA 220-1202 Exam Objectives v4.0, Objective 2.7; Professor Messer 220-1202 v1.40, p. 43	A+::220-1202::2.7 A+::220-1202::Domain2-Security A+::220-1202::WorkstationSecurityandHardening Basic HighYield Passwords Complexity CharacterTypes Source::Messer-v140
2.7-B004	"<p>One employee uses the same strong password for several services. Which
password consideration is missing?</p>"		<p>Password uniqueness.</p>	"<p>A password can meet length and complexity rules yet still create risk through
reuse. Unique passwords keep one compromised service from exposing the same
credential elsewhere.</p>"	medium	basic	220-1202 2.7 - Workstation Security and Hardening	CompTIA 220-1202 Exam Objectives v4.0, Objective 2.7; Professor Messer 220-1202 v1.40, p. 43	A+::220-1202::2.7 A+::220-1202::Domain2-Security A+::220-1202::WorkstationSecurityandHardening Basic HighYield Passwords Uniqueness Scenario Source::Messer-v140
2.7-B005	"<p>Which password-policy consideration determines how long a password remains
valid before it must be changed?</p>"		<p>Password expiration.</p>	"<p>Password expiration changes the credential on an otherwise active account.
Account expiration instead disables the account at a specified date.</p>"	easy	basic	220-1202 2.7 - Workstation Security and Hardening	CompTIA 220-1202 Exam Objectives v4.0, Objective 2.7; Professor Messer 220-1202 v1.40, p. 43	A+::220-1202::2.7 A+::220-1202::Domain2-Security A+::220-1202::WorkstationSecurityandHardening Basic Passwords Expiration Policy Source::Messer-v140
2.7-B006	"<p>Which BIOS/UEFI password type should be configured to prevent unauthorized
changes to firmware settings?</p>"		<p>The firmware supervisor or administrator password.</p>	"<p>This password protects configuration access. A firmware user password instead
requires authentication before booting the computer.</p>"	easy	basic	220-1202 2.7 - Workstation Security and Hardening	CompTIA 220-1202 Exam Objectives v4.0, Objective 2.7; Professor Messer 220-1202 v1.40, p. 43	A+::220-1202::2.7 A+::220-1202::Domain2-Security A+::220-1202::WorkstationSecurityandHardening Basic BIOS UEFI Firmware Source::Messer-v140
2.7-B007	"<p>Which BIOS/UEFI password type requires authentication before the workstation
can boot?</p>"		<p>The firmware user password.</p>	"<p>A pre-boot password does not encrypt stored data. If protection is required
after someone removes the drive, data-at-rest encryption addresses that risk.</p>"	easy	basic	220-1202 2.7 - Workstation Security and Hardening	CompTIA 220-1202 Exam Objectives v4.0, Objective 2.7; Professor Messer 220-1202 v1.40, p. 43	A+::220-1202::2.7 A+::220-1202::Domain2-Security A+::220-1202::WorkstationSecurityandHardening Basic BIOS UEFI BootSecurity Source::Messer-v140
2.7-B008	"<p>Employees sometimes step away from signed-in workstations without securing
them. Which hardening option protects these unattended sessions automatically?</p>"		<p>A password-protected screen lock that activates after an inactivity timeout.</p>	"<p>The timeout limits the window in which an unattended authenticated session is
exposed. Users should also lock the screen manually when stepping away.</p>"	medium	basic	220-1202 2.7 - Workstation Security and Hardening	CompTIA 220-1202 Exam Objectives v4.0, Objective 2.7; Professor Messer 220-1202 v1.40, p. 43	A+::220-1202::2.7 A+::220-1202::Domain2-Security A+::220-1202::WorkstationSecurityandHardening Basic HighYield ScreenLock Timeout Scenario Source::Messer-v140
2.7-B009	"<p>A user has finished working on a shared workstation. Should the user lock the
screen or log off?</p>"		<p>Log off.</p>	"<p>A lock is appropriate for a temporary absence because it preserves the user's
session. Logging off ends the finished session so the next user cannot resume
it under the previous identity.</p>"	medium	basic	220-1202 2.7 - Workstation Security and Hardening	CompTIA 220-1202 Exam Objectives v4.0, Objective 2.7; Professor Messer 220-1202 v1.40, p. 43	A+::220-1202::2.7 A+::220-1202::Domain2-Security A+::220-1202::WorkstationSecurityandHardening Basic Logoff Sessions Scenario Source::Messer-v140
2.7-B010	"<p>Company laptops are left unattended in an accessible office area. Which
end-user hardening practice directly reduces the risk that a laptop is taken?</p>"		<p>Physically secure the laptop, such as with a suitable lock or secure storage.</p>	"<p>Encryption protects data if a device is stolen, but it does not prevent the
hardware loss. Physical protection addresses the theft risk itself.</p>"	medium	basic	220-1202 2.7 - Workstation Security and Hardening	CompTIA 220-1202 Exam Objectives v4.0, Objective 2.7; Professor Messer 220-1202 v1.40, p. 43	A+::220-1202::2.7 A+::220-1202::Domain2-Security A+::220-1202::WorkstationSecurityandHardening Basic PhysicalSecurity Laptops Scenario Source::Messer-v140
2.7-B011	"<p>A fixed workstation displays PII where people passing in a hallway can see the
screen, and the display cannot be relocated. Which protection directly
addresses this exposure?</p>"		<p>Use a privacy filter.</p>	"<p>This scenario involves visual disclosure from an authorized session. A screen
lock protects the display after inactivity, but positioning or a privacy filter
helps while the user is actively working.</p>"	medium	basic	220-1202 2.7 - Workstation Security and Hardening	CompTIA 220-1202 Exam Objectives v4.0, Objective 2.7; Professor Messer 220-1202 v1.40, p. 43	A+::220-1202::2.7 A+::220-1202::Domain2-Security A+::220-1202::WorkstationSecurityandHardening Basic PII Privacy Scenario Source::Messer-v140
