#separator:Tab
#html:true
#tags column:10
#columns:Card ID	Prompt	Typed Answer	Back	Instructor Notes	Difficulty	Card Type	Objective	Source	Tags
1.4-T001	<p>Which command launches System Information?</p>	msinfo32.exe	"<p>System Information summarizes hardware resources, components, and software
environment details.</p>"	"<p>This typed-answer card tests exact command recall for an objective-listed
additional Windows tool.</p>"	easy	command	220-1202 1.4 - Microsoft Windows Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.4; Professor Messer 220-1202 v1.40, p. 9	A+::220-1202::1.4 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftWindowsFeaturesandTools Command Windows Inventory Source::Messer-v140
1.4-T002	<p>Which command launches Resource Monitor?</p>	resmon.exe	"<p>Resource Monitor provides detailed real-time views by CPU, Memory, Disk, and
Network categories.</p>"	"<p>This card tests launch-name recall; the Basic card covers when to choose the
tool.</p>"	easy	command	220-1202 1.4 - Microsoft Windows Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.4; Professor Messer 220-1202 v1.40, p. 9	A+::220-1202::1.4 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftWindowsFeaturesandTools Command Windows Performance Source::Messer-v140
1.4-T003	<p>Which command launches System Configuration?</p>	msconfig.exe	<p>System Configuration manages boot, startup, and service settings.</p>	"<p>The operational caution belongs in the Basic card; this typed-answer card tests
exact command recall.</p>"	easy	command	220-1202 1.4 - Microsoft Windows Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.4; Professor Messer 220-1202 v1.40, p. 9	A+::220-1202::1.4 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftWindowsFeaturesandTools Command Windows Startup Source::Messer-v140
1.4-T004	<p>Which command launches Disk Cleanup?</p>	cleanmgr.exe	<p>Disk Cleanup removes selected categories of unused or unnecessary files.</p>	"<p>This card distinguishes the cleanup executable from disk management and
defragmentation tools.</p>"	easy	command	220-1202 1.4 - Microsoft Windows Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.4; Professor Messer 220-1202 v1.40, p. 9	A+::220-1202::1.4 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftWindowsFeaturesandTools Command Windows Storage Source::Messer-v140
1.4-T005	<p>Which command launches Disk Defragment?</p>	dfrgui.exe	"<p>Disk Defragment is the graphical defragmentation tool for traditional hard
drives.</p>"	"<p>The SSD caveat is tested in the matching Basic card; this typed-answer card only
tests the tool launch name.</p>"	easy	command	220-1202 1.4 - Microsoft Windows Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.4; Professor Messer 220-1202 v1.40, p. 9	A+::220-1202::1.4 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftWindowsFeaturesandTools Command Windows Storage Source::Messer-v140
1.4-T006	<p>Which command launches Registry Editor?</p>	regedit.exe	<p>Registry Editor changes the Windows Registry, so backup precautions matter.</p>	"<p>This typed-answer card supports exact tool recall; the Basic card covers the
safety decision.</p>"	easy	command	220-1202 1.4 - Microsoft Windows Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.4; Professor Messer 220-1202 v1.40, p. 9	A+::220-1202::1.4 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftWindowsFeaturesandTools Command Windows Registry Source::Messer-v140
1.4-T007	<p>Which command launches Event Viewer?</p>	eventvwr.msc	<p>Event Viewer consolidates Windows event logs.</p>	"<p>This typed-answer card supports command-name recall for an objective-listed MMC
snap-in.</p>"	easy	command	220-1202 1.4 - Microsoft Windows Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.4; Professor Messer 220-1202 v1.40, p. 8	A+::220-1202::1.4 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftWindowsFeaturesandTools Command Windows Logs Source::Messer-v140
1.4-T008	<p>Which command launches Disk Management?</p>	diskmgmt.msc	<p>Disk Management is used for disk and volume operations.</p>	"<p>This typed-answer card tests only the launch command; disk-change risk is
covered by the Basic card.</p>"	easy	command	220-1202 1.4 - Microsoft Windows Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.4; Professor Messer 220-1202 v1.40, p. 8	A+::220-1202::1.4 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftWindowsFeaturesandTools Command Windows Storage Source::Messer-v140
1.4-T009	<p>Which command launches Task Scheduler?</p>	taskschd.msc	<p>Task Scheduler runs applications or scripts on a schedule or trigger.</p>	<p>The scenario decision is separate from memorizing the snap-in launch name.</p>	easy	command	220-1202 1.4 - Microsoft Windows Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.4; Professor Messer 220-1202 v1.40, p. 8	A+::220-1202::1.4 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftWindowsFeaturesandTools Command Windows Automation Source::Messer-v140
1.4-T010	<p>Which command launches Device Manager?</p>	devmgmt.msc	<p>Device Manager manages hardware devices and drivers.</p>	"<p>This typed-answer card tests exact launch-name recall for an explicit Objective
1.4 tool.</p>"	easy	command	220-1202 1.4 - Microsoft Windows Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.4; Professor Messer 220-1202 v1.40, p. 8	A+::220-1202::1.4 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftWindowsFeaturesandTools Command Windows Drivers Source::Messer-v140
