#separator:Tab
#html:true
#tags column:10
#columns:Card ID	Front	Hint	Back	Instructor Notes	Difficulty	Card Type	Objective	Source	Tags
5.4-B001	"<p>A phone shows poor battery health after years of normal use. What repair
direction is most appropriate?</p>"		"<p><strong>Plan for battery replacement rather than treating it as an app or charging
cable problem.</strong></p>"	"<h3>Why</h3>
<p>Poor health after many charge cycles points to battery aging. App usage and
signal checks matter for sudden drain, but the stated evidence is long-term
battery wear.</p>"	easy	basic	220-1201 5.4 - Troubleshooting Mobile Devices	Professor Messer 220-1201 v1.70 p.53; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.4	A+::220-1201::5.4 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingMobileDevices Basic HighYield Battery Mobile Scenario Source::Messer-v170
5.4-B002	"<p>A phone battery drains quickly only when the user works in a basement with weak
cellular reception. What likely cause should you investigate before replacing
the battery?</p>"	<p>Look for a condition that makes the device keep searching.</p>	<p><strong>Poor reception causing the phone to spend extra power searching for signal.</strong></p>	"<h3>Troubleshooting Logic</h3>
<p>The location pattern matters. A weak signal area can create battery drain even
when the battery itself is not the root problem.</p>"	medium	basic	220-1201 5.4 - Troubleshooting Mobile Devices	Professor Messer 220-1201 v1.70 p.53; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.4	A+::220-1201::5.4 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingMobileDevices Basic Battery Cellular Scenario Source::Messer-v170
5.4-B003	"<p>A user's phone started losing battery rapidly after a new app was installed.
What evidence source should you check first?</p>"	<p>Measure which software is using the battery before blaming the battery itself.</p>	<p><strong>Check the phone's app battery-usage information.</strong></p>	"<h3>Why</h3>
<p>Sudden drain after an app change should be tested with usage evidence. This is
more targeted than replacing the battery or charger first.</p>"	medium	basic	220-1201 5.4 - Troubleshooting Mobile Devices	Professor Messer 220-1201 v1.70 p.53; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.4	A+::220-1201::5.4 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingMobileDevices Basic HighYield Battery Apps Scenario Source::Messer-v170
5.4-B004	"<p>A phone case is bulging and the battery appears swollen. What is the safest
first action?</p>"	<p>Treat physical battery deformation as a safety issue.</p>	<p><strong>Stop using the device immediately and do not open or puncture the battery.</strong></p>	"<h3>Real Help Desk</h3>
<p>A swollen battery can be a fire risk. Normal troubleshooting stops until the
device is handled through the proper replacement and disposal process.</p>"	easy	basic	220-1201 5.4 - Troubleshooting Mobile Devices	Professor Messer 220-1201 v1.70 p.53; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.4	A+::220-1201::5.4 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingMobileDevices Basic HighYield Battery Safety Scenario Source::Messer-v170
5.4-B005	"<p>A mobile phone has a broken screen but still responds to touch. What should you
do before sending it for screen replacement?</p>"	<p>Protect what the user cannot easily replace.</p>	<p><strong>Back up the user's data first if the device is still usable.</strong></p>	"<h3>Why</h3>
<p>Screen repair can fail or require device replacement. A backup reduces the risk
that a repair task becomes a data-loss incident.</p>"	medium	basic	220-1201 5.4 - Troubleshooting Mobile Devices	Professor Messer 220-1201 v1.70 p.53; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.4	A+::220-1201::5.4 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingMobileDevices Basic HighYield Screen Backup Scenario Source::Messer-v170
5.4-B006	"<p>A user wants to keep using a phone with cracked glass until a replacement part
arrives. What safety concern should you address?</p>"		"<p><strong>The broken glass can be sharp, so protect the surface temporarily and arrange
repair.</strong></p>"	"<h3>Why</h3>
<p>This card is not testing cosmetic damage. It tests the safety angle that a help
desk technician should communicate when a screen is physically broken.</p>"	easy	basic	220-1201 5.4 - Troubleshooting Mobile Devices	Professor Messer 220-1201 v1.70 p.53; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.4	A+::220-1201::5.4 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingMobileDevices Basic Screen Safety Scenario Source::Messer-v170
5.4-B007	"<p>A phone will not charge after being carried in a pocket all day. What should you
inspect first?</p>"	<p>Start where the cable physically meets the device.</p>	<p><strong>Inspect the charging port for debris, obstruction, or visible damage.</strong></p>	"<h3>Troubleshooting Logic</h3>
<p>The charging path starts at the device interface. A simple obstruction can look
like a failed battery or charger.</p>"	easy	basic	220-1201 5.4 - Troubleshooting Mobile Devices	Professor Messer 220-1201 v1.70 p.53; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.4	A+::220-1201::5.4 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingMobileDevices Basic HighYield Charging Ports Scenario Source::Messer-v170
5.4-B008	"<p>A phone will not charge, and the user's cable is frayed near the connector. What
is the best next test?</p>"	<p>Use a safe replacement for the suspect part of the charging path.</p>	<p><strong>Try a known-good charging cable.</strong></p>	"<h3>Why</h3>
<p>A damaged cable should not be trusted or reused. A known-good cable isolates the
cable before replacing the phone.</p>"	easy	basic	220-1201 5.4 - Troubleshooting Mobile Devices	Professor Messer 220-1201 v1.70 p.53; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.4	A+::220-1201::5.4 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingMobileDevices Basic HighYield Charging Cables Scenario Source::Messer-v170
5.4-B009	"<p>A phone still does not charge after you inspect the port and try a known-good
cable. What part of the charging path should you verify next?</p>"	<p>Follow the power path away from the phone.</p>	<p><strong>Verify the power adapter or charging power source.</strong></p>	"<h3>Troubleshooting Logic</h3>
<p>The adapter is a separate part of the charging chain. Checking it keeps the
diagnosis evidence-based before concluding the device has failed.</p>"	medium	basic	220-1201 5.4 - Troubleshooting Mobile Devices	Professor Messer 220-1201 v1.70 p.53; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.4	A+::220-1201::5.4 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingMobileDevices Basic Charging Power Scenario Source::Messer-v170
5.4-B010	"<p>A user's phone has poor cellular service only inside one concrete building.
What should you test before replacing the phone?</p>"	<p>Use location as a troubleshooting variable.</p>	"<p><strong>Test cellular connectivity in another location, such as outdoors or away from
the building.</strong></p>"	"<h3>Why</h3>
<p>Mobile signal is location-dependent. A location-only symptom should be tested
as coverage or signal strength before it becomes a device-failure conclusion.</p>"	easy	basic	220-1201 5.4 - Troubleshooting Mobile Devices	Professor Messer 220-1201 v1.70 p.53; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.4	A+::220-1201::5.4 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingMobileDevices Basic Cellular Connectivity Scenario Source::Messer-v170
