#separator:Tab
#html:true
#tags column:10
#columns:Card ID	Front	Hint	Back	Instructor Notes	Difficulty	Card Type	Objective	Source	Tags
5.2-B001	"<p>A user reports ""Cannot read from the source disk"" while copying critical files
from a laptop drive. What should you prioritize before attempting repair steps?</p>"	<p>Protect the user's data before attempting risky repair.</p>	"<p><strong>Preserve the data by getting a backup or verified copy if the drive is still
readable.</strong></p>"	"<h3>Why</h3>
<p>Read/write failures may get worse during troubleshooting. A repair command or
heavy diagnostic can stress a failing drive, so the support decision is to
protect recoverable data before taking riskier action.</p>"	medium	basic	220-1201 5.2 - Troubleshooting Storage Devices	Professor Messer 220-1201 v1.70 p.50; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.2	A+::220-1201::5.2 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingStorageDevices Basic HighYield Storage Backup Scenario Source::Messer-v170
5.2-B002	"<p>A desktop is extremely slow and its storage activity light stays on almost
constantly. What theory should you test before replacing memory or the CPU?</p>"	<p>Look for evidence that the storage device is struggling before blaming other components.</p>	"<p><strong>Test whether the storage device is retrying reads/writes or has unusually slow
disk I/O.</strong></p>"	"<h3>Troubleshooting Logic</h3>
<p>Constant storage activity can point to repeated access attempts or a storage
bottleneck. Measure the storage path first so the repair plan is based on
evidence instead of guessing at unrelated components.</p>"	medium	basic	220-1201 5.2 - Troubleshooting Storage Devices	Professor Messer 220-1201 v1.70 p.50; Professor Messer 220-1201 v1.70 p.51; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.2	A+::220-1201::5.2 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingStorageDevices Basic Performance Storage Scenario Source::Messer-v170
5.2-B003	"<p>A laptop hard drive makes a loud grinding noise and the user says files open
slowly. What should you avoid doing first?</p>"	<p>Noisy storage plus slow access raises the data-risk level.</p>	"<p><strong>Avoid running write-heavy repair attempts before protecting the data or
escalating for recovery.</strong></p>"	"<h3>Reasoning</h3>
<p>Grinding or clicking from a mechanical drive is a serious failure clue. The
interview-friendly answer is to stop treating it like a routine software issue,
preserve data if possible, and avoid actions that could make recovery harder.</p>"	medium	basic	220-1201 5.2 - Troubleshooting Storage Devices	Professor Messer 220-1201 v1.70 p.50; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.2	A+::220-1201::5.2 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingStorageDevices Basic HighYield HDD Backup Scenario Source::Messer-v170
5.2-B004	"<p>A workstation displays a ""Boot Device Not Found"" style message. What should a
technician verify before assuming Windows is corrupted?</p>"	<p>First decide whether the system can see the storage device at all.</p>	"<p><strong>Verify whether the drive is detected and check physical indicators, cables,
power, firmware settings, and the exact boot error.</strong></p>"	"<h3>Narrowing</h3>
<p>This symptom can happen before the operating system is involved. The first split
is drive detection versus bootability: if the system cannot see the device,
Windows repair is premature.</p>"	medium	basic	220-1201 5.2 - Troubleshooting Storage Devices	Professor Messer 220-1201 v1.70 p.50; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.2	A+::220-1201::5.2 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingStorageDevices Basic HighYield Boot Storage Scenario Source::Messer-v170
5.2-B005	"<p>Firmware detects the internal drive, but startup stops with an ""Operating system
not found"" style message. What does that evidence suggest?</p>"		"<p><strong>The storage device may be present, but the operating system or boot data is
not usable.</strong></p>"	"<h3>Why</h3>
<p>Drive detection changes the theory. A missing OS message is not the same as a
missing drive, so the next work should focus on boot configuration, boot files,
or OS state after data risk is considered.</p>"	medium	basic	220-1201 5.2 - Troubleshooting Storage Devices	Professor Messer 220-1201 v1.70 p.50; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.2	A+::220-1201::5.2 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingStorageDevices Basic Boot OS Scenario Source::Messer-v170
5.2-B006	"<p>After a desktop was moved to a new desk, it no longer detects its internal SATA
drive. What is the best first physical check?</p>"	<p>Recent movement makes a simple physical cause more likely.</p>	<p><strong>Check the drive data and power cable connections for looseness or damage.</strong></p>	"<h3>Help Desk Logic</h3>
<p>The timing points to a physical connection problem. Cable checks are fast,
reversible, and less disruptive than reinstalling the OS or replacing the drive.</p>"	easy	basic	220-1201 5.2 - Troubleshooting Storage Devices	Professor Messer 220-1201 v1.70 p.50; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.2	A+::220-1201::5.2 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingStorageDevices Basic HighYield Cables Boot Scenario Source::Messer-v170
5.2-B007	"<p>A PC keeps trying to boot from a USB recovery drive instead of the internal
disk. What is the best first fix?</p>"	<p>Rule out the simplest boot-source mistake before changing hardware.</p>	"<p><strong>Remove the unintended bootable USB media and confirm the BIOS or UEFI boot
sequence if needed.</strong></p>"	"<h3>Exam Trap</h3>
<p>Wrong boot media can look like a storage failure. Start with the simple cause,
then verify boot order if the symptom repeats.</p>"	easy	basic	220-1201 5.2 - Troubleshooting Storage Devices	Professor Messer 220-1201 v1.70 p.50; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.2	A+::220-1201::5.2 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingStorageDevices Basic HighYield Boot Firmware Scenario Source::Messer-v170
5.2-B008	"<p>A newly installed internal drive does not appear during OS setup. Cables are
seated. What should you check next?</p>"	<p>For a new install, verify configuration and detection before declaring the drive bad.</p>	"<p><strong>Check the hardware configuration, including whether the storage interface is
enabled and whether another compatible interface or port detects the drive.</strong></p>"	"<h3>Why</h3>
<p>New-installation failures can come from configuration, interface, or port
problems. This tests the detection path before deciding the drive itself is bad.</p>"	medium	basic	220-1201 5.2 - Troubleshooting Storage Devices	Professor Messer 220-1201 v1.70 p.50; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.2	A+::220-1201::5.2 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingStorageDevices Basic Installation Firmware Scenario Source::Messer-v170
5.2-B009	"<p>An internal drive is not detected after cable and firmware checks. What known-good
test can help separate a bad drive from a bad system connection?</p>"	<p>A known-good path helps show whether the problem follows the drive.</p>	<p><strong>Try the drive in another compatible computer or known-good storage connection.</strong></p>	"<h3>What It Rules Out</h3>
<p>Testing through a different path helps isolate whether the failure follows the
drive or stays with the original computer, cable, port, or power path.</p>"	medium	basic	220-1201 5.2 - Troubleshooting Storage Devices	Professor Messer 220-1201 v1.70 p.50; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.2	A+::220-1201::5.2 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingStorageDevices Basic KnownGood Storage Scenario Source::Messer-v170
5.2-B010	"<p>An SSD can still read some files but fails whenever users save changes. What
should the technician do before trying aggressive repairs?</p>"	<p>Do not rely on the absence of mechanical noise when judging SSD risk.</p>	<p><strong>Back up readable data and treat the drive as potentially failing.</strong></p>	"<h3>Why</h3>
<p>SSD failure may not include noise. Read-only behavior or sudden write failure is
enough reason to protect data and plan replacement or escalation before trying
steps that could reduce access further.</p>"	medium	basic	220-1201 5.2 - Troubleshooting Storage Devices	Professor Messer 220-1201 v1.70 p.50; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.2	A+::220-1201::5.2 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingStorageDevices Basic HighYield SSD Backup Scenario Source::Messer-v170
