#separator:Tab
#html:true
#tags column:10
#columns:Card ID	Front	Hint	Back	Instructor Notes	Difficulty	Card Type	Objective	Source	Tags
4.2-B001	<p>What is the main idea of cloud computing in Objective 4.2?</p>		<p>Cloud computing provides scalable, on-demand computing resources through cloud-style infrastructure that can be provisioned and consumed as needed.</p>	<p>Keep the answer at the concept level. This wording includes public, private, hybrid, and community cloud models without implying that every cloud must be externally provider-managed.</p>	easy	basic	220-1201 4.2 - Cloud Computing Concepts	CompTIA 220-1201 Exam Objectives v4.0, Objective 4.2; Professor Messer 220-1201 v1.70 p.47	A+::220-1201::4.2 A+::220-1201::Domain4-VirtualizationCloud A+::220-1201::CloudComputingConcepts Basic Cloud Source::Messer-v170
4.2-B002	<p>An organization runs a cloud environment restricted to its own users and workloads. Which cloud deployment model is this?</p>		<p>Private cloud.</p>	<p>The key clue is dedicated use by one organization. A private cloud can still use cloud-style automation and virtualization; it is not defined only by physical location.</p>	medium	basic	220-1201 4.2 - Cloud Computing Concepts	CompTIA 220-1201 Exam Objectives v4.0, Objective 4.2; Professor Messer 220-1201 v1.70 pp.47-48	A+::220-1201::4.2 A+::220-1201::Domain4-VirtualizationCloud A+::220-1201::CloudComputingConcepts Basic HighYield Cloud PrivateCloud Scenario Source::Messer-v170
4.2-B003	<p>A provider offers cloud services over the Internet to many unrelated customers. Which cloud deployment model is this?</p>		<p>Public cloud.</p>	<p>Public cloud focuses on broad provider access and shared provider infrastructure. It does not mean customer data is publicly visible.</p>	medium	basic	220-1201 4.2 - Cloud Computing Concepts	CompTIA 220-1201 Exam Objectives v4.0, Objective 4.2; Professor Messer 220-1201 v1.70 pp.47-48	A+::220-1201::4.2 A+::220-1201::Domain4-VirtualizationCloud A+::220-1201::CloudComputingConcepts Basic HighYield Cloud PublicCloud Scenario Source::Messer-v170
4.2-B004	<p>A company keeps sensitive internal systems in its private cloud but runs customer-facing web services in a public cloud. Which deployment model combines these environments?</p>		<p>Hybrid cloud.</p>	<p>Hybrid cloud combines private and public cloud resources. The card tests the combination, not which workload belongs in each environment.</p>	medium	basic	220-1201 4.2 - Cloud Computing Concepts	CompTIA 220-1201 Exam Objectives v4.0, Objective 4.2; Professor Messer 220-1201 v1.70 p.47	A+::220-1201::4.2 A+::220-1201::Domain4-VirtualizationCloud A+::220-1201::CloudComputingConcepts Basic HighYield Cloud HybridCloud Scenario Source::Messer-v170
4.2-B005	<p>Several organizations with similar requirements share the same cloud environment. Which cloud deployment model best matches this?</p>		<p>Community cloud.</p>	"<p>Community cloud is shared by a defined group of organizations. The trap is confusing ""shared by a community"" with public cloud, which is broadly available to many customers.</p>"	medium	basic	220-1201 4.2 - Cloud Computing Concepts	CompTIA 220-1201 Exam Objectives v4.0, Objective 4.2; Professor Messer 220-1201 v1.70 p.47	A+::220-1201::4.2 A+::220-1201::Domain4-VirtualizationCloud A+::220-1201::CloudComputingConcepts Basic HighYield Cloud CommunityCloud Scenario Source::Messer-v170
4.2-B006	<p>A cloud provider supplies virtual servers, storage, and networking, while the customer manages the operating system and applications. Which service model is this?</p>		<p>Infrastructure as a Service (IaaS).</p>	<p>IaaS provides the infrastructure layer. The customer still has significant management responsibility above that layer.</p>	medium	basic	220-1201 4.2 - Cloud Computing Concepts	CompTIA 220-1201 Exam Objectives v4.0, Objective 4.2; Professor Messer 220-1201 v1.70 p.47	A+::220-1201::4.2 A+::220-1201::Domain4-VirtualizationCloud A+::220-1201::CloudComputingConcepts Basic HighYield Cloud IaaS Scenario Source::Messer-v170
4.2-B007	<p>A developer uses a cloud-hosted application framework and does not manage the underlying servers or operating systems. Which service model is this?</p>		<p>Platform as a Service (PaaS).</p>	<p>PaaS sits between raw infrastructure and a finished application. The customer builds on the platform instead of managing the full server stack.</p>	medium	basic	220-1201 4.2 - Cloud Computing Concepts	CompTIA 220-1201 Exam Objectives v4.0, Objective 4.2; Professor Messer 220-1201 v1.70 p.47	A+::220-1201::4.2 A+::220-1201::Domain4-VirtualizationCloud A+::220-1201::CloudComputingConcepts Basic HighYield Cloud PaaS Scenario Source::Messer-v170
4.2-B008	<p>Users access a complete cloud-hosted application without installing or maintaining the application locally. Which service model is this?</p>		<p>Software as a Service (SaaS).</p>	<p>SaaS is the finished application model. The customer still manages things like user access and data choices, but not the application hosting stack.</p>	medium	basic	220-1201 4.2 - Cloud Computing Concepts	CompTIA 220-1201 Exam Objectives v4.0, Objective 4.2; Professor Messer 220-1201 v1.70 p.47	A+::220-1201::4.2 A+::220-1201::Domain4-VirtualizationCloud A+::220-1201::CloudComputingConcepts Basic HighYield Cloud SaaS Scenario Source::Messer-v170
4.2-B009	<p>In cloud computing, what is the difference between shared resources and dedicated resources?</p>		<p>Shared resources are drawn from infrastructure used by multiple customers or workloads, while dedicated resources are reserved for one customer, organization, or workload.</p>	<p>This distinction is about resource allocation, not whether the service is secure. Shared cloud platforms still use logical separation between tenants.</p>	medium	basic	220-1201 4.2 - Cloud Computing Concepts	CompTIA 220-1201 Exam Objectives v4.0, Objective 4.2; Professor Messer 220-1201 v1.70 p.48	A+::220-1201::4.2 A+::220-1201::Domain4-VirtualizationCloud A+::220-1201::CloudComputingConcepts Basic Cloud Resources Source::Messer-v170
4.2-B010	<p>A cloud service tracks CPU time, storage use, and data transfer so customers can be charged based on actual usage. Which cloud characteristic is this?</p>		<p>Metered utilization.</p>	<p>Metering measures consumption. It can support billing, reporting, or chargeback, but it is not the same as automatically adding or removing resources.</p>	medium	basic	220-1201 4.2 - Cloud Computing Concepts	CompTIA 220-1201 Exam Objectives v4.0, Objective 4.2; Professor Messer 220-1201 v1.70 p.48	A+::220-1201::4.2 A+::220-1201::Domain4-VirtualizationCloud A+::220-1201::CloudComputingConcepts Basic HighYield Cloud Metered Scenario Source::Messer-v170
