#separator:Tab
#html:true
#tags column:9
#columns:Card ID	Front	Back	Instructor Notes	Difficulty	Card Type	Objective	Source	Tags
2.5-B001	<p>Which network device forwards traffic between IP subnets using destination IP addresses?</p>	<p>A <strong>router</strong>.</p>	"<h3>Exam Trap</h3>
<p>A switch primarily forwards frames within a local network using MAC addresses. Routing is required to move traffic between IP subnets.</p>"	easy	basic	220-1201 2.5 - Networking Hardware Devices	Professor Messer 220-1201 v1.70 p.15; CompTIA 220-1201 Exam Objectives v2.0, Objective 2.5	A+::220-1201::2.5 A+::220-1201::Domain2-Networking A+::220-1201::NetworkingHardwareDevices Basic HighYield Router DeviceSelection Source::Messer-v170
2.5-B002	<p>Which device connects multiple wired devices on a LAN and forwards Ethernet frames according to MAC addresses?</p>	<p>A <strong>switch</strong>.</p>	"<h3>Why</h3>
<p>Switching provides local Ethernet connectivity. A router is needed when traffic must cross an IP subnet boundary.</p>"	easy	basic	220-1201 2.5 - Networking Hardware Devices	Professor Messer 220-1201 v1.70 p.15; CompTIA 220-1201 Exam Objectives v2.0, Objective 2.5	A+::220-1201::2.5 A+::220-1201::Domain2-Networking A+::220-1201::NetworkingHardwareDevices Basic HighYield Switch DeviceSelection Source::Messer-v170
2.5-B003	<p>A network requires VLAN configuration, traffic prioritization, port mirroring, and remote administration. Should the technician install a managed or unmanaged switch?</p>	<p>A <strong>managed switch</strong>.</p>	"<h3>Why</h3>
<p>Those requirements depend on administrative and monitoring features provided by managed switches.</p>
<h3>Exam Trap</h3>
<p>An unmanaged switch is appropriate for simple plug-and-play connectivity, not networks requiring configuration or visibility.</p>"	medium	basic	220-1201 2.5 - Networking Hardware Devices	Professor Messer 220-1201 v1.70 p.16; CompTIA 220-1201 Exam Objectives v2.0, Objective 2.5	A+::220-1201::2.5 A+::220-1201::Domain2-Networking A+::220-1201::NetworkingHardwareDevices Basic HighYield Switch ManagedSwitch Scenario Source::Messer-v170
2.5-B004	<p>Which device bridges wireless clients onto an existing wired network without inherently providing routing?</p>	<p>An <strong>access point</strong>.</p>	"<h3>Exam Trap</h3>
<p>A consumer wireless router may combine an access point, router, switch, and firewall. A standalone access point supplies the wireless bridge function.</p>"	easy	basic	220-1201 2.5 - Networking Hardware Devices	Professor Messer 220-1201 v1.70 p.16; CompTIA 220-1201 Exam Objectives v2.0, Objective 2.5	A+::220-1201::2.5 A+::220-1201::Domain2-Networking A+::220-1201::NetworkingHardwareDevices Basic HighYield AccessPoint Wireless DeviceSelection Source::Messer-v170
2.5-B005	<p>Which passive component terminates permanent network cable runs and lets technicians patch those runs to switch ports?</p>	<p>A <strong>patch panel</strong>.</p>	"<h3>Why</h3>
<p>The patch panel organizes fixed cabling while short patch cables provide changeable connections to the switch.</p>
<h3>Exam Trap</h3>
<p>A patch panel does not forward, route, or filter traffic.</p>"	easy	basic	220-1201 2.5 - Networking Hardware Devices	Professor Messer 220-1201 v1.70 p.16; CompTIA 220-1201 Exam Objectives v2.0, Objective 2.5	A+::220-1201::2.5 A+::220-1201::Domain2-Networking A+::220-1201::NetworkingHardwareDevices Basic PatchPanel Cabling DeviceSelection Source::Messer-v170
2.5-B006	<p>Which network device applies rules to allow or block traffic at a network boundary?</p>	<p>A <strong>firewall</strong>.</p>	"<h3>Why</h3>
<p>Firewalls enforce traffic policy. Depending on their capabilities, they may evaluate transport information, applications, or both.</p>
<h3>Exam Trap</h3>
<p>A router forwards between networks; routing alone does not describe policy-based traffic filtering.</p>"	easy	basic	220-1201 2.5 - Networking Hardware Devices	Professor Messer 220-1201 v1.70 p.16; CompTIA 220-1201 Exam Objectives v2.0, Objective 2.5	A+::220-1201::2.5 A+::220-1201::Domain2-Networking A+::220-1201::NetworkingHardwareDevices Basic HighYield Firewall Security DeviceSelection Source::Messer-v170
2.5-B007	<p>An existing switch does not provide PoE, but one ceiling-mounted access point needs power and data over its Ethernet cable. What should the technician add?</p>	<p>A compatible <strong>PoE injector</strong>.</p>	"<h3>Why</h3>
<p>An injector adds power inline without requiring replacement of a non-PoE switch for a single powered device.</p>
<h3>Exam Trap</h3>
<p>The injector and access point must support compatible PoE standards.</p>"	medium	basic	220-1201 2.5 - Networking Hardware Devices	Professor Messer 220-1201 v1.70 p.16; CompTIA 220-1201 Exam Objectives v2.0, Objective 2.5	A+::220-1201::2.5 A+::220-1201::Domain2-Networking A+::220-1201::NetworkingHardwareDevices Basic HighYield PoE Injector Scenario Source::Messer-v170
2.5-B008	<p>A new installation must centrally provide Ethernet connectivity and power to several IP cameras. Which device best combines both functions?</p>	<p>A compatible <strong>PoE switch</strong>.</p>	"<h3>Why</h3>
<p>A PoE switch supplies data and power from its switch ports, avoiding a separate injector for every camera.</p>"	easy	basic	220-1201 2.5 - Networking Hardware Devices	Professor Messer 220-1201 v1.70 p.16; CompTIA 220-1201 Exam Objectives v2.0, Objective 2.5	A+::220-1201::2.5 A+::220-1201::Domain2-Networking A+::220-1201::NetworkingHardwareDevices Basic PoE PoESwitch DeviceSelection Source::Messer-v170
2.5-B009	<p>A powered device requires PoE++, but the switch supports only PoE+. What should the technician provide before deployment?</p>	<p>Provide a power source that supports the device's required <strong>PoE++ standard</strong>.</p>	"<h3>Why</h3>
<p>The source standard must meet the powered device's requirement. A lower-power PoE tier cannot satisfy a higher-tier requirement.</p>
<h3>Tech Wisdom</h3>
<p>Confirm standards compatibility rather than assuming that every port labeled PoE supplies the same capability.</p>"	medium	basic	220-1201 2.5 - Networking Hardware Devices	Professor Messer 220-1201 v1.70 p.16; CompTIA 220-1201 Exam Objectives v2.0, Objective 2.5	A+::220-1201::2.5 A+::220-1201::Domain2-Networking A+::220-1201::NetworkingHardwareDevices Basic HighYield PoE Standards Compatibility Source::Messer-v170
2.5-B010	<p>Which customer-premises device connects a local network to broadband service delivered over a cable-provider network?</p>	<p>A <strong>cable modem</strong>.</p>	"<h3>Exam Trap</h3>
<p>This card identifies the cable-service handoff device. Provider speed tiers and DOCSIS versions are separate implementation details.</p>"	easy	basic	220-1201 2.5 - Networking Hardware Devices	Professor Messer 220-1201 v1.70 p.16; CompTIA 220-1201 Exam Objectives v2.0, Objective 2.5	A+::220-1201::2.5 A+::220-1201::Domain2-Networking A+::220-1201::NetworkingHardwareDevices Basic CableModem ProviderHandoff DeviceSelection Source::Messer-v170
