#separator:Tab
#html:true
#tags column:9
#columns:Card ID	Text	Extra	Instructor Notes	Difficulty	Card Type	Objective	Source	Tags
2.1-C001	<p>TCP stands for {{c1::Transmission Control Protocol}}.</p>	<p>TCP provides connection-oriented transport behavior.</p>	"<h3>Memory Trick</h3>
<p>“Control” is the clue: TCP manages connection state and delivery behavior.</p>"	easy	cloze	220-1201 2.1 - IP Addressing and Common Ports	Professor Messer 220-1201 v1.70 p.6; CompTIA 220-1201 Exam Objectives v2.0, Objective 2.1	A+::220-1201::2.1 A+::220-1201::Domain2-Networking A+::220-1201::IPAddressingandCommonPorts Cloze TCP Acronym Source::Messer-v170
2.1-C002	<p>UDP stands for {{c1::User Datagram Protocol}}.</p>	<p>UDP is connectionless and does not provide TCP-style recovery or ordering.</p>	"<h3>Exam Trap</h3>
<p>Do not describe UDP as reliable delivery. Reliability decisions are left outside the UDP transport behavior.</p>"	easy	cloze	220-1201 2.1 - IP Addressing and Common Ports	Professor Messer 220-1201 v1.70 p.6; CompTIA 220-1201 Exam Objectives v2.0, Objective 2.1	A+::220-1201::2.1 A+::220-1201::Domain2-Networking A+::220-1201::IPAddressingandCommonPorts Cloze UDP Acronym Source::Messer-v170
2.1-C003	<p>TCP and UDP operate at OSI Layer {{c1::4}}, the {{c2::transport}} layer.</p>	<p>In this objective, TCP and UDP are transported inside IP.</p>	"<h3>Why</h3>
<p>Layer 4 is where the transport protocol choice affects reliability, ordering, flow control, and ports.</p>"	easy	cloze	220-1201 2.1 - IP Addressing and Common Ports	Professor Messer 220-1201 v1.70 p.6; CompTIA 220-1201 Exam Objectives v2.0, Objective 2.1	A+::220-1201::2.1 A+::220-1201::Domain2-Networking A+::220-1201::IPAddressingandCommonPorts Cloze TCP UDP OSI Source::Messer-v170
2.1-C004	<p>Ports {{c1::0 through 1023}} are commonly used as non-ephemeral service ports.</p>	<p>Client systems commonly use temporary ephemeral ports for individual sessions.</p>	"<h3>Exam Trap</h3>
<p>A service port number does not make a service secure. It identifies where the traffic should go.</p>"	easy	cloze	220-1201 2.1 - IP Addressing and Common Ports	Professor Messer 220-1201 v1.70 p.6; CompTIA 220-1201 Exam Objectives v2.0, Objective 2.1	A+::220-1201::2.1 A+::220-1201::Domain2-Networking A+::220-1201::IPAddressingandCommonPorts Cloze Ports Sockets Source::Messer-v170
2.1-C005	<p>FTP active data uses {{c1::TCP 20}}, and FTP control uses {{c2::TCP 21}}.</p>	<p>FTP transfers files between systems and supports operations such as listing, adding, and deleting files.</p>	"<h3>Why</h3>
<p>This card keeps the source's active-data/control distinction instead of treating FTP as a single-port fact.</p>"	easy	cloze	220-1201 2.1 - IP Addressing and Common Ports	Professor Messer 220-1201 v1.70 p.7; CompTIA 220-1201 Exam Objectives v2.0, Objective 2.1	A+::220-1201::2.1 A+::220-1201::Domain2-Networking A+::220-1201::IPAddressingandCommonPorts Cloze FTP Ports Source::Messer-v170
2.1-C006	<p>SSH commonly uses {{c1::TCP 22}}.</p>	<p>SSH provides encrypted remote communication.</p>	"<h3>Exam Trap</h3>
<p>Keep SSH separate from Telnet: SSH is the encrypted choice, while Telnet is in clear text.</p>"	easy	cloze	220-1201 2.1 - IP Addressing and Common Ports	Professor Messer 220-1201 v1.70 p.7; CompTIA 220-1201 Exam Objectives v2.0, Objective 2.1	A+::220-1201::2.1 A+::220-1201::Domain2-Networking A+::220-1201::IPAddressingandCommonPorts Cloze HighYield SSH Ports Source::Messer-v170
2.1-C007	<p>Telnet commonly uses {{c1::TCP 23}}.</p>	<p>Telnet provides remote terminal access but sends communication in clear text.</p>	"<h3>Exam Trap</h3>
<p>If the scenario requires encrypted administration, choose SSH instead of Telnet.</p>"	easy	cloze	220-1201 2.1 - IP Addressing and Common Ports	Professor Messer 220-1201 v1.70 p.7; CompTIA 220-1201 Exam Objectives v2.0, Objective 2.1	A+::220-1201::2.1 A+::220-1201::Domain2-Networking A+::220-1201::IPAddressingandCommonPorts Cloze Telnet Ports Source::Messer-v170
2.1-C008	<p>SMTP server-to-server mail transfer commonly uses {{c1::TCP 25}}.</p>	<p>SMTP is also used when a device sends mail to a mail server.</p>	"<h3>Why</h3>
<p>This card uses the source context for TCP 25 instead of expanding into alternate mail-submission ports.</p>"	easy	cloze	220-1201 2.1 - IP Addressing and Common Ports	Professor Messer 220-1201 v1.70 p.7; CompTIA 220-1201 Exam Objectives v2.0, Objective 2.1	A+::220-1201::2.1 A+::220-1201::Domain2-Networking A+::220-1201::IPAddressingandCommonPorts Cloze SMTP Email Ports Source::Messer-v170
2.1-C009	<p>DNS name resolution commonly uses {{c1::UDP 53}}.</p>	<p>DNS converts hostnames into IP addresses.</p>	"<h3>Exam Trap</h3>
<p>For firewall questions, remember both the protocol and the port. The source association here is UDP 53.</p>"	easy	cloze	220-1201 2.1 - IP Addressing and Common Ports	Professor Messer 220-1201 v1.70 p.7; CompTIA 220-1201 Exam Objectives v2.0, Objective 2.1	A+::220-1201::2.1 A+::220-1201::Domain2-Networking A+::220-1201::IPAddressingandCommonPorts Cloze HighYield DNS Ports Source::Messer-v170
2.1-C010	<p>DHCP commonly uses UDP ports {{c1::67 and 68}}.</p>	<p>DHCP automatically provides IP configuration details such as an IP address and subnet mask.</p>	"<h3>Why</h3>
<p>DHCP is a foundational automatic-configuration service, so its port association is high-value recall.</p>"	easy	cloze	220-1201 2.1 - IP Addressing and Common Ports	Professor Messer 220-1201 v1.70 p.7; CompTIA 220-1201 Exam Objectives v2.0, Objective 2.1	A+::220-1201::2.1 A+::220-1201::Domain2-Networking A+::220-1201::IPAddressingandCommonPorts Cloze HighYield DHCP Ports Source::Messer-v170
