#separator:Tab
#html:true
#tags column:9
#columns:Card ID	Front	Back	Instructor Notes	Difficulty	Card Type	Objective	Source	Tags
1.3-B001	<p>A phone can make calls, but the user does not want it to use cellular data. What should you check before enabling airplane mode?</p>	<p>Check whether <strong>cellular data can be disabled separately</strong> while leaving voice service enabled.</p>	"<h3>Why</h3>
<p>Airplane mode disables cellular networks broadly. Some devices allow a narrower setting that disables mobile data without fully disabling voice service.</p>
<h3>Exam Trap</h3>
<p>Do not use airplane mode as the first answer when the scenario says voice should remain available.</p>"	medium	basic	220-1201 1.3 - Mobile Device Networks	Professor Messer 220-1201 v1.70 p.4; CompTIA 220-1201 Exam Objectives v2.0, Objective 1.3	A+::220-1201::1.3 A+::220-1201::MobileDeviceNetworks Basic HighYield Scenario Cellular Troubleshooting
1.3-B002	<p>A user needs to download a large file on a phone while avoiding cellular data usage. Which network connection should they prefer when available?</p>	<p>Use <strong>Wi-Fi</strong> through a local 802.11 access point.</p>	"<h3>Why</h3>
<p>Wi-Fi can provide Internet access without consuming cellular bandwidth, but it depends on local access-point coverage.</p>
<h3>Real Help Desk</h3>
<p>For large downloads or synchronization jobs, verify the device is actually on Wi-Fi before starting the transfer.</p>"	medium	basic	220-1201 1.3 - Mobile Device Networks	Professor Messer 220-1201 v1.70 p.4; CompTIA 220-1201 Exam Objectives v2.0, Objective 1.3	A+::220-1201::1.3 A+::220-1201::MobileDeviceNetworks Basic HighYield Scenario WiFi Cellular
1.3-B003	<p>A user has poor cellular coverage at home but has reliable Wi-Fi. Which feature may allow voice calls to work through the Wi-Fi network?</p>	<p><strong>Wi-Fi calling</strong>, if supported by the device and voice carrier.</p>	"<h3>Why</h3>
<p>Wi-Fi calling can route voice communication through a local Wi-Fi network when cellular coverage is weak or unavailable.</p>
<h3>Source Note</h3>
<p>The approved source ties Wi-Fi calling to carrier support, so do not assume every phone plan supports it.</p>"	medium	basic	220-1201 1.3 - Mobile Device Networks	Professor Messer 220-1201 v1.70 p.4; CompTIA 220-1201 Exam Objectives v2.0, Objective 1.3	A+::220-1201::1.3 A+::220-1201::MobileDeviceNetworks Basic Scenario WiFi Voice
1.3-B004	<p>A technician moves a removable cellular identity card from one compatible phone to another. What mobile-network component is being moved?</p>	<p>A <strong>SIM</strong>.</p>	"<h3>Why</h3>
<p>A physical SIM is a carrier identity component for a cellular device. Moving or replacing it can change the cellular identity associated with the phone.</p>
<h3>Exam Trap</h3>
<p>Do not confuse a SIM with general storage. Its primary role in this objective is cellular identification and carrier information.</p>"	medium	basic	220-1201 1.3 - Mobile Device Networks	Professor Messer 220-1201 v1.70 p.4; CompTIA 220-1201 Exam Objectives v2.0, Objective 1.3	A+::220-1201::1.3 A+::220-1201::MobileDeviceNetworks Basic Scenario SIM Cellular
1.3-B005	<p>A phone uses a carrier identity that is built into the device and cannot be physically removed. What SIM type is this?</p>	<p>An <strong>eSIM</strong>.</p>	"<h3>Why</h3>
<p>An eSIM is embedded in the device. It provides SIM functionality without a removable physical card.</p>
<h3>Related Cards</h3>
<p><code>1.3-B004</code> tests recognition of a removable SIM. This card tests the embedded form.</p>"	easy	basic	220-1201 1.3 - Mobile Device Networks	Professor Messer 220-1201 v1.70 p.4; CompTIA 220-1201 Exam Objectives v2.0, Objective 1.3	A+::220-1201::1.3 A+::220-1201::MobileDeviceNetworks Basic Scenario SIM Cellular
1.3-B006	<p>A phone cannot find a new Bluetooth headset during setup. What should you check first on the headset side?</p>	<p>Make sure the headset is in <strong>discoverable/pairing mode</strong>.</p>	"<h3>Why</h3>
<p>Bluetooth pairing requires both devices to have Bluetooth enabled, and the accessory may need to be placed into a discoverable mode before it appears.</p>
<h3>Exam Trap</h3>
<p>Manufacturer-specific button sequences vary. If discoverable mode is not obvious, check the accessory instructions.</p>"	medium	basic	220-1201 1.3 - Mobile Device Networks	Professor Messer 220-1201 v1.70 p.4; CompTIA 220-1201 Exam Objectives v2.0, Objective 1.3	A+::220-1201::1.3 A+::220-1201::MobileDeviceNetworks Basic HighYield Scenario Bluetooth Pairing
1.3-B007	<p>A mapping app reports a phone's position. Besides GPS satellites, what other network sources may help mobile location services determine location?</p>	<p><strong>Wi-Fi</strong> and <strong>cellular tower</strong> information may also help determine location.</p>	"<h3>Why</h3>
<p>Mobile location services can combine GPS, Wi-Fi, and cellular information. GPS is only one input into the broader location-services feature set.</p>
<h3>Exam Trap</h3>
<p>Do not assume every location result came only from satellite GPS.</p>"	medium	basic	220-1201 1.3 - Mobile Device Networks	Professor Messer 220-1201 v1.70 p.4; CompTIA 220-1201 Exam Objectives v2.0, Objective 1.3	A+::220-1201::1.3 A+::220-1201::MobileDeviceNetworks Basic Scenario GPS Location
1.3-B008	<p>An organization wants to require screen locks, configure corporate email, and restrict unauthorized apps on employee mobile devices. What type of system should it use?</p>	<p><strong>Mobile Device Management</strong>.</p>	"<h3>Why</h3>
<p>MDM centrally applies mobile-device policies, including access controls, app restrictions, and corporate email configuration.</p>
<h3>Real Help Desk</h3>
<p>When an enterprise phone “sets itself up,” MDM may be applying policy rather than a user manually configuring each setting.</p>"	medium	basic	220-1201 1.3 - Mobile Device Networks	Professor Messer 220-1201 v1.70 p.5; CompTIA 220-1201 Exam Objectives v2.0, Objective 1.3	A+::220-1201::1.3 A+::220-1201::MobileDeviceNetworks Basic HighYield Scenario MDM Security
1.3-B009	<p>An employee owns the phone but uses it for company email and apps. Why is this harder to secure than a fully company-owned device?</p>	<p>It mixes <strong>personal ownership/use</strong> with <strong>company data and requirements</strong>, so protecting and removing corporate data is more complicated.</p>	"<h3>Why</h3>
<p>BYOD devices are both personal and work devices. That creates policy, privacy, and data-protection challenges.</p>
<h3>Exam Trap</h3>
<p>The ownership model matters. Do not treat BYOD as if the company has the same control it has over a corporate laptop.</p>"	medium	basic	220-1201 1.3 - Mobile Device Networks	Professor Messer 220-1201 v1.70 p.5; CompTIA 220-1201 Exam Objectives v2.0, Objective 1.3	A+::220-1201::1.3 A+::220-1201::MobileDeviceNetworks Basic HighYield Scenario BYOD Security
1.3-B010	<p>A company buys and controls a phone, but allows the employee to use it personally. Which ownership model best matches this?</p>	<p><strong>COPE</strong>.</p>	"<h3>Why</h3>
<p>COPE means the device is corporate-owned but personally enabled. The organization keeps strong control while permitting personal use.</p>
<h3>Related Cards</h3>
<p>BYOD starts with employee ownership. CYOD is similar to COPE but gives the user a choice from approved devices.</p>"	medium	basic	220-1201 1.3 - Mobile Device Networks	Professor Messer 220-1201 v1.70 p.5; CompTIA 220-1201 Exam Objectives v2.0, Objective 1.3	A+::220-1201::1.3 A+::220-1201::MobileDeviceNetworks Basic Comparison COPE CYOD
