#separator:Tab
#html:true
#tags column:10
#columns:Card ID	Front	Hint	Back	Instructor Notes	Difficulty	Card Type	Objective	Source	Tags
2.11-B001	"<p>A technician needs a new browser installer. Which download approach best
reduces the risk of receiving a substituted malicious installer?</p>"		"<p>Go directly to the browser publisher's official site or another
organization-approved trusted source.</p>"	"<p>An unfamiliar third-party site or an untrusted message link can deliver a
different file than the legitimate publisher intended. Source trust is the
first decision; a later integrity check does not make an unknown publisher
trustworthy.</p>"	medium	basic	220-1202 2.11 - Browser Security Settings	CompTIA 220-1202 Exam Objectives v4.0, Objective 2.11; Professor Messer 220-1202 v1.40, p. 47	A+::220-1202::2.11 A+::220-1202::Domain2-Security A+::220-1202::BrowserSecuritySettings Basic HighYield BrowserSecurity SoftwareSources Downloads Source::Messer-v140
2.11-B002	"<p>A browser publisher lists a hash for its installer. How should a technician use
that value after downloading the file?</p>"		"<p>Calculate the downloaded file's hash and compare it with the publisher's known
hash. The values should match.</p>"	"<p>The comparison checks whether the downloaded bytes match the version
represented by the publisher. It complements—but does not replace—the decision
to obtain software from a trusted source.</p>"	medium	basic	220-1202 2.11 - Browser Security Settings	CompTIA 220-1202 Exam Objectives v4.0, Objective 2.11; Professor Messer 220-1202 v1.40, p. 47	A+::220-1202::2.11 A+::220-1202::Domain2-Security A+::220-1202::BrowserSecuritySettings Basic HighYield BrowserSecurity Hashing FileIntegrity Source::Messer-v140
2.11-B003	"<p>A browser is several releases behind and is missing available security fixes.
Which configuration action addresses this risk?</p>"		"<p>Update the browser to a current supported release through its trusted update
mechanism.</p>"	"<p>The updater may be integrated with the operating system or built into the
browser. The durable security decision is to apply browser patches rather than
memorize a vendor-specific menu path.</p>"	medium	basic	220-1202 2.11 - Browser Security Settings	CompTIA 220-1202 Exam Objectives v4.0, Objective 2.11; Professor Messer 220-1202 v1.40, p. 47	A+::220-1202::2.11 A+::220-1202::Domain2-Security A+::220-1202::BrowserSecuritySettings Basic HighYield BrowserSecurity Patching Updates Source::Messer-v140
2.11-B004	"<p>A user needs an approved browser extension. From where should the extension be
installed?</p>"		"<p>Use the browser's official extension catalog or another organization-approved,
known-good source.</p>"	"<p>Extensions execute within a browser that handles sensitive sessions and data.
An official catalog improves source accountability, although installed add-ons
should still be limited to those that are needed and approved.</p>"	medium	basic	220-1202 2.11 - Browser Security Settings	CompTIA 220-1202 Exam Objectives v4.0, Objective 2.11; Professor Messer 220-1202 v1.40, p. 47	A+::220-1202::2.11 A+::220-1202::Domain2-Security A+::220-1202::BrowserSecuritySettings Basic HighYield BrowserSecurity Extensions SoftwareSources Source::Messer-v140
2.11-B005	"<p>A browser contains an unfamiliar extension that was not approved or
intentionally installed. What should the technician do in browser feature
management?</p>"		<p>Disable the extension.</p>	"<p>Unexpected add-ons can be installed by unwanted software and may gain access
to browser activity. Disabling an untrusted component reduces the active
browser attack surface.</p>"	medium	basic	220-1202 2.11 - Browser Security Settings	CompTIA 220-1202 Exam Objectives v4.0, Objective 2.11; Professor Messer 220-1202 v1.40, pp. 47-48	A+::220-1202::2.11 A+::220-1202::Domain2-Security A+::220-1202::BrowserSecuritySettings Basic HighYield BrowserSecurity Extensions FeatureManagement Source::Messer-v140
2.11-B006	"<p>A user needs a different strong password for each website without memorizing
every credential. Which browser-related security tool fits this requirement?</p>"		<p>A password manager with an encrypted credential vault.</p>	"<p>The manager centralizes protected credential storage while supporting unique
passwords across sites. This is more secure than solving the memory problem by
reusing one password.</p>"	medium	basic	220-1202 2.11 - Browser Security Settings	CompTIA 220-1202 Exam Objectives v4.0, Objective 2.11; Professor Messer 220-1202 v1.40, p. 48	A+::220-1202::2.11 A+::220-1202::Domain2-Security A+::220-1202::BrowserSecuritySettings Basic HighYield BrowserSecurity PasswordManagers Credentials Source::Messer-v140
2.11-B007	"<p>A browser reports a certificate warning for a secure site. Which three
certificate details should be checked before trusting the connection?</p>"		"<p>Check that the certificate:</p>
<ol>
<li>matches the requested domain,</li>
<li>is within its valid date range, and</li>
<li>is signed through a trusted certificate authority.</li>
</ol>"	"<p>Encryption alone does not establish the site's identity. A mismatch in any of
these checks explains why the browser cannot validate the certificate as
expected.</p>"	medium	basic	220-1202 2.11 - Browser Security Settings	CompTIA 220-1202 Exam Objectives v4.0, Objective 2.11; Professor Messer 220-1202 v1.40, p. 48	A+::220-1202::2.11 A+::220-1202::Domain2-Security A+::220-1202::BrowserSecuritySettings Basic HighYield BrowserSecurity Certificates HTTPS Source::Messer-v140
2.11-B008	"<p>A workstation's clock was reset to the wrong date. Secure sites now report that
their certificates are outside their validity periods. Which local setting
should be corrected?</p>"		<p>Check and correct the computer's date and time.</p>	"<p>Certificate validation compares a certificate's validity period with the local
clock. A clock that is far ahead or behind can make valid certificates appear
expired or not yet valid.</p>"	medium	basic	220-1202 2.11 - Browser Security Settings	CompTIA 220-1202 Exam Objectives v4.0, Objective 2.11; Professor Messer 220-1202 v1.40, p. 48	A+::220-1202::2.11 A+::220-1202::Domain2-Security A+::220-1202::BrowserSecuritySettings Basic HighYield BrowserSecurity Certificates SystemTime Source::Messer-v140
2.11-B009	"<p>A trusted business site requires a pop-up for one legitimate workflow. How
should the browser be configured without allowing pop-ups from every site?</p>"		"<p>Keep the pop-up blocker enabled and allow a narrow exception for the trusted
site.</p>"	"<p>Browser pop-up controls can block or allow by site. A scoped exception meets
the stated need while preserving the broader protection.</p>"	medium	basic	220-1202 2.11 - Browser Security Settings	CompTIA 220-1202 Exam Objectives v4.0, Objective 2.11; Professor Messer 220-1202 v1.40, p. 48	A+::220-1202::2.11 A+::220-1202::Domain2-Security A+::220-1202::BrowserSecuritySettings Basic BrowserSecurity Popups SiteExceptions Source::Messer-v140
2.11-B010	"<p>A browser profile must no longer retain its history, download list, or saved
website credentials. Which browser action addresses those stored categories?</p>"		<p>Clear the browsing data and select those categories for removal.</p>	"<p>Clearing browsing data is broader than clearing only cached website resources.
The selected categories matter because browsers can retain several distinct
types of local information.</p>"	medium	basic	220-1202 2.11 - Browser Security Settings	CompTIA 220-1202 Exam Objectives v4.0, Objective 2.11; Professor Messer 220-1202 v1.40, p. 48	A+::220-1202::2.11 A+::220-1202::Domain2-Security A+::220-1202::BrowserSecuritySettings Basic BrowserSecurity BrowsingData Privacy Source::Messer-v140
