#separator:Tab
#html:true
#tags column:10
#columns:Card ID	Front	Hint	Back	Instructor Notes	Difficulty	Card Type	Objective	Source	Tags
3.6-B001	<p>Before installing or replacing an internal computer power supply, what safety step should a technician take first?</p>		<p>Disconnect the system from its power source before working inside it.</p>	"<h3>Why</h3>
<p>Power supplies handle hazardous electricity, and some devices can store charge after being unplugged. Follow the system documentation before touching components that may retain charge.</p>"	easy	basic	220-1201 3.6 - Power Supplies	Professor Messer 220-1201 v1.70 p.40; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.6	A+::220-1201::3.6 A+::220-1201::Domain3-Hardware A+::220-1201::PowerSupplies Basic Power Safety Source::Messer-v170
3.6-B002	<p>What is the basic electrical role of a desktop computer power supply?</p>		<p>It converts AC wall power into the DC voltages used by internal computer components.</p>	"<h3>Distinction</h3>
<p>The input side is regional wall power. The output side is the low-voltage DC power distributed inside the computer.</p>"	easy	basic	220-1201 3.6 - Power Supplies	Professor Messer 220-1201 v1.70 p.40; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.6	A+::220-1201::3.6 A+::220-1201::Domain3-Hardware A+::220-1201::PowerSupplies Basic Power Voltage Source::Messer-v170
3.6-B003	<p>A desktop with a manual input-voltage selector is being installed in a region that uses 220-240 VAC. What must be checked before powering it on?</p>	<p>Match the supply input to the wall power before applying power.</p>	<p>Verify that the power supply is set for the correct input-voltage range, 220-240 VAC, or that it supports that range automatically.</p>	"<h3>Why</h3>
<p>Input voltage is selected on the AC side of the power supply. A wrong setting can prevent operation or damage the unit.</p>"	medium	basic	220-1201 3.6 - Power Supplies	Professor Messer 220-1201 v1.70 p.40; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.6	A+::220-1201::3.6 A+::220-1201::Domain3-Hardware A+::220-1201::PowerSupplies Basic HighYield Power Voltage Scenario Source::Messer-v170
3.6-B004	<p>What is the practical advantage of an auto-voltage power supply when a computer may be used in different countries?</p>		<p>It can use different supported input-voltage ranges without the technician manually setting a voltage switch.</p>	"<h3>Distinction</h3>
<p>Auto-voltage input helps with regional AC differences. It does not remove the need to check connectors, wattage, efficiency, or component requirements.</p>"	medium	basic	220-1201 3.6 - Power Supplies	Professor Messer 220-1201 v1.70 p.40; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.6	A+::220-1201::3.6 A+::220-1201::Domain3-Hardware A+::220-1201::PowerSupplies Basic HighYield Power Voltage Scenario Source::Messer-v170
3.6-B005	<p>Why does Objective 3.6 compare 3.3 V, 5 V, and 12 V power-supply outputs?</p>		<p>Different internal components use different DC output voltages, so the power supply must provide the required rails for the system.</p>	"<h3>Why</h3>
<p>The useful exam distinction is not a complete rail table. It is recognizing that a PSU must provide the correct DC outputs for the motherboard, storage, cooling, and adapters.</p>"	medium	basic	220-1201 3.6 - Power Supplies	Professor Messer 220-1201 v1.70 p.40; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.6	A+::220-1201::3.6 A+::220-1201::Domain3-Hardware A+::220-1201::PowerSupplies Basic HighYield Power Voltage Source::Messer-v170
3.6-B006	<p>Which power-supply output is most associated with higher-power devices such as PCIe adapters, drive motors, and cooling fans?</p>		<p>The 12 V output.</p>	"<h3>Why</h3>
<p>The 12 V rail is commonly tied to motors, fans, high-power adapters, and many modern components. The objective still expects awareness of 3.3 V and 5 V outputs as well.</p>"	medium	basic	220-1201 3.6 - Power Supplies	Professor Messer 220-1201 v1.70 p.40; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.6	A+::220-1201::3.6 A+::220-1201::Domain3-Hardware A+::220-1201::PowerSupplies Basic Power Voltage Source::Messer-v170
3.6-B007	<p>Why do many ATX power supplies use a 20+4-pin motherboard power connector?</p>		<p>The extra four-pin section lets the connector support either older 20-pin motherboards or newer 24-pin motherboard power sockets when attached.</p>	"<h3>Distinction</h3>
<p>The 20+4-pin connector is the main motherboard power connector. It is separate from auxiliary PCIe power connectors used by some high-power add-on cards.</p>"	medium	basic	220-1201 3.6 - Power Supplies	Professor Messer 220-1201 v1.70 p.40; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.6	A+::220-1201::3.6 A+::220-1201::Domain3-Hardware A+::220-1201::PowerSupplies Basic HighYield Power Connector Source::Messer-v170
3.6-B008	<p>When is a redundant power supply the appropriate choice?</p>		<p>Use redundant power supplies when the system must keep running after one power supply module fails, such as in server hardware.</p>	"<h3>Why</h3>
<p>Redundancy is about availability, not extra performance. Each supply must be able to support the load so a failed module can be replaced without stopping the supported system.</p>"	medium	basic	220-1201 3.6 - Power Supplies	Professor Messer 220-1201 v1.70 p.40; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.6	A+::220-1201::3.6 A+::220-1201::Domain3-Hardware A+::220-1201::PowerSupplies Basic HighYield Power Redundancy Server Source::Messer-v170
3.6-B009	<p>What is the main installation advantage of a modular power supply over a fixed-cable power supply?</p>		<p>A modular power supply lets the technician attach only the cables needed for the build, reducing unused cabling and improving cable management and airflow.</p>	"<h3>Tradeoff</h3>
<p>Modular cabling is cleaner but can cost more. Fixed-cable supplies may leave unused cables in the case or may not provide every cable a build needs.</p>"	medium	basic	220-1201 3.6 - Power Supplies	Professor Messer 220-1201 v1.70 p.41; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.6	A+::220-1201::3.6 A+::220-1201::Domain3-Hardware A+::220-1201::PowerSupplies Basic HighYield Power Modular Source::Messer-v170
3.6-B010	<p>When selecting a replacement power supply for a desktop with a high-performance video adapter, what should the technician verify?</p>	<p>The graphics adapter often drives the power budget.</p>	<p>Verify that the PSU wattage and required power connectors meet the system and video adapter requirements.</p>	"<h3>Why</h3>
<p>Video adapters are often the largest power draw in a desktop. Component documentation commonly lists a recommended power supply wattage.</p>"	medium	basic	220-1201 3.6 - Power Supplies	Professor Messer 220-1201 v1.70 p.41; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.6	A+::220-1201::3.6 A+::220-1201::Domain3-Hardware A+::220-1201::PowerSupplies Basic HighYield Power Wattage Scenario Source::Messer-v170
