#separator:Tab
#html:true
#tags column:9
#columns:Card ID	Front	Back	Instructor Notes	Difficulty	Card Type	Objective	Source	Tags
1.2-B001	<p>A user connects a phone to a computer with a cable and expects more than one task to happen. Name two common purposes that mobile-device connections can support.</p>	<p>Common purposes include <strong>charging</strong>, <strong>data synchronization</strong>, <strong>file transfer</strong>, <strong>backup</strong>, and <strong>device identification</strong>.</p>	"<h3>Why</h3>
<p>Mobile-device connections are not limited to one function. A single connection may provide power and data movement at the same time.</p>
<h3>Exam Trap</h3>
<p>Do not treat “connecting a mobile device” as only a charging topic; the objective also includes data and identification use cases.</p>"	easy	basic	220-1201 1.2 - Connecting Mobile Devices	Professor Messer 220-1201 v1.70 p.2; CompTIA 220-1201 Exam Objectives v2.0, Objective 1.2	A+::220-1201::1.2 A+::220-1201::ConnectingMobileDevices Basic Scenario Connectivity
1.2-B002	<p>A technician finds an older mobile device with a connector that is larger than Micro-USB but still smaller than full-size USB. Which older connector type is most likely?</p>	<p><strong>Mini-USB</strong>.</p>	"<h3>Why</h3>
<p>Mini-USB is an older mobile-device connector and is larger than Micro-USB. Micro-USB became more common on many mobile devices before USB-C adoption.</p>
<h3>Tech Wisdom</h3>
<p>Connector age and size are not the same as data capability. Identify the physical connector first, then verify what the device supports.</p>"	easy	basic	220-1201 1.2 - Connecting Mobile Devices	Professor Messer 220-1201 v1.70 p.2; CompTIA 220-1201 Exam Objectives v2.0, Objective 1.2	A+::220-1201::1.2 A+::220-1201::ConnectingMobileDevices Basic Connector USB
1.2-B003	<p>A tablet has a USB-C port, and the user wants to connect it to an external display through a USB-C adapter. What should you verify before assuming the adapter will work?</p>	<p>Verify that the device and adapter support the needed <strong>display signal</strong>, not just the USB-C connector shape.</p>	"<h3>Why</h3>
<p>USB-C describes the reversible physical connector. The same connector can carry different supported signals depending on the device and adapter.</p>
<h3>Exam Trap</h3>
<p>Do not assume every USB-C port supports DisplayPort, HDMI, Thunderbolt, or every USB data mode.</p>"	medium	basic	220-1201 1.2 - Connecting Mobile Devices	Professor Messer 220-1201 v1.70 p.2; CompTIA 220-1201 Exam Objectives v2.0, Objective 1.2	A+::220-1201::1.2 A+::220-1201::ConnectingMobileDevices Basic HighYield Scenario Connector USB
1.2-B005	<p>A company wants users to tap a phone or badge near a workstation reader for quick authentication. Which mobile-device connection method best fits this requirement?</p>	<p><strong>NFC</strong>.</p>	"<h3>Why</h3>
<p>NFC is designed for very short-range wireless exchange, which makes it useful for tap-style payment, identity, and access-token workflows.</p>
<h3>Exam Trap</h3>
<p>NFC is not the best answer for an ongoing headset or speaker connection. Use Bluetooth for that type of peripheral.</p>"	medium	basic	220-1201 1.2 - Connecting Mobile Devices	Professor Messer 220-1201 v1.70 p.2; CompTIA 220-1201 Exam Objectives v2.0, Objective 1.2	A+::220-1201::1.2 A+::220-1201::ConnectingMobileDevices Basic HighYield Scenario NFC Authentication
1.2-B006	<p>A user wants a phone to connect wirelessly to headphones and a smartwatch over short distances. Which technology should they use?</p>	<p><strong>Bluetooth</strong>.</p>	"<h3>Why</h3>
<p>Bluetooth is used for short-range personal-area connections between mobile devices and nearby peripherals.</p>
<h3>Related Cards</h3>
<p><code>1.2-B005</code> tests NFC selection for tap-style workflows. This card tests ongoing peripheral connectivity.</p>"	medium	basic	220-1201 1.2 - Connecting Mobile Devices	Professor Messer 220-1201 v1.70 p.3; CompTIA 220-1201 Exam Objectives v2.0, Objective 1.2	A+::220-1201::1.2 A+::220-1201::ConnectingMobileDevices Basic HighYield Scenario Bluetooth Peripheral
1.2-B007	<p>A laptop has no available Wi-Fi network, but the user's phone has cellular data. What mobile feature can share the phone's Internet connection with the laptop, and what should you check before relying on it?</p>	<p>Use <strong>hotspot/tethering</strong>, and check whether the phone and cellular plan allow it, including possible data limits or charges.</p>	"<h3>Why</h3>
<p>Hotspot and tethering features let the phone extend its cellular data connection to other devices.</p>
<h3>Real Help Desk</h3>
<p>If the feature is missing or blocked, the issue may be the carrier plan or provider policy rather than the laptop.</p>"	medium	basic	220-1201 1.2 - Connecting Mobile Devices	Professor Messer 220-1201 v1.70 p.3; CompTIA 220-1201 Exam Objectives v2.0, Objective 1.2	A+::220-1201::1.2 A+::220-1201::ConnectingMobileDevices Basic HighYield Scenario Tethering Troubleshooting
1.2-B008	<p>A user buys a digital stylus for a tablet, but pressure-sensitive drawing and button features do not work. What is the best first thing to verify?</p>	<p>Verify that the <strong>stylus is compatible with that tablet model or device family</strong>.</p>	"<h3>Why</h3>
<p>Advanced stylus features depend on direct communication between the stylus and the device. A generic stylus may not support device-specific features.</p>
<h3>Exam Trap</h3>
<p>Do not assume any pointed input tool is equivalent to an active stylus.</p>"	medium	basic	220-1201 1.2 - Connecting Mobile Devices	Professor Messer 220-1201 v1.70 p.3; CompTIA 220-1201 Exam Objectives v2.0, Objective 1.2	A+::220-1201::1.2 A+::220-1201::ConnectingMobileDevices Basic Scenario Stylus Input
1.2-B009	<p>A user needs hands-free audio with both earphones and a microphone. Name two supported headset connection options from Objective 1.2.</p>	<p>Examples include <strong>Bluetooth</strong>, <strong>USB</strong>, a <strong>3.5 mm TRRS analog connector</strong>, or a compatible device-specific connector.</p>	"<h3>Why</h3>
<p>Headsets combine listening and microphone input. The connection choice depends on the device ports and whether the user needs wired or wireless operation.</p>
<h3>Exam Trap</h3>
<p>Standard stereo headphones and a headset are not always the same thing; the microphone path matters.</p>"	medium	basic	220-1201 1.2 - Connecting Mobile Devices	Professor Messer 220-1201 v1.70 p.3; CompTIA 220-1201 Exam Objectives v2.0, Objective 1.2	A+::220-1201::1.2 A+::220-1201::ConnectingMobileDevices Basic Scenario Audio Accessory
1.2-B010	<p>A user wants a desktop-style setup with external keyboard, mouse, and additional interfaces. Which accessory is the better fit: a docking station or a port replicator?</p>	<p>A <strong>docking station</strong> is the better fit when the user needs a broader desktop-style expansion setup.</p>	"<h3>Why</h3>
<p>Docking stations extend existing interfaces and can add functionality. Port replicators are similar but are usually simpler and commonly connect over USB.</p>
<h3>Exam Trap</h3>
<p>If the question emphasizes expansion-card capability, the approved source points away from a basic port replicator.</p>"	medium	basic	220-1201 1.2 - Connecting Mobile Devices	Professor Messer 220-1201 v1.70 p.3; CompTIA 220-1201 Exam Objectives v2.0, Objective 1.2	A+::220-1201::1.2 A+::220-1201::ConnectingMobileDevices Basic Comparison Docking
1.2-B011	<p>A user keeps accidentally moving the pointer while typing on a laptop. Which built-in input device setting should you consider disabling or adjusting?</p>	<p>The <strong>trackpad</strong>.</p>	"<h3>Why</h3>
<p>Trackpads can replace a mouse, but accidental taps or pointer movement can interfere with typing.</p>
<h3>Real Help Desk</h3>
<p>This is often a usability issue, not a hardware failure. Check the trackpad settings before replacing parts.</p>"	easy	basic	220-1201 1.2 - Connecting Mobile Devices	Professor Messer 220-1201 v1.70 p.3; CompTIA 220-1201 Exam Objectives v2.0, Objective 1.2	A+::220-1201::1.2 A+::220-1201::ConnectingMobileDevices Basic Scenario Trackpad Input
