#separator:Tab
#html:true
#tags column:10
#columns:Card ID	Front	Hint	Back	Instructor Notes	Difficulty	Card Type	Objective	Source	Tags
2.1-B001	"<p>A facility must stop vehicles from approaching an entrance while still
directing people toward a pedestrian checkpoint. Which physical control fits?</p>"		<p>Bollards.</p>	"<p>Bollards are vehicle-resistant barriers. They manage physical approach to an
area; they do not authenticate the people who pass between them.</p>"	medium	basic	220-1202 2.1 - Security Measures and Purposes	CompTIA 220-1202 Exam Objectives v4.0, Objective 2.1; Professor Messer 220-1202 v1.40, p. 24	A+::220-1202::2.1 A+::220-1202::Domain2-Security A+::220-1202::SecurityMeasuresandPurposes Basic PhysicalSecurity Bollards Source::Messer-v140
2.1-B002	"<p>Which physical control uses two interlocked doors so one door remains secured
while passage through the other is controlled?</p>"		<p>An access control vestibule.</p>	"<p>The two-door design limits the flow of people through a checkpoint. A fence or
bollard directs movement but does not provide this controlled intermediate space.</p>"	medium	basic	220-1202 2.1 - Security Measures and Purposes	CompTIA 220-1202 Exam Objectives v4.0, Objective 2.1; Professor Messer 220-1202 v1.40, p. 24	A+::220-1202::2.1 A+::220-1202::Domain2-Security A+::220-1202::SecurityMeasuresandPurposes Basic HighYield PhysicalSecurity AccessControl Source::Messer-v140
2.1-B003	<p>What is the purpose of a badge reader at a controlled entrance?</p>		"<p>It reads an identification credential so the access system can allow or deny
entry.</p>"	"<p>The credential may use RFID, NFC, or a magnetic stripe. Reading a badge is an
automated access check; a printed badge viewed by a guard is a manual check.</p>"	easy	basic	220-1202 2.1 - Security Measures and Purposes	CompTIA 220-1202 Exam Objectives v4.0, Objective 2.1; Professor Messer 220-1202 v1.40, p. 24	A+::220-1202::2.1 A+::220-1202::Domain2-Security A+::220-1202::SecurityMeasuresandPurposes Basic PhysicalSecurity Badges Source::Messer-v140
2.1-B004	"<p>Which physical security measure provides recorded visual evidence for live
monitoring or later review?</p>"		<p>Video surveillance.</p>	"<p>Surveillance is primarily a detection and evidence control. It does not by
itself prevent entry, so facilities often pair it with barriers or access controls.</p>"	easy	basic	220-1202 2.1 - Security Measures and Purposes	CompTIA 220-1202 Exam Objectives v4.0, Objective 2.1; Professor Messer 220-1202 v1.40, p. 24	A+::220-1202::2.1 A+::220-1202::Domain2-Security A+::220-1202::SecurityMeasuresandPurposes Basic PhysicalSecurity Surveillance Source::Messer-v140
2.1-B005	"<p>How does a motion sensor differ from an alarm system in a physical-security
design?</p>"		"<p>A motion sensor detects movement; an alarm system signals that a configured
security event has occurred.</p>"	"<p>A motion sensor can feed an alarm system, but the detector and the notification
system are different roles. Alarms may also react to doors, windows, or duress inputs.</p>"	medium	basic	220-1202 2.1 - Security Measures and Purposes	CompTIA 220-1202 Exam Objectives v4.0, Objective 2.1; Professor Messer 220-1202 v1.40, p. 24	A+::220-1202::2.1 A+::220-1202::Domain2-Security A+::220-1202::SecurityMeasuresandPurposes Basic PhysicalSecurity Detection Source::Messer-v140
2.1-B006	<p>What security boundary is a door lock primarily intended to enforce?</p>		<p>Entry into a room, building, or other enclosed area.</p>	"<p>Door locks may be mechanical, electronic, token-based, biometric, or
multifactor. Their shared purpose is controlling passage through the doorway.</p>"	easy	basic	220-1202 2.1 - Security Measures and Purposes	CompTIA 220-1202 Exam Objectives v4.0, Objective 2.1; Professor Messer 220-1202 v1.40, p. 24	A+::220-1202::2.1 A+::220-1202::Domain2-Security A+::220-1202::SecurityMeasuresandPurposes Basic PhysicalSecurity Locks Source::Messer-v140
2.1-B007	"<p>A shared data-center room is already access controlled, but one team must also
restrict physical access to its own servers. Which control addresses that need?</p>"		<p>Equipment locks, such as a locked rack or cabinet.</p>	"<p>The room lock protects the area. An equipment lock adds a narrower boundary
around a particular asset or group of assets.</p>"	medium	basic	220-1202 2.1 - Security Measures and Purposes	CompTIA 220-1202 Exam Objectives v4.0, Objective 2.1; Professor Messer 220-1202 v1.40, p. 24	A+::220-1202::2.1 A+::220-1202::Domain2-Security A+::220-1202::SecurityMeasuresandPurposes Basic PhysicalSecurity Equipment Source::Messer-v140
2.1-B008	"<p>Which physical control can verify an employee's identity, enforce a visitor
access list, and respond to unusual activity at an entrance?</p>"		<p>A security guard.</p>	"<p>A guard can interpret circumstances and manage exceptions that an automated
reader cannot. Consistent procedures and visitor records make that judgment auditable.</p>"	medium	basic	220-1202 2.1 - Security Measures and Purposes	CompTIA 220-1202 Exam Objectives v4.0, Objective 2.1; Professor Messer 220-1202 v1.40, p. 24	A+::220-1202::2.1 A+::220-1202::Domain2-Security A+::220-1202::SecurityMeasuresandPurposes Basic PhysicalSecurity Guards Source::Messer-v140
2.1-B009	<p>What is the primary security purpose of a fence around a facility?</p>		<p>To establish and reinforce a physical perimeter.</p>	"<p>Fence height, visibility, cut resistance, and anti-climb features affect its
strength, but the stable concept is the perimeter boundary.</p>"	easy	basic	220-1202 2.1 - Security Measures and Purposes	CompTIA 220-1202 Exam Objectives v4.0, Objective 2.1; Professor Messer 220-1202 v1.40, p. 24	A+::220-1202::2.1 A+::220-1202::Domain2-Security A+::220-1202::SecurityMeasuresandPurposes Basic PhysicalSecurity Perimeter Source::Messer-v140
2.1-B010	"<p>Which small carried token commonly unlocks a door through proximity or
contactless operation instead of a mechanical key?</p>"		<p>A key fob.</p>	"<p>A key fob is something the user possesses. Its convenience does not prove that
the holder is the authorized person unless another factor is also required.</p>"	easy	basic	220-1202 2.1 - Security Measures and Purposes	CompTIA 220-1202 Exam Objectives v4.0, Objective 2.1; Professor Messer 220-1202 v1.40, p. 25	A+::220-1202::2.1 A+::220-1202::Domain2-Security A+::220-1202::SecurityMeasuresandPurposes Basic PhysicalAccess KeyFob Source::Messer-v140
