#separator:Tab
#html:true
#tags column:10
#columns:Card ID	Front	Hint	Back	Instructor Notes	Difficulty	Card Type	Objective	Source	Tags
3.2-B001	<p>A network cable will run near equipment that creates electrical interference. Which twisted-pair cable type is the better fit: UTP or STP?</p>		<p><strong>STP</strong>, because shielded twisted-pair cable adds shielding to reduce interference.</p>	"<h3>Exam Trap</h3>
<p>UTP is common for ordinary Ethernet runs, but the question adds an interference concern. STP is the better match when shielding is the reason for choosing the cable.</p>"	medium	basic	220-1201 3.2 - Cable Types, Connectors, Features, and Purposes	Professor Messer 220-1201 v1.70 p.23; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.2	A+::220-1201::3.2 A+::220-1201::Domain3-Hardware A+::220-1201::CableTypesConnectorsFeaturesandPurposes Basic HighYield TwistedPair CableTypes Scenario Source::Messer-v170
3.2-B002	<p>Which cable feature should a technician look for when an Ethernet cable must be installed underground between nearby structures?</p>		<p>Use <strong>direct-burial cable</strong>.</p>	"<h3>Why</h3>
<p>Direct-burial cable is built for underground outdoor exposure. In the 3.2 scope, it is tied to shielded twisted-pair cabling and protection from the environment.</p>"	medium	basic	220-1201 3.2 - Cable Types, Connectors, Features, and Purposes	Professor Messer 220-1201 v1.70 p.23; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.2	A+::220-1201::3.2 A+::220-1201::Domain3-Hardware A+::220-1201::CableTypesConnectorsFeaturesandPurposes Basic DirectBurial TwistedPair Scenario Source::Messer-v170
3.2-B003	<p>A cable will be installed in an air-handling space above a drop ceiling. What cable rating should the technician verify?</p>		<p>Verify that the cable is <strong>plenum-rated</strong>.</p>	"<h3>Why</h3>
<p>Plenum-rated cable is about the jacket and installation environment. The point is not higher network speed; it is using cable suitable for spaces that can move air through a building.</p>"	medium	basic	220-1201 3.2 - Cable Types, Connectors, Features, and Purposes	Professor Messer 220-1201 v1.70 p.23; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.2	A+::220-1201::3.2 A+::220-1201::Domain3-Hardware A+::220-1201::CableTypesConnectorsFeaturesandPurposes Basic HighYield Plenum CableTypes Scenario Source::Messer-v170
3.2-B004	<p>Which cable and connector pairing is commonly associated with cable TV or cable modem service?</p>		<p><strong>Coaxial cable with an F-type connector.</strong></p>	"<h3>Exam Trap</h3>
<p>RJ45 is the common Ethernet modular connector. F-type is the threaded connector associated with coaxial cable service.</p>"	easy	basic	220-1201 3.2 - Cable Types, Connectors, Features, and Purposes	Professor Messer 220-1201 v1.70 pp.23, 28; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.2	A+::220-1201::3.2 A+::220-1201::Domain3-Hardware A+::220-1201::CableTypesConnectorsFeaturesandPurposes Basic Coax FType CableTypes Source::Messer-v170
3.2-B005	<p>For a long-distance fiber link, should a technician generally expect single-mode or multimode fiber?</p>		<p><strong>Single-mode fiber.</strong></p>	"<h3>Why</h3>
<p>Single-mode fiber is the long-distance fiber option in this objective. Multimode fiber is associated with shorter runs and less expensive light sources.</p>"	medium	basic	220-1201 3.2 - Cable Types, Connectors, Features, and Purposes	Professor Messer 220-1201 v1.70 p.24; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.2	A+::220-1201::3.2 A+::220-1201::Domain3-Hardware A+::220-1201::CableTypesConnectorsFeaturesandPurposes Basic HighYield Fiber CableTypes Scenario Source::Messer-v170
3.2-B006	<p>Why is it unsafe to assume that every USB-C port supports the same features?</p>		<p><strong>USB-C describes the connector shape, not one guaranteed protocol or capability.</strong></p>	"<h3>Exam Trap</h3>
<p>A USB-C connector can be used for USB data, power, Thunderbolt, or video features depending on the device and cable. The connector shape alone does not prove what signals are supported.</p>"	medium	basic	220-1201 3.2 - Cable Types, Connectors, Features, and Purposes	Professor Messer 220-1201 v1.70 pp.25-26, 28; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.2	A+::220-1201::3.2 A+::220-1201::Domain3-Hardware A+::220-1201::CableTypesConnectorsFeaturesandPurposes Basic HighYield USBC PeripheralCables ExamTrap Source::Messer-v170
3.2-B007	<p>Which high-speed peripheral connection can use a USB-C connector while carrying data and power on the same cable?</p>		<p><strong>Thunderbolt.</strong></p>	"<h3>Exam Trap</h3>
<p>Newer Thunderbolt connections can use the USB-C connector, but USB-C and Thunderbolt are not the same thing. USB-C is the physical connector; Thunderbolt is the high-speed interface.</p>"	medium	basic	220-1201 3.2 - Cable Types, Connectors, Features, and Purposes	Professor Messer 220-1201 v1.70 p.25; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.2	A+::220-1201::3.2 A+::220-1201::Domain3-Hardware A+::220-1201::CableTypesConnectorsFeaturesandPurposes Basic HighYield Thunderbolt USBC PeripheralCables Source::Messer-v170
3.2-B008	<p>A technician needs text-based console access to older equipment through an RS-232-style connection. Which connector type is commonly associated with that serial connection?</p>		<p><strong>DB9.</strong></p>	"<h3>Real Help Desk</h3>
<p>Serial console access still appears on some infrastructure devices. A modern laptop may need a USB-to-serial adapter to connect to that management port.</p>"	medium	basic	220-1201 3.2 - Cable Types, Connectors, Features, and Purposes	Professor Messer 220-1201 v1.70 pp.25, 28; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.2	A+::220-1201::3.2 A+::220-1201::Domain3-Hardware A+::220-1201::CableTypesConnectorsFeaturesandPurposes Basic Serial DB9 Scenario Source::Messer-v170
3.2-B009	<p>Which two video cable families in Objective 3.2 are digital connections commonly used for audio/video or monitor output?</p>		<p><strong>HDMI and DisplayPort.</strong></p>	"<h3>Why</h3>
<p>HDMI is common for digital audio/video devices. DisplayPort is common for PC display connections and can also carry digital audio/video data.</p>"	easy	basic	220-1201 3.2 - Cable Types, Connectors, Features, and Purposes	Professor Messer 220-1201 v1.70 p.26; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.2	A+::220-1201::3.2 A+::220-1201::Domain3-Hardware A+::220-1201::CableTypesConnectorsFeaturesandPurposes Basic HDMI DisplayPort VideoCables Source::Messer-v170
3.2-B010	<p>How should a technician distinguish VGA from DVI at a high level?</p>		<p><strong>VGA is analog video only; DVI is a video connector family that can carry digital, analog, or both depending on the DVI variant.</strong></p>	"<h3>Exam Trap</h3>
<p>Do not treat all DVI connectors as identical. DVI-A, DVI-D, and DVI-I differ by signal support, while VGA remains analog video only.</p>"	medium	basic	220-1201 3.2 - Cable Types, Connectors, Features, and Purposes	Professor Messer 220-1201 v1.70 p.26; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.2	A+::220-1201::3.2 A+::220-1201::Domain3-Hardware A+::220-1201::CableTypesConnectorsFeaturesandPurposes Basic DVI VGA VideoCables Source::Messer-v170
