#separator:Tab
#html:true
#tags column:9
#columns:Card ID	Text	Extra	Instructor Notes	Difficulty	Card Type	Objective	Source	Tags
3.1-C001	<p>LCD stands for {{c1::liquid crystal display}}.</p>	<p>The liquid crystals control light, but the panel still needs a separate light source.</p>	"<h3>Exam Trap</h3>
<p>The crystals are not the light source; LCD hardware depends on backlighting.</p>"	easy	cloze	220-1201 3.1 - Display Types and Attributes	Professor Messer 220-1201 v1.70 p.21; CompTIA 220-1201 Exam Objectives v2.0, Objective 3.1	A+::220-1201::3.1 A+::220-1201::Domain3-Hardware A+::220-1201::DisplayTypesandAttributes Cloze LCD DisplayPanels Source::Messer-v170
3.1-C002	<p>OLED stands for {{c1::organic light emitting diode}}.</p>	<p>OLED pixels emit their own light instead of relying on a separate backlight.</p>	"<h3>Memory Trick</h3>
<p>The ""LE"" in OLED is the useful clue: the display technology emits light.</p>"	easy	cloze	220-1201 3.1 - Display Types and Attributes	Professor Messer 220-1201 v1.70 p.21; CompTIA 220-1201 Exam Objectives v2.0, Objective 3.1	A+::220-1201::3.1 A+::220-1201::Domain3-Hardware A+::220-1201::DisplayTypesandAttributes Cloze OLED DisplayPanels Source::Messer-v170
3.1-C003	<p>TN stands for {{c1::twisted nematic}}.</p>	<p>TN is associated with fast response, with weaker viewing angles as the tradeoff.</p>	"<h3>Exam Trap</h3>
<p>The acronym recall is separate from selecting TN for a response-time scenario.</p>"	easy	cloze	220-1201 3.1 - Display Types and Attributes	Professor Messer 220-1201 v1.70 p.21; CompTIA 220-1201 Exam Objectives v2.0, Objective 3.1	A+::220-1201::3.1 A+::220-1201::Domain3-Hardware A+::220-1201::DisplayTypesandAttributes Cloze TN DisplayPanels Source::Messer-v170
3.1-C004	<p>IPS stands for {{c1::in-plane switching}}.</p>	<p>IPS is associated with strong color representation.</p>	"<h3>Related Cards</h3>
<p>See 3.1-B002 for an IPS selection scenario.</p>"	easy	cloze	220-1201 3.1 - Display Types and Attributes	Professor Messer 220-1201 v1.70 p.21; CompTIA 220-1201 Exam Objectives v2.0, Objective 3.1	A+::220-1201::3.1 A+::220-1201::Domain3-Hardware A+::220-1201::DisplayTypesandAttributes Cloze IPS DisplayPanels Source::Messer-v170
3.1-C005	<p>VA stands for {{c1::vertical alignment}}.</p>	<p>VA is commonly treated as a compromise between TN and IPS characteristics.</p>	"<h3>Exam Trap</h3>
<p>Do not assume every LCD panel type has the same response, color, and viewing-angle behavior.</p>"	easy	cloze	220-1201 3.1 - Display Types and Attributes	Professor Messer 220-1201 v1.70 p.21; CompTIA 220-1201 Exam Objectives v2.0, Objective 3.1	A+::220-1201::3.1 A+::220-1201::Domain3-Hardware A+::220-1201::DisplayTypesandAttributes Cloze VA DisplayPanels Source::Messer-v170
3.1-C006	<p>Mini LED is an LCD backlight approach that uses {{c1::smaller LEDs}} for finer lighting control.</p>	<p>It improves backlight control, especially in dark areas, without changing the panel into OLED.</p>	"<h3>Exam Trap</h3>
<p>Mini LED describes the backlight system; OLED describes self-emissive pixels.</p>"	easy	cloze	220-1201 3.1 - Display Types and Attributes	Professor Messer 220-1201 v1.70 p.21; CompTIA 220-1201 Exam Objectives v2.0, Objective 3.1	A+::220-1201::3.1 A+::220-1201::Domain3-Hardware A+::220-1201::DisplayTypesandAttributes Cloze MiniLED Backlight Source::Messer-v170
3.1-C007	<p>Pixel density is commonly measured as pixels per {{c1::inch}}.</p>	<p>It relates the pixel count to the display's physical size.</p>	"<h3>Why</h3>
<p>Resolution alone does not describe how tightly those pixels are packed.</p>"	easy	cloze	220-1201 3.1 - Display Types and Attributes	Professor Messer 220-1201 v1.70 pp.21-22; CompTIA 220-1201 Exam Objectives v2.0, Objective 3.1	A+::220-1201::3.1 A+::220-1201::Domain3-Hardware A+::220-1201::DisplayTypesandAttributes Cloze PixelDensity DisplayAttributes Source::Messer-v170
3.1-C008	<p>Display refresh rate is usually measured in {{c1::hertz}}.</p>	<p>Refresh rate describes how often the image can update per second.</p>	"<h3>Why</h3>
<p>Higher refresh rates are most useful when the displayed content changes quickly.</p>"	easy	cloze	220-1201 3.1 - Display Types and Attributes	Professor Messer 220-1201 v1.70 p.22; CompTIA 220-1201 Exam Objectives v2.0, Objective 3.1	A+::220-1201::3.1 A+::220-1201::Domain3-Hardware A+::220-1201::DisplayTypesandAttributes Cloze RefreshRate DisplayAttributes Source::Messer-v170
3.1-C009	<p>Color gamut describes the {{c1::range of colors}} a display can represent.</p>	<p>Coverage of a particular gamut standard can matter for color-sensitive work.</p>	"<h3>Exam Trap</h3>
<p>A larger screen or higher resolution does not automatically mean better color coverage.</p>"	easy	cloze	220-1201 3.1 - Display Types and Attributes	Professor Messer 220-1201 v1.70 p.22; CompTIA 220-1201 Exam Objectives v2.0, Objective 3.1	A+::220-1201::3.1 A+::220-1201::Domain3-Hardware A+::220-1201::DisplayTypesandAttributes Cloze ColorGamut DisplayAttributes Source::Messer-v170
3.1-C010	<p>Screen resolution describes the number of pixels {{c1::across and down}}, commonly written as width x height.</p>	<p>Resolution is the pixel count; pixel density relates that count to the display's physical size.</p>	"<h3>Exam Trap</h3>
<p>Do not replace the core resolution concept with memorized resolution-name tables.</p>"	easy	cloze	220-1201 3.1 - Display Types and Attributes	Professor Messer 220-1201 v1.70 p.22; CompTIA 220-1201 Exam Objectives v2.0, Objective 3.1	A+::220-1201::3.1 A+::220-1201::Domain3-Hardware A+::220-1201::DisplayTypesandAttributes Cloze Resolution DisplayAttributes Source::Messer-v170
