#separator:Tab
#html:true
#tags column:10
#columns:Card ID	Prompt	Typed Answer	Back	Instructor Notes	Difficulty	Card Type	Objective	Source	Tags
1.5-T001	<p>Which command lists files and directories in the current location?</p>	dir	<p><code>dir</code> displays directory contents.</p>	<p>This typed-answer card tests exact command recall for navigation.</p>	easy	command	220-1202 1.5 - Microsoft Command-line Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.5; Professor Messer 220-1202 v1.40, p. 9	A+::220-1202::1.5 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftCommandlineTools Command CLI Navigation Source::Messer-v140
1.5-T002	<p>Using the short form, which command changes the working directory?</p>	cd	<p><code>cd</code> changes the current working directory.</p>	<p><code>chdir</code> is also valid in Windows, but this card asks for the short form.</p>	easy	command	220-1202 1.5 - Microsoft Command-line Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.5; Professor Messer 220-1202 v1.40, p. 9	A+::220-1202::1.5 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftCommandlineTools Command CLI Navigation Source::Messer-v140
1.5-T003	<p>Using the short form, which command creates a directory?</p>	md	<p><code>md</code> creates a directory.</p>	<p><code>mkdir</code> is also valid in Windows, but this card asks for the short form.</p>	easy	command	220-1202 1.5 - Microsoft Command-line Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.5; Professor Messer 220-1202 v1.40, p. 9	A+::220-1202::1.5 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftCommandlineTools Command CLI Files Source::Messer-v140
1.5-T004	<p>Using the objective-listed form, which command removes a directory?</p>	rmdir	<p><code>rmdir</code> removes a directory.</p>	<p><code>rd</code> is also supported, but the official objective lists <code>rmdir</code>.</p>	easy	command	220-1202 1.5 - Microsoft Command-line Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.5; Professor Messer 220-1202 v1.40, p. 9	A+::220-1202::1.5 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftCommandlineTools Command CLI Files Source::Messer-v140
1.5-T005	<p>Which command form fixes logical file-system errors with Check Disk?</p>	chkdsk /f	<p><code>chkdsk /f</code> fixes logical file-system errors.</p>	<p>This tests the exact repair option rather than just the base command.</p>	easy	command	220-1202 1.5 - Microsoft Command-line Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.5; Professor Messer 220-1202 v1.40, p. 9	A+::220-1202::1.5 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftCommandlineTools Command CLI Disk Source::Messer-v140
1.5-T006	"<p>Which command form locates bad sectors and recovers readable information with
Check Disk?</p>"	chkdsk /r	<p><code>chkdsk /r</code> adds bad-sector checking and implies <code>/f</code>.</p>	"<p>Use this when the recall target is the bad-sector option, not only logical
file-system repair.</p>"	easy	command	220-1202 1.5 - Microsoft Command-line Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.5; Professor Messer 220-1202 v1.40, p. 9	A+::220-1202::1.5 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftCommandlineTools Command CLI Disk Source::Messer-v140
1.5-T007	<p>Which command formats a disk or partition for Windows use?</p>	format	<p><code>format</code> prepares a disk or partition and can cause data loss.</p>	<p>The command name is simple, but the safety boundary is important.</p>	easy	command	220-1202 1.5 - Microsoft Command-line Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.5; Professor Messer 220-1202 v1.40, p. 9	A+::220-1202::1.5 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftCommandlineTools Command CLI Disk Source::Messer-v140
1.5-T008	<p>Which command starts the DiskPart command interpreter?</p>	diskpart	<p><code>diskpart</code> manages disk configurations.</p>	<p>DiskPart is powerful enough to cause data loss if the wrong target is selected.</p>	easy	command	220-1202 1.5 - Microsoft Command-line Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.5; Professor Messer 220-1202 v1.40, p. 9	A+::220-1202::1.5 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftCommandlineTools Command CLI Disk Source::Messer-v140
1.5-T009	<p>Which command is the robust Windows file-copy tool listed in Objective 1.5?</p>	robocopy	<p><code>robocopy</code> is Robust Copy.</p>	<p>This card tests exact recall of the official file-management command.</p>	easy	command	220-1202 1.5 - Microsoft Command-line Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.5; Professor Messer 220-1202 v1.40, p. 9	A+::220-1202::1.5 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftCommandlineTools Command CLI Files Source::Messer-v140
1.5-T010	<p>Which command displays the Windows device name?</p>	hostname	<p><code>hostname</code> shows the device name.</p>	<p>This is useful when several terminal or remote sessions are open.</p>	easy	command	220-1202 1.5 - Microsoft Command-line Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.5; Professor Messer 220-1202 v1.40, p. 9	A+::220-1202::1.5 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftCommandlineTools Command CLI Identity Source::Messer-v140
