#separator:Tab
#html:true
#tags column:10
#columns:Card ID	Front	Hint	Back	Instructor Notes	Difficulty	Card Type	Objective	Source	Tags
5.1-B001	<p>A desktop shows a black screen before the operating system loads and emits a repeating beep pattern. What should a technician do with that beep pattern?</p>	<p>Treat the pattern as evidence that must be matched to the correct system.</p>	<p><strong>Record the exact pattern and check the documentation for that system or BIOS.</strong></p>	"<h3>Why</h3>
<p>POST beep and code meanings vary by firmware and manufacturer. The strong
support response is to capture the evidence and use the correct reference, not
to guess from a generic code list.</p>"	medium	basic	220-1201 5.1 - Troubleshooting Hardware	Professor Messer 220-1201 v1.70 p.48; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.1	A+::220-1201::5.1 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingHardware Basic HighYield POST Scenario Source::Messer-v170
5.1-B002	<p>A PC powers on, never reaches the OS, and shows no video. POST beeps are present. Which troubleshooting direction is most appropriate?</p>	<p>Decide whether the failure happens before or after the operating system loads.</p>	<p><strong>Treat it as a pre-boot hardware or firmware issue, then use the beep pattern and documentation to narrow video, memory, CPU, or BIOS configuration causes.</strong></p>	"<h3>Reasoning</h3>
<p>The symptom happens before the operating system loads, so starting with Windows repair would be premature. POST evidence helps separate hardware and firmware theories from OS theories.</p>"	medium	basic	220-1201 5.1 - Troubleshooting Hardware	Professor Messer 220-1201 v1.70 p.48; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.1	A+::220-1201::5.1 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingHardware Basic POST Boot Scenario Source::Messer-v170
5.1-B003	<p>A user says their PC tries to boot from a USB installer they left plugged in. What is the best first fix?</p>	<p>Rule out simple removable-media causes before changing firmware settings.</p>	<p><strong>Remove the bootable media and confirm the BIOS or UEFI boot order if the problem returns.</strong></p>	"<h3>Help Desk Logic</h3>
<p>Start with the simple, reversible cause. If removable media caused the symptom once, boot order should be checked only if the system keeps selecting the wrong startup device.</p>"	easy	basic	220-1201 5.1 - Troubleshooting Hardware	Professor Messer 220-1201 v1.70 p.48; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.1	A+::220-1201::5.1 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingHardware Basic HighYield Boot Scenario Source::Messer-v170
5.1-B004	<p>A desktop loses the correct date, time, and firmware settings every time it is unplugged. What is the most likely hardware cause?</p>		<p><strong>A failed motherboard battery.</strong></p>	"<h3>Symptom Pattern</h3>
<p>The motherboard battery maintains firmware settings while the system is powered off. Replacing it is more targeted than reinstalling the OS or replacing storage.</p>"	easy	basic	220-1201 5.1 - Troubleshooting Hardware	Professor Messer 220-1201 v1.70 p.50; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.1	A+::220-1201::5.1 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingHardware Basic CMOS Battery Scenario Source::Messer-v170
5.1-B005	<p>A workstation begins blue-screening during startup immediately after a new device driver was installed. What is the best next step before replacing hardware?</p>	<p>Look for the recent change and choose a reversible recovery path first.</p>	<p><strong>Boot into Safe Mode or another recovery path and roll back the driver or use System Restore.</strong></p>	"<h3>Troubleshooting Logic</h3>
<p>The timing points to the recent driver change. A least-disruptive rollback tests that theory before opening the case or replacing parts.</p>"	medium	basic	220-1201 5.1 - Troubleshooting Hardware	Professor Messer 220-1201 v1.70 p.49; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.1	A+::220-1201::5.1 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingHardware Basic HighYield BSOD Drivers Scenario Source::Messer-v170
5.1-B006	"<p>A user reports, ""The program gave me an error and closed,"" but they do not know what the error said. What should the technician ask for first?</p>"	<p>Improve the quality of the evidence before proposing a fix.</p>	<p><strong>Ask for the exact error text or a screenshot, plus what the user was doing when it appeared.</strong></p>	"<h3>Support Logic</h3>
<p>Good support starts by improving the quality of the evidence. Exact text, screenshots, and reproduction context are more useful than a vague ticket note.</p>"	easy	basic	220-1201 5.1 - Troubleshooting Hardware	Professor Messer 220-1201 v1.70 p.49; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.1	A+::220-1201::5.1 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingHardware Basic CrashScreens Documentation Scenario Source::Messer-v170
5.1-B007	<p>A user says the computer is running but the monitor is blank. What should you check first before swapping hardware?</p>	<p>Rule out simple external display causes before replacing parts.</p>	<p><strong>Check that the monitor has power.</strong></p>	"<h3>Why</h3>
<p>Start with the simplest external display cause. A monitor with no power can
make a working computer look like it has failed.</p>"	easy	basic	220-1201 5.1 - Troubleshooting Hardware	Professor Messer 220-1201 v1.70 p.49; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.1	A+::220-1201::5.1 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingHardware Basic HighYield Display Cables Scenario Source::Messer-v170
5.1-B008	<p>A desktop has no lights, no fans, and no response when the power button is pressed. What is the first area to verify?</p>	<p>Start with the simplest source of power outside the computer.</p>	<p><strong>Verify that the outlet or power strip is actually providing power.</strong></p>	"<h3>Reasoning</h3>
<p>No signs of life can be caused before power ever reaches the computer. Testing
the outlet or power strip first prevents unnecessary internal hardware work.</p>"	easy	basic	220-1201 5.1 - Troubleshooting Hardware	Professor Messer 220-1201 v1.70 p.49; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.1	A+::220-1201::5.1 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingHardware Basic HighYield Power Scenario Source::Messer-v170
5.1-B009	<p>A PC's case fans spin, but drives and the motherboard do not appear to power up and the system never POSTs. What should you avoid assuming?</p>	<p>One working low-power component does not prove the whole power system is healthy.</p>	<p><strong>Do not assume the power supply is fully healthy just because fans spin. Check power connections and power supply output.</strong></p>	"<h3>Exam Trap</h3>
<p>Fans can require less power than other devices. Spinning fans are evidence that some power exists, not proof that every required output is correct.</p>"	medium	basic	220-1201 5.1 - Troubleshooting Hardware	Professor Messer 220-1201 v1.70 p.49; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.1	A+::220-1201::5.1 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingHardware Basic HighYield Power POST Scenario Source::Messer-v170
5.1-B010	"<p>A user says their computer is ""slow today."" What tool should you check first to narrow whether CPU, memory, or disk activity is high?</p>"	<p>Start with a quick way to measure which resource is under pressure.</p>	<p><strong>Task Manager.</strong></p>	"<h3>Why</h3>
<p>Task Manager gives quick evidence about resource use. That evidence is better than guessing between malware, disk pressure, updates, a bad application, or hardware failure.</p>"	easy	basic	220-1201 5.1 - Troubleshooting Hardware	Professor Messer 220-1201 v1.70 p.49; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.1	A+::220-1201::5.1 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingHardware Basic HighYield Performance Scenario Source::Messer-v170
