#separator:Tab
#html:true
#tags column:10
#columns:Card ID	Front	Hint	Back	Instructor Notes	Difficulty	Card Type	Objective	Source	Tags
1.8-B001	"<p>A technician needs to remove a self-contained macOS application that has no
dedicated uninstaller. What is the normal removal method?</p>"		<p>Move the application's <code>.app</code> bundle from <code>/Applications</code> to the Trash.</p>	"<p>Many macOS applications are self-contained bundles. Some applications include
a separate uninstall program; use that program when it is provided.</p>"	medium	basic	220-1202 1.8 - macOS Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.8; Professor Messer 220-1202 v1.40, p. 15	A+::220-1202::1.8 A+::220-1202::Domain1-OperatingSystems A+::220-1202::macOSFeaturesandTools Basic HighYield macOS Applications Source::Messer-v140
1.8-B002	"<p>What maintenance advantage does the macOS App Store provide for applications
obtained through it?</p>"		<p>It provides a centralized place to obtain and update those applications.</p>	"<p>Applications installed from other sources may use a separate update mechanism.
The App Store should not be assumed to manage every application on the Mac.</p>"	easy	basic	220-1202 1.8 - macOS Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.8; Professor Messer 220-1202 v1.40, p. 15	A+::220-1202::1.8 A+::220-1202::Domain1-OperatingSystems A+::220-1202::macOSFeaturesandTools Basic macOS AppStore Source::Messer-v140
1.8-B003	"<p>Which macOS system folder is the standard shared location for installed
applications?</p>"		<p><code>/Applications</code></p>	"<p>This location is the usual starting point when launching, inspecting, or
removing an installed application. <code>/Library</code> holds shared support resources,
not the application collection itself.</p>"	easy	basic	220-1202 1.8 - macOS Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.8; Professor Messer 220-1202 v1.40, p. 15	A+::220-1202::1.8 A+::220-1202::Domain1-OperatingSystems A+::220-1202::macOSFeaturesandTools Basic HighYield macOS SystemFolders Source::Messer-v140
1.8-B004	<p>What is the difference between <code>/Library</code> and <code>~/Library</code> in macOS?</p>		"<p><code>/Library</code> contains support resources shared across the computer, while
<code>~/Library</code> contains preferences and support data for the current user.</p>"	"<p>The tilde means the current user's home directory, so <code>~/Library</code> resolves to a
path such as <code>/Users/&lt;username&gt;/Library</code>. The official objective's
<code>/Users/Library</code> wording is treated as the user-specific Library concept, not
as a literal shared path.</p>"	medium	basic	220-1202 1.8 - macOS Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.8; Professor Messer 220-1202 v1.40, p. 15	A+::220-1202::1.8 A+::220-1202::Domain1-OperatingSystems A+::220-1202::macOSFeaturesandTools Basic macOS SystemFolders Source::Messer-v140
1.8-B005	"<p>Why should a company use Managed Apple IDs instead of employees' personal
Apple IDs for organization-assigned applications and content?</p>"		"<p>Managed Apple IDs keep account and content administration under organizational
control rather than tying company resources to an employee's personal account.</p>"	"<p>Managed Apple IDs can be administered through Apple Business Manager and
integrated with corporate identity and device-management systems. The key exam
distinction is personal ownership versus managed organizational control.</p>"	medium	basic	220-1202 1.8 - macOS Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.8; Professor Messer 220-1202 v1.40, p. 15	A+::220-1202::1.8 A+::220-1202::Domain1-OperatingSystems A+::220-1202::macOSFeaturesandTools Basic macOS AppleID Source::Messer-v140
1.8-B006	"<p>A macOS user needs to recover an earlier version of a file from a configured
backup destination. Which built-in feature should the technician use?</p>"		<p>Time Machine.</p>	"<p>Time Machine maintains successive backups for restoration and removes the
oldest retained data as the destination fills. Disk Utility manages storage
and disk images; it is not the versioned backup-and-restore feature.</p>"	medium	basic	220-1202 1.8 - macOS Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.8; Professor Messer 220-1202 v1.40, pp. 15-16	A+::220-1202::1.8 A+::220-1202::Domain1-OperatingSystems A+::220-1202::macOSFeaturesandTools Basic HighYield macOS TimeMachine Backup Source::Messer-v140
1.8-B007	<p>What ongoing maintenance is necessary for antimalware software on a Mac?</p>		<p>Keep the software and its threat signatures updated.</p>	"<p>Protection becomes less effective when detection data is stale. macOS should
not be treated as immune to malware simply because it has historically faced a
different threat volume than Windows.</p>"	easy	basic	220-1202 1.8 - macOS Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.8; Professor Messer 220-1202 v1.40, p. 16	A+::220-1202::1.8 A+::220-1202::Domain1-OperatingSystems A+::220-1202::macOSFeaturesandTools Basic macOS Antivirus Source::Messer-v140
1.8-B008	"<p>A widespread macOS security issue needs an urgent fix. Which update mechanism
is designed for this purpose?</p>"		<p>Rapid Security Response (RSR).</p>	"<p>RSR targets urgent security issues and is managed with automatic-update
settings. It complements routine operating-system and application patching; it
does not replace the broader update process.</p>"	medium	basic	220-1202 1.8 - macOS Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.8; Professor Messer 220-1202 v1.40, p. 16	A+::220-1202::1.8 A+::220-1202::Domain1-OperatingSystems A+::220-1202::macOSFeaturesandTools Basic HighYield macOS RSR Updates Source::Messer-v140
1.8-B009	"<p>Which macOS settings area is used to arrange multiple monitors and adjust
resolution, brightness, or color?</p>"		<p>Displays.</p>	"<p>The stable concept is the purpose of the Displays area. Exact interface labels
and navigation paths may differ between macOS releases.</p>"	easy	basic	220-1202 1.8 - macOS Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.8; Professor Messer 220-1202 v1.40, p. 16	A+::220-1202::1.8 A+::220-1202::Domain1-OperatingSystems A+::220-1202::macOSFeaturesandTools Basic macOS Displays Source::Messer-v140
1.8-B010	"<p>Where in macOS settings would a technician configure a wired or wireless
interface's IP and DNS values?</p>"		<p>The Network settings area.</p>	"<p>Network settings cover interface-specific configuration, including automatic
or manual addressing and more detailed options. The card tests the settings
area, not a version-specific click path.</p>"	easy	basic	220-1202 1.8 - macOS Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.8; Professor Messer 220-1202 v1.40, p. 16	A+::220-1202::1.8 A+::220-1202::Domain1-OperatingSystems A+::220-1202::macOSFeaturesandTools Basic macOS NetworkSettings Source::Messer-v140
