#separator:Tab
#html:true
#tags column:10
#columns:Card ID	Front	Hint	Back	Instructor Notes	Difficulty	Card Type	Objective	Source	Tags
1.6-B001	"<p>A technician needs to change legacy internet security zones and certificate
settings. Which Control Panel destination should the technician use?</p>"		<p>Internet Options.</p>	"<p>Internet Options groups legacy internet properties such as security, privacy,
content certificates, connections, programs, and advanced settings. It is not
the destination for configuring a network adapter itself.</p>"	medium	basic	220-1202 1.6 - Microsoft Windows Settings	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.6; Professor Messer 220-1202 v1.40, p. 11	A+::220-1202::1.6 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftWindowsSettings Basic WindowsSettings InternetOptions Source::Messer-v140
1.6-B002	"<p>A user wants a simple Control Panel view for adding and configuring a printer.
Which destination best matches the task?</p>"		<p>Devices and Printers.</p>	"<p>Devices and Printers offers a simplified view of connected devices. Device
Manager is the better match when the task concerns driver or hardware status.</p>"	medium	basic	220-1202 1.6 - Microsoft Windows Settings	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.6; Professor Messer 220-1202 v1.40, p. 11	A+::220-1202::1.6 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftWindowsSettings Basic WindowsSettings Devices Source::Messer-v140
1.6-B003	"<p>A technician needs to enable or disable an optional Windows component. Which
Control Panel destination should the technician use?</p>"		<p>Programs and Features.</p>	"<p>Programs and Features manages installed desktop applications and provides the
path for turning optional Windows features on or off.</p>"	medium	basic	220-1202 1.6 - Microsoft Windows Settings	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.6; Professor Messer 220-1202 v1.40, p. 11	A+::220-1202::1.6 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftWindowsSettings Basic HighYield WindowsSettings Applications Source::Messer-v140
1.6-B004	"<p>A technician wants the Control Panel destination for viewing network adapters
and changing adapter or sharing settings. Which destination should be opened?</p>"		<p>Network and Sharing Center.</p>	"<p>Network and Sharing Center collects adapter, addressing, and sharing
configuration. Internet Options instead handles legacy internet properties.</p>"	medium	basic	220-1202 1.6 - Microsoft Windows Settings	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.6; Professor Messer 220-1202 v1.40, p. 11	A+::220-1202::1.6 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftWindowsSettings Basic WindowsSettings Networking Source::Messer-v140
1.6-B005	"<p>A technician needs to reach remote-access and system-protection settings from
Control Panel. Which applet provides those paths?</p>"		<p>System.</p>	"<p>The System applet also presents computer and Windows information. Network and
Sharing Center is for adapter and sharing configuration, not Remote Desktop or
system protection.</p>"	medium	basic	220-1202 1.6 - Microsoft Windows Settings	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.6; Professor Messer 220-1202 v1.40, p. 11	A+::220-1202::1.6 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftWindowsSettings Basic HighYield WindowsSettings System Source::Messer-v140
1.6-B006	"<p>A support task requires changing the local Windows host-firewall
configuration. Which Control Panel destination should be used?</p>"		<p>Windows Defender Firewall.</p>	"<p>Windows Defender Firewall is the operating system's local firewall interface.
It is distinct from Network and Sharing Center, which manages network and
sharing settings.</p>"	medium	basic	220-1202 1.6 - Microsoft Windows Settings	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.6; Professor Messer 220-1202 v1.40, p. 11	A+::220-1202::1.6 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftWindowsSettings Basic WindowsSettings Firewall Source::Messer-v140
1.6-B007	"<p>A user with a compatible desktop mail client needs to manage a local mail
profile and its data files. Which Control Panel applet should be used?</p>"		<p>Mail.</p>	"<p>The Mail applet appears when a supported mail client is installed and exposes
local account, profile, and data-file configuration.</p>"	medium	basic	220-1202 1.6 - Microsoft Windows Settings	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.6; Professor Messer 220-1202 v1.40, p. 11	A+::220-1202::1.6 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftWindowsSettings Basic WindowsSettings Mail Source::Messer-v140
1.6-B008	"<p>A PC has several speakers and microphones. Which Control Panel destination
lets the user select devices and adjust input or output levels?</p>"		<p>Sound.</p>	"<p>Sound handles audio input and output devices and their levels. Device Manager
would be used instead for an audio device's driver or hardware status.</p>"	medium	basic	220-1202 1.6 - Microsoft Windows Settings	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.6; Professor Messer 220-1202 v1.40, p. 11	A+::220-1202::1.6 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftWindowsSettings Basic WindowsSettings Audio Source::Messer-v140
1.6-B009	"<p>A technician needs to change a local account's type, password, or picture in
Control Panel. Which applet should be opened?</p>"		<p>User Accounts.</p>	"<p>User Accounts manages local account details. Domain accounts are maintained in
the domain rather than by this local Control Panel applet.</p>"	medium	basic	220-1202 1.6 - Microsoft Windows Settings	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.6; Professor Messer 220-1202 v1.40, p. 12	A+::220-1202::1.6 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftWindowsSettings Basic WindowsSettings Accounts Source::Messer-v140
1.6-B010	"<p>A newly connected device is not working, and the technician needs immediate
hardware status and driver-management options. Which tool should be opened?</p>"		<p>Device Manager.</p>	"<p>Device Manager is the direct destination for hardware and driver status and
for actions such as enabling, disabling, adding, or removing a device.</p>"	medium	basic	220-1202 1.6 - Microsoft Windows Settings	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.6; Professor Messer 220-1202 v1.40, p. 12	A+::220-1202::1.6 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftWindowsSettings Basic HighYield WindowsSettings Drivers Source::Messer-v140
1.6-B011	"<p>Windows searches need to include an additional folder that is not currently
indexed. Which Control Panel destination should the technician modify?</p>"		<p>Indexing Options.</p>	"<p>Indexing Options controls which locations Windows indexes to speed searches.
File Explorer search options influence search behavior but do not replace the
index-location configuration.</p>"	medium	basic	220-1202 1.6 - Microsoft Windows Settings	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.6; Professor Messer 220-1202 v1.40, p. 12	A+::220-1202::1.6 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftWindowsSettings Basic WindowsSettings Search Source::Messer-v140
1.6-B012	"<p>A technician must access a folder that File Explorer does not normally
display. Which settings destination contains the option to show hidden files?</p>"		<p>File Explorer Options, under the View settings.</p>	"<p>The View settings control whether hidden content appears. This is separate
from showing file extensions, even though both choices are in File Explorer
Options.</p>"	medium	basic	220-1202 1.6 - Microsoft Windows Settings	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.6; Professor Messer 220-1202 v1.40, p. 12	A+::220-1202::1.6 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftWindowsSettings Basic HighYield WindowsSettings FileExplorer Source::Messer-v140
1.6-B013	"<p>Two files have similar names and icons, so a technician needs to see their
actual filename suffixes. Which File Explorer setting should be changed?</p>"		<p>Disable the option that hides extensions for known file types.</p>	"<p>Showing extensions exposes the suffix used to identify the file type. Showing
hidden files solves a different visibility problem.</p>"	medium	basic	220-1202 1.6 - Microsoft Windows Settings	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.6; Professor Messer 220-1202 v1.40, p. 12	A+::220-1202::1.6 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftWindowsSettings Basic HighYield WindowsSettings FileExplorer Source::Messer-v140
1.6-B014	"<p>A laptop must preserve open work on disk before powering down so the session
does not depend on continuous memory power. Which power state should be used?</p>"		<p>Hibernate.</p>	"<p>Hibernate saves the session to disk. Sleep keeps the active session in memory
for a quicker return but continues to require some power.</p>"	medium	basic	220-1202 1.6 - Microsoft Windows Settings	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.6; Professor Messer 220-1202 v1.40, p. 12	A+::220-1202::1.6 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftWindowsSettings Basic WindowsSettings Power Source::Messer-v140
1.6-B015	"<p>A user wants a reduced-power state that keeps open applications in memory for
a quick return. Which power state fits the goal?</p>"		<p>Sleep, also called suspend or standby.</p>	"<p>Sleep retains the working session in memory. Hibernate writes the session to
disk and is the better choice when maintaining memory power is undesirable.</p>"	medium	basic	220-1202 1.6 - Microsoft Windows Settings	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.6; Professor Messer 220-1202 v1.40, p. 12	A+::220-1202::1.6 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftWindowsSettings Basic WindowsSettings Power Source::Messer-v140
1.6-B016	"<p>An administrator wants to switch a laptop between predefined groups of energy
and performance behavior. Which Power Options feature should be configured?</p>"		<p>Power plans.</p>	"<p>A power plan groups power-usage settings so the system can be tuned for
different energy or performance goals.</p>"	medium	basic	220-1202 1.6 - Microsoft Windows Settings	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.6; Professor Messer 220-1202 v1.40, p. 12	A+::220-1202::1.6 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftWindowsSettings Basic WindowsSettings Power Source::Messer-v140
1.6-B017	"<p>A docked laptop should keep running when its built-in display is closed. Which
Power Options setting should be changed?</p>"		"<p>Choose what closing the lid does, and set the applicable lid-close action to
keep the system running.</p>"	"<p>The configurable lid-close action is useful at a docking station, where the
laptop may need to keep operating with external devices in use.</p>"	medium	basic	220-1202 1.6 - Microsoft Windows Settings	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.6; Professor Messer 220-1202 v1.40, p. 12	A+::220-1202::1.6 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftWindowsSettings Basic HighYield WindowsSettings Power Source::Messer-v140
