#separator:Tab
#html:true
#tags column:10
#columns:Card ID	Front	Hint	Back	Instructor Notes	Difficulty	Card Type	Objective	Source	Tags
5.5-B001	"<p>A wired workstation has no network connectivity, and the Ethernet port has no
link light. What should you check first?</p>"	<p>Start with the evidence closest to the device.</p>	"<p><strong>Check the physical connection: cable seating, cable condition, and the switch
port or wall jack.</strong></p>"	"<h3>Why</h3>
<p>No link light points to a physical-layer problem before it points to IP,
gateway, DNS, or application settings. Reseating or swapping the cable and
checking the connected port can quickly confirm whether the device has an
actual network link.</p>"	easy	basic	220-1201 5.5 - Troubleshooting Networks	Professor Messer 220-1201 v1.70 p.55; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.5	A+::220-1201::5.5 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingNetworks Basic HighYield Network PhysicalLayer Scenario Source::Messer-v170
5.5-B002	"<p>A user moved a desktop, and now the wired network connection is down. The link
light is off. What is the most useful next test?</p>"	<p>Use a simple substitution test before changing software settings.</p>	"<p><strong>Try a known-good Ethernet cable and, if needed, a known-good jack or switch
port.</strong></p>"	"<h3>Why</h3>
<p>After a move, the most likely change is physical: a loose patch cable, damaged
cable, bad wall jack, or wrong switch port. A known-good substitution narrows
the fault without introducing unnecessary configuration changes.</p>"	easy	basic	220-1201 5.5 - Troubleshooting Networks	Professor Messer 220-1201 v1.70 p.55; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.5	A+::220-1201::5.5 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingNetworks Basic Network PhysicalLayer Scenario Source::Messer-v170
5.5-B003	"<p>A technician pings 127.0.0.1 while troubleshooting no connectivity. What does a
successful reply show?</p>"		<p><strong>The local TCP/IP stack is responding on the computer.</strong></p>	"<h3>Why</h3>
<p>The loopback test stays inside the host. A successful reply does not prove the
network cable, wireless link, gateway, DNS, or Internet path works; it only
supports that the local protocol stack can respond.</p>"	easy	basic	220-1201 5.5 - Troubleshooting Networks	Professor Messer 220-1201 v1.70 p.55; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.5	A+::220-1201::5.5 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingNetworks Basic HighYield Network Ping Scenario Source::Messer-v170
5.5-B004	"<p>A loopback ping succeeds. What should pinging the computer's own assigned IP
address help verify next?</p>"		"<p><strong>Whether the host can respond through its configured network interface and IP
configuration.</strong></p>"	"<h3>Why</h3>
<p>Pinging the local assigned address moves one step beyond loopback. It helps
confirm the host's network stack, local address, and adapter configuration
before testing the gateway or remote destinations.</p>"	easy	basic	220-1201 5.5 - Troubleshooting Networks	Professor Messer 220-1201 v1.70 p.55; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.5	A+::220-1201::5.5 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingNetworks Basic Network Ping Scenario Source::Messer-v170
5.5-B005	"<p>What does a successful ping to the default gateway prove during a no-network
troubleshooting path?</p>"		<p><strong>The computer can reach the local network's router or gateway.</strong></p>	"<h3>Why</h3>
<p>The default gateway is the boundary between the local subnet and other networks.
If it responds, the local link, local IP settings, and path to the router are
more likely working, so the next question is whether traffic can go beyond that
router.</p>"	easy	basic	220-1201 5.5 - Troubleshooting Networks	Professor Messer 220-1201 v1.70 p.55; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.5	A+::220-1201::5.5 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingNetworks Basic HighYield Gateway Network Ping Source::Messer-v170
5.5-B006	"<p>A workstation can ping its default gateway, but it cannot ping a known remote
IP address. What does that result suggest?</p>"	<p>The local boundary responds, but the farther destination does not.</p>	<p><strong>The failure is likely beyond the local gateway or on the upstream path.</strong></p>	"<h3>Why</h3>
<p>Gateway success makes a bad local cable or local IP configuration less likely.
The failed remote IP test shifts the investigation past the local router instead
of keeping the focus on the workstation alone.</p>"	medium	basic	220-1201 5.5 - Troubleshooting Networks	Professor Messer 220-1201 v1.70 p.55; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.5	A+::220-1201::5.5 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingNetworks Basic Gateway Network Ping Scenario Source::Messer-v170
5.5-B007	"<p>A Windows laptop reports limited connectivity and has a 169.254.x.x address.
What is the likely network issue?</p>"		"<p><strong>The device did not receive a usable DHCP address and assigned itself a local
automatic address.</strong></p>"	"<h3>Why</h3>
<p>An APIPA-style address is useful troubleshooting evidence. It usually means the
device is not successfully receiving DHCP configuration, so the technician
should investigate DHCP reachability, wireless association, VLAN, cabling, or
local network access instead of treating the Internet as the first suspect.</p>"	easy	basic	220-1201 5.5 - Troubleshooting Networks	Professor Messer 220-1201 v1.70 p.55; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.5	A+::220-1201::5.5 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingNetworks Basic HighYield APIPA DHCP Network Scenario Source::Messer-v170
5.5-B008	"<p>A computer has a normal-looking DHCP address but still cannot reach websites.
What is the best next network test?</p>"	<p>Do not stop at the address; test the path.</p>	"<p><strong>Ping the default gateway, then a known remote IP address, to isolate whether
the failure is local or beyond the router.</strong></p>"	"<h3>Why</h3>
<p>A valid address only proves the host received configuration. Gateway and remote
IP tests show where connectivity stops, which is more useful than immediately
changing DNS, browser, or application settings.</p>"	medium	basic	220-1201 5.5 - Troubleshooting Networks	Professor Messer 220-1201 v1.70 p.55; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.5	A+::220-1201::5.5 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingNetworks Basic DHCP Gateway Network Scenario Source::Messer-v170
5.5-B009	"<p>Wi-Fi drops mainly in a break room when appliances are in use. What likely
wireless cause should you investigate first?</p>"		<p><strong>Radio interference affecting the wireless signal.</strong></p>	"<h3>Why</h3>
<p>Intermittent wireless problems that correlate with a location or equipment use
often point to interference. The technician should gather timing and location
details before replacing client hardware or assuming the access point has
failed.</p>"	easy	basic	220-1201 5.5 - Troubleshooting Networks	Professor Messer 220-1201 v1.70 p.55; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.5	A+::220-1201::5.5 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingNetworks Basic HighYield Interference Network Wireless Source::Messer-v170
5.5-B010	"<p>A user's Wi-Fi works near the access point but drops at the far end of the
office. What should you check first?</p>"		<p><strong>Check wireless signal strength and coverage in that area.</strong></p>	"<h3>Why</h3>
<p>Distance and obstacles can weaken a Wi-Fi signal enough to cause roaming,
disconnects, or slow speeds. Measuring or comparing signal strength in the
problem area is a focused test before changing unrelated client settings.</p>"	easy	basic	220-1201 5.5 - Troubleshooting Networks	Professor Messer 220-1201 v1.70 p.55; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.5	A+::220-1201::5.5 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingNetworks Basic Network Signal Wireless Scenario Source::Messer-v170
