#separator:Tab
#html:true
#tags column:10
#columns:Card ID	Front	Hint	Back	Instructor Notes	Difficulty	Card Type	Objective	Source	Tags
3.8-B001	<p>When replacing a laser printer toner cartridge that includes an OPC drum, what handling caution matters?</p>		<p>Protect the drum from light until installation and remove any packing strips before using the new cartridge or drum assembly.</p>	"<h3>Why</h3>
<p>Some toner assemblies include the organic photoconductor drum. The drum is light-sensitive, and shipping materials must be removed before printing.</p>"	medium	basic	220-1201 3.8 - Printer Maintenance	Professor Messer 220-1201 v1.70 p.43; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.8	A+::220-1201::3.8 A+::220-1201::Domain3-Hardware A+::220-1201::PrinterMaintenance Basic Printer Laser Toner Source::Messer-v170
3.8-B002	<p>What is the purpose of a laser printer maintenance kit?</p>		<p>It replaces wear items such as feed rollers and the fuser unit according to the printer's maintenance schedule or page counter.</p>	"<h3>Why</h3>
<p>Laser printers use heat, pressure, and moving parts. Maintenance kits address predictable wear instead of waiting for the printer to fail.</p>"	medium	basic	220-1201 3.8 - Printer Maintenance	Professor Messer 220-1201 v1.70 p.43; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.8	A+::220-1201::3.8 A+::220-1201::Domain3-Hardware A+::220-1201::PrinterMaintenance Basic HighYield Printer Laser MaintenanceKit Source::Messer-v170
3.8-B003	<p>What safety step matters before replacing a laser printer fuser as part of maintenance?</p>		<p>Power down the printer and let the fuser cool before handling it.</p>	"<h3>Why</h3>
<p>The fuser uses heat and pressure to bond toner to paper. It can be hot enough to injure a technician during maintenance.</p>"	medium	basic	220-1201 3.8 - Printer Maintenance	Professor Messer 220-1201 v1.70 p.43; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.8	A+::220-1201::3.8 A+::220-1201::Domain3-Hardware A+::220-1201::PrinterMaintenance Basic HighYield Printer Laser Safety Source::Messer-v170
3.8-B004	<p>Why calibrate a laser printer after toner-related maintenance?</p>		<p>Calibration can adjust print density so output is not too dark or too light after cartridge changes.</p>	"<h3>Distinction</h3>
<p>Calibration is not the same as cleaning. Calibration adjusts output density; cleaning removes toner dust and paper dust.</p>"	easy	basic	220-1201 3.8 - Printer Maintenance	Professor Messer 220-1201 v1.70 p.43; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.8	A+::220-1201::3.8 A+::220-1201::Domain3-Hardware A+::220-1201::PrinterMaintenance Basic Printer Laser Calibration Source::Messer-v170
3.8-B005	<p>When cleaning toner and paper dust from inside a laser printer, what should a technician avoid?</p>		<p>Avoid harsh chemicals, normal household vacuums, and compressed air unless the printer documentation specifically supports that method.</p>	"<h3>Why</h3>
<p>Laser printers collect toner and paper dust. The source-supported maintenance approach is controlled cleaning, such as wiping dust away and using approved cleaners where appropriate.</p>"	medium	basic	220-1201 3.8 - Printer Maintenance	Professor Messer 220-1201 v1.70 p.43; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.8	A+::220-1201::3.8 A+::220-1201::Domain3-Hardware A+::220-1201::PrinterMaintenance Basic HighYield Printer Laser Cleaning Source::Messer-v170
3.8-B006	<p>What consumable is normally replaced when an inkjet printer runs out of ink?</p>		<p>Replace the ink cartridge or cartridges.</p>	"<h3>Why</h3>
<p>Inkjet printers place small drops of ink onto the page from cartridges. Cartridges are often separate by color, though some models combine colors.</p>"	easy	basic	220-1201 3.8 - Printer Maintenance	Professor Messer 220-1201 v1.70 p.44; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.8	A+::220-1201::3.8 A+::220-1201::Domain3-Hardware A+::220-1201::PrinterMaintenance Basic Printer Inkjet Cartridge Source::Messer-v170
3.8-B007	<p>Why can replacing an inkjet cartridge sometimes also replace the printhead?</p>		<p>Some inkjet printers integrate the printhead into the cartridge, so a new cartridge includes a new printhead.</p>	"<h3>Distinction</h3>
<p>Other inkjet printers keep the printhead separate from the cartridge. Check the printer model before assuming the printhead and cartridge are one part.</p>"	medium	basic	220-1201 3.8 - Printer Maintenance	Professor Messer 220-1201 v1.70 p.44; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.8	A+::220-1201::3.8 A+::220-1201::Domain3-Hardware A+::220-1201::PrinterMaintenance Basic Printer Inkjet Printhead Source::Messer-v170
3.8-B008	<p>An inkjet printout has streaks or missing sections of color. Which maintenance action is appropriate?</p>	<p>Think about the small openings that place ink onto the page.</p>	<p>Clean the printhead using the printer's supported automatic or manual cleaning process.</p>	"<h3>Why</h3>
<p>Inkjet printheads use small holes that can clog. Cleaning printheads is the objective-scoped maintenance task for streaks or missing color sections.</p>"	medium	basic	220-1201 3.8 - Printer Maintenance	Professor Messer 220-1201 v1.70 p.44; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.8	A+::220-1201::3.8 A+::220-1201::Domain3-Hardware A+::220-1201::PrinterMaintenance Basic HighYield Printer Inkjet Printhead Cleaning Source::Messer-v170
3.8-B009	<p>What does inkjet printer calibration align?</p>		<p>It aligns the nozzles to the paper so lines are crisp and colors do not overlap.</p>	"<h3>Distinction</h3>
<p>Calibration adjusts alignment. It is separate from replacing cartridges or cleaning clogged printheads.</p>"	easy	basic	220-1201 3.8 - Printer Maintenance	Professor Messer 220-1201 v1.70 p.44; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.8	A+::220-1201::3.8 A+::220-1201::Domain3-Hardware A+::220-1201::PrinterMaintenance Basic Printer Inkjet Calibration Source::Messer-v170
3.8-B010	<p>When clearing an inkjet paper jam, what should a technician do after removing the main jammed sheet?</p>		<p>Check the paper path for loose paper or scraps and remove all remaining pieces.</p>	"<h3>Why</h3>
<p>Inkjet paper paths can have turns and twists. Small scraps left behind can cause another jam.</p>"	medium	basic	220-1201 3.8 - Printer Maintenance	Professor Messer 220-1201 v1.70 p.44; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.8	A+::220-1201::3.8 A+::220-1201::Domain3-Hardware A+::220-1201::PrinterMaintenance Basic HighYield Printer Inkjet Jam Source::Messer-v170
