#separator:Tab
#html:true
#tags column:9
#columns:Card ID	Front	Back	Instructor Notes	Difficulty	Card Type	Objective	Source	Tags
1.1-B001	<p>You are selecting replaceable memory for a typical laptop. Which module form factor should you look for?</p>	<p><strong>SO-DIMM</strong>.</p>	"<h3>Why</h3>
<p>SO-DIMM is the compact memory-module form factor commonly used in laptops and other space-constrained systems.</p>
<h3>Exam Trap</h3>
<p>Do not assume every laptop has a replaceable module; some systems use memory soldered to the system board.</p>"	medium	basic	220-1201 1.1 - Laptop Hardware	Professor Messer 220-1201 v1.70 p.1; CompTIA 220-1201 Exam Objectives v2.0, Objective 1.1	A+::220-1201::1.1 A+::220-1201::LaptopHardware Basic HighYield Memory Upgrade
1.1-B002	<p>A laptop has failed RAM that is soldered to the system board. What hardware must typically be replaced to correct the memory hardware failure?</p>	<p>The <strong>system board</strong>.</p>	"<h3>Why</h3>
<p>Soldered RAM is not a removable module, so there is no separate SO-DIMM to exchange.</p>
<h3>Real Help Desk</h3>
<p>Confirm whether memory is modular or soldered before promising an upgrade or quoting a repair.</p>"	medium	basic	220-1201 1.1 - Laptop Hardware	Professor Messer 220-1201 v1.70 p.1; CompTIA 220-1201 Exam Objectives v2.0, Objective 1.1	A+::220-1201::1.1 A+::220-1201::LaptopHardware Basic Memory Repairability
1.1-B003	<p>A laptop owner prioritizes quiet operation and lower storage access latency. Should the replacement use an HDD or an SSD?</p>	<p>An <strong>SSD</strong>.</p>	"<h3>Why</h3>
<p>An SSD stores data without spinning platters or other moving parts, supporting quiet operation and faster access.</p>
<h3>Exam Trap</h3>
<p>“Better” depends on the stated requirement. This card selects an SSD because latency and noise are explicit priorities.</p>"	medium	basic	220-1201 1.1 - Laptop Hardware	Professor Messer 220-1201 v1.70 p.1; CompTIA 220-1201 Exam Objectives v2.0, Objective 1.1	A+::220-1201::1.1 A+::220-1201::LaptopHardware Basic HighYield Storage Comparison
1.1-B004	<p>Why should a technician verify the exact laptop model and service procedure before estimating a battery replacement?</p>	<p>Battery access is <strong>model-specific</strong>: it may be modular or may require substantial laptop disassembly.</p>	"<h3>Why</h3>
<p>Battery chemistry does not determine how the battery is mounted or accessed. The physical design controls the repair process.</p>
<h3>Real Help Desk</h3>
<p>Avoid turning an illustrative repair time or screw count into a universal procedure.</p>"	medium	basic	220-1201 1.1 - Laptop Hardware	Professor Messer 220-1201 v1.70 p.1; CompTIA 220-1201 Exam Objectives v2.0, Objective 1.1	A+::220-1201::1.1 A+::220-1201::LaptopHardware Basic Battery RepairStrategy
1.1-B005	<p>A technician is preparing to replace a laptop keyboard that uses screws and a ribbon cable. What should determine the correct disassembly and reconnection sequence?</p>	<p>The <strong>manufacturer's service documentation for that laptop model</strong>.</p>	"<h3>Why</h3>
<p>Keyboard access varies by model. Service documentation identifies the required fasteners, access order, and ribbon-cable handling for the specific design.</p>
<h3>Exam Trap</h3>
<p>The presence of screws and a ribbon cable does not make the complete replacement procedure universal across laptops.</p>"	medium	basic	220-1201 1.1 - Laptop Hardware	Professor Messer 220-1201 v1.70 p.1; CompTIA 220-1201 Exam Objectives v2.0, Objective 1.1	A+::220-1201::1.1 A+::220-1201::LaptopHardware Basic Keyboard ServiceDocumentation
1.1-B006	<p>What should a technician consult before attempting to remove or replace an individual laptop keycap?</p>	<p>The <strong>manufacturer's instructions for that keyboard design</strong>.</p>	"<h3>Why</h3>
<p>Keycaps and the mechanisms beneath them are delicate, and removal methods differ between designs.</p>
<h3>Exam Trap</h3>
<p>Do not treat every laptop keycap as if it uses the same release method.</p>"	easy	basic	220-1201 1.1 - Laptop Hardware	Professor Messer 220-1201 v1.70 p.1; CompTIA 220-1201 Exam Objectives v2.0, Objective 1.1	A+::220-1201::1.1 A+::220-1201::LaptopHardware Basic Keyboard Keycap RepairStrategy
1.1-B007	<p>During an HDD-to-SSD migration, the user wants to preserve the existing operating system, applications, settings, and documents. Which migration approach best meets that requirement?</p>	<p><strong>Image or clone the HDD to the SSD</strong> with appropriate imaging software.</p>	"<h3>Why</h3>
<p>Cloning or restoring an image carries the existing software environment forward, avoiding a complete operating-system and application reinstall.</p>
<h3>Exam Trap</h3>
<p>A clean installation is a different valid strategy, but it does not satisfy the requirement to preserve the existing installation directly.</p>"	medium	basic	220-1201 1.1 - Laptop Hardware	Professor Messer 220-1201 v1.70 p.1; CompTIA 220-1201 Exam Objectives v2.0, Objective 1.1	A+::220-1201::1.1 A+::220-1201::LaptopHardware Basic HighYield Storage Migration
1.1-B008	<p>What is the practical difference between creating a drive image file and performing a direct drive-to-drive clone?</p>	<p>An <strong>image</strong> creates an intermediate file; a <strong>clone</strong> copies directly between drives.</p>	"<h3>Why</h3>
<p>Both approaches can migrate an existing installation, but they differ in whether an intermediate image file is created.</p>
<h3>Real Help Desk</h3>
<p>Either workflow requires suitable imaging software and a way to connect the needed storage devices.</p>"	medium	basic	220-1201 1.1 - Laptop Hardware	Professor Messer 220-1201 v1.70 p.1; CompTIA 220-1201 Exam Objectives v2.0, Objective 1.1	A+::220-1201::1.1 A+::220-1201::LaptopHardware Basic Storage Imaging Comparison
1.1-B009	<p>A workstation should authenticate a user when a supported device is tapped within a few centimeters, without requiring a typed password. Which laptop feature fits this scenario?</p>	<p><strong>Near-field communication (NFC)</strong>.</p>	"<h3>Why</h3>
<p>NFC is designed for very short-range exchanges and can support authentication interactions.</p>
<h3>Exam Trap</h3>
<p>Bluetooth also connects nearby devices, but its personal-area range and pairing model do not match this tap-at-the-reader scenario.</p>"	medium	basic	220-1201 1.1 - Laptop Hardware	Professor Messer 220-1201 v1.70 p.2; CompTIA 220-1201 Exam Objectives v2.0, Objective 1.1	A+::220-1201::1.1 A+::220-1201::LaptopHardware Basic NFC Authentication
1.1-B010	<p>A laptop must support sign-in using “something you are.” Which physical security feature meets that requirement?</p>	<p><strong>Biometrics</strong>, such as a fingerprint reader or face-recognition hardware.</p>	"<h3>Why</h3>
<p>Fingerprint and facial characteristics are biometric factors. The feature also requires appropriate operating-system configuration.</p>
<h3>Exam Trap</h3>
<p>Having a camera or sensor does not by itself prove that biometric sign-in is configured.</p>"	easy	basic	220-1201 1.1 - Laptop Hardware	Professor Messer 220-1201 v1.70 p.2; CompTIA 220-1201 Exam Objectives v2.0, Objective 1.1	A+::220-1201::1.1 A+::220-1201::LaptopHardware Basic Biometrics Authentication
