#separator:Tab
#html:true
#tags column:10
#columns:Card ID	Front	Hint	Back	Instructor Notes	Difficulty	Card Type	Objective	Source	Tags
5.6-B001	"<p>A user says one application prints incorrectly. What should you print first to
help isolate the problem?</p>"	<p>Use output that does not depend on the user's application.</p>	<p><strong>Print a printer or operating-system test page.</strong></p>	"<h3>Why</h3>
<p>A test page helps separate an application or document problem from the printer,
driver, and print path. If the test page prints normally, the printer hardware
is less likely to be the only issue.</p>"	easy	basic	220-1201 5.6 - Troubleshooting Printers	Professor Messer 220-1201 v1.70 p.56; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.6	A+::220-1201::5.6 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingPrinters Basic HighYield Printer Scenario TestPage Source::Messer-v170
5.6-B002	"<p>A network printer has a built-in web utility. What is the support value of
using it during troubleshooting?</p>"		"<p><strong>It can provide printer-side diagnostic information without relying only on the
user's application.</strong></p>"	"<h3>Why</h3>
<p>Printer diagnostics can show device state, configuration, or errors from the
printer's perspective. The exact utility varies by vendor, so the card tests
the decision to use diagnostics, not a model-specific menu path.</p>"	medium	basic	220-1201 5.6 - Troubleshooting Printers	Professor Messer 220-1201 v1.70 p.56; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.6	A+::220-1201::5.6 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingPrinters Basic Diagnostics Printer Source::Messer-v170
5.6-B003	"<p>An inkjet printer produces lines down the printed page. What maintenance action
should you try?</p>"		<p><strong>Clean the print heads.</strong></p>	"<h3>Why</h3>
<p>For inkjet printers, line defects commonly point to the print head or ink flow.
Cleaning the print heads is the relevant first maintenance action before
assuming the whole printer needs replacement.</p>"	easy	basic	220-1201 5.6 - Troubleshooting Printers	Professor Messer 220-1201 v1.70 p.56; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.6	A+::220-1201::5.6 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingPrinters Basic HighYield Inkjet OutputQuality Printer Source::Messer-v170
5.6-B004	"<p>A laser printer produces a consistent line down the printed page. What printer
component should you suspect?</p>"		<p><strong>A scratched or damaged photosensitive drum.</strong></p>	"<h3>Why</h3>
<p>Laser printers use a drum in the imaging process. A repeated line defect on
laser output is a clue to inspect or escalate the drum path rather than using
inkjet maintenance logic.</p>"	easy	basic	220-1201 5.6 - Troubleshooting Printers	Professor Messer 220-1201 v1.70 p.56; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.6	A+::220-1201::5.6 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingPrinters Basic HighYield Laser OutputQuality Printer Source::Messer-v170
5.6-B005	"<p>A printer produces faded prints or blank pages. What simple condition should
you check first?</p>"		<p><strong>Low toner or low ink.</strong></p>	"<h3>Why</h3>
<p>Faded output and blank pages often start with consumables. Checking toner or
ink is faster and less invasive than replacing printer hardware or changing
drivers.</p>"	easy	basic	220-1201 5.6 - Troubleshooting Printers	Professor Messer 220-1201 v1.70 p.56; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.6	A+::220-1201::5.6 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingPrinters Basic HighYield Consumables OutputQuality Printer Source::Messer-v170
5.6-B006	"<p>A laser printer leaves a faint repeated copy of earlier page content on the
same sheet. What does that symptom suggest?</p>"		<p><strong>The drum is not being cleaned properly during the laser printing process.</strong></p>	"<h3>Why</h3>
<p>Ghost or echo images are repeated remnants from earlier drum rotation. The
important troubleshooting target is the laser imaging or cleaning process, not
an application formatting issue.</p>"	medium	basic	220-1201 5.6 - Troubleshooting Printers	Professor Messer 220-1201 v1.70 p.56; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.6	A+::220-1201::5.6 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingPrinters Basic Ghosting Laser Printer Source::Messer-v170
5.6-B007	"<p>A printer outputs unreadable symbols instead of the expected document. What is
a likely software-side cause?</p>"		"<p><strong>A bad or incorrect printer driver, including the wrong printer model or page
description language.</strong></p>"	"<h3>Why</h3>
<p>Garbled output can happen when the printer receives data it does not interpret
correctly. Driver and page-description-language checks are more targeted than
assuming the paper path or toner is at fault.</p>"	easy	basic	220-1201 5.6 - Troubleshooting Printers	Professor Messer 220-1201 v1.70 p.56; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.6	A+::220-1201::5.6 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingPrinters Basic HighYield Driver GarbledPrint Printer Source::Messer-v170
5.6-B008	"<p>A printer test page is normal, but one application still prints incorrectly.
What does that result suggest?</p>"		"<p><strong>Focus on the application, document output, or driver path rather than the
printer engine alone.</strong></p>"	"<h3>Why</h3>
<p>A normal test page proves the printer can produce clean output outside the
application. The next theory should be closer to the application or driver
interaction that creates the bad job.</p>"	medium	basic	220-1201 5.6 - Troubleshooting Printers	Professor Messer 220-1201 v1.70 p.56; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.6	A+::220-1201::5.6 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingPrinters Basic Application Printer TestPage Source::Messer-v170
5.6-B009	<p>When clearing a printer paper jam, what should you avoid doing?</p>	<p>Protect the printer mechanism while removing the paper.</p>	<p><strong>Avoid tearing the paper or damaging internal printer components.</strong></p>	"<h3>Why</h3>
<p>Forced removal can leave scraps inside the paper path or damage rollers and
sensors. Careful removal preserves the evidence and prevents a simple jam from
becoming a hardware repair.</p>"	easy	basic	220-1201 5.6 - Troubleshooting Printers	Professor Messer 220-1201 v1.70 p.56; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.6	A+::220-1201::5.6 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingPrinters Basic HighYield PaperJam Printer Safety Source::Messer-v170
5.6-B010	"<p>Paper is stuck deep inside a printer and does not come out easily. What is the
safest next step?</p>"		"<p><strong>Stop forcing it and follow the printer's approved jam-removal process or
escalate for service.</strong></p>"	"<h3>Why</h3>
<p>Printer paper paths vary by model. If paper does not release normally, forcing
it can damage internal components or leave torn pieces behind.</p>"	medium	basic	220-1201 5.6 - Troubleshooting Printers	Professor Messer 220-1201 v1.70 p.56; CompTIA 220-1201 Exam Objectives v2.0, Objective 5.6	A+::220-1201::5.6 A+::220-1201::Domain5-Troubleshooting A+::220-1201::TroubleshootingPrinters Basic PaperJam Printer Safety Source::Messer-v170
