#separator:Tab
#html:true
#tags column:9
#columns:Card ID	Text	Extra	Instructor Notes	Difficulty	Card Type	Objective	Source	Tags
3.5-C001	<p>ATX expands to {{c1::Advanced Technology Extended}}.</p>	<p>ATX is the full-size desktop form factor listed for this objective.</p>	"<h3>Distinction</h3>
<p>Use ATX when expansion room and standard desktop case fit matter more than minimizing board size.</p>"	easy	cloze	220-1201 3.5 - Motherboards, CPUs, and Add-on Cards	Professor Messer 220-1201 v1.70 p.34; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.5	A+::220-1201::3.5 A+::220-1201::Domain3-Hardware A+::220-1201::MotherboardsCPUsandAddonCards Cloze Motherboard FormFactor Source::Messer-v170
3.5-C002	<p>PCIe expands to {{c1::Peripheral Component Interconnect Express}}.</p>	<p>PCIe is the modern expansion interface used by many adapter cards.</p>	"<h3>Distinction</h3>
<p>PCIe replaced the older PCI bus for most modern expansion-card scenarios.</p>"	easy	cloze	220-1201 3.5 - Motherboards, CPUs, and Add-on Cards	Professor Messer 220-1201 v1.70 p.35; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.5	A+::220-1201::3.5 A+::220-1201::Domain3-Hardware A+::220-1201::MotherboardsCPUsandAddonCards Cloze PCIe ExpansionCards Source::Messer-v170
3.5-C003	<p>SATA expands to {{c1::Serial Advanced Technology Attachment}}.</p>	<p>SATA is commonly shortened as Serial ATA.</p>	"<h3>Distinction</h3>
<p>In Objective 3.5, SATA is a motherboard connector type; in Objective 3.4, it also appears as a storage-device interface.</p>"	easy	cloze	220-1201 3.5 - Motherboards, CPUs, and Add-on Cards	Professor Messer 220-1201 v1.70 p.26; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.5	A+::220-1201::3.5 A+::220-1201::Domain3-Hardware A+::220-1201::MotherboardsCPUsandAddonCards Cloze SATA Storage Source::Messer-v170
3.5-C004	<p>eSATA is the {{c1::external}} version of SATA.</p>	<p>Objective 3.5 lists both SATA and eSATA as motherboard connector types.</p>	"<h3>Distinction</h3>
<p>The leading ""e"" is the reminder that eSATA is for external SATA connections.</p>"	easy	cloze	220-1201 3.5 - Motherboards, CPUs, and Add-on Cards	Professor Messer 220-1201 v1.70 p.26; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.5	A+::220-1201::3.5 A+::220-1201::Domain3-Hardware A+::220-1201::MotherboardsCPUsandAddonCards Cloze SATA Storage Source::Messer-v170
3.5-C005	<p>UEFI expands to {{c1::Unified Extensible Firmware Interface}}.</p>	<p>UEFI is the modern firmware interface listed in Objective 3.5.</p>	"<h3>Distinction</h3>
<p>UEFI is firmware, not an operating system. It configures platform behavior before the OS takes over.</p>"	easy	cloze	220-1201 3.5 - Motherboards, CPUs, and Add-on Cards	Professor Messer 220-1201 v1.70 p.36; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.5	A+::220-1201::3.5 A+::220-1201::Domain3-Hardware A+::220-1201::MotherboardsCPUsandAddonCards Cloze UEFI BIOS Source::Messer-v170
3.5-C006	<p>TPM expands to {{c1::Trusted Platform Module}}.</p>	<p>A TPM provides hardware-backed cryptographic functions for a local system.</p>	"<h3>Distinction</h3>
<p>A TPM is tied to one device, which is why it is commonly associated with local device encryption and trust.</p>"	easy	cloze	220-1201 3.5 - Motherboards, CPUs, and Add-on Cards	Professor Messer 220-1201 v1.70 pp.37-38; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.5	A+::220-1201::3.5 A+::220-1201::Domain3-Hardware A+::220-1201::MotherboardsCPUsandAddonCards Cloze HighYield TPM Encryption Source::Messer-v170
3.5-C007	<p>HSM expands to {{c1::Hardware Security Module}}.</p>	<p>An HSM is often used to protect cryptographic keys for many systems or services.</p>	"<h3>Distinction</h3>
<p>An HSM is the centralized or shared-key counterpart to the single-system TPM concept.</p>"	easy	cloze	220-1201 3.5 - Motherboards, CPUs, and Add-on Cards	Professor Messer 220-1201 v1.70 p.38; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.5	A+::220-1201::3.5 A+::220-1201::Domain3-Hardware A+::220-1201::MotherboardsCPUsandAddonCards Cloze HSM Encryption Source::Messer-v170
3.5-C008	<p>ARM expands to {{c1::Advanced RISC Machine}}.</p>	<p>The official objective expands RISC as Reduced Instruction Set Computer.</p>	"<h3>Distinction</h3>
<p>ARM is associated in this objective with efficient, low-power, low-heat systems.</p>"	easy	cloze	220-1201 3.5 - Motherboards, CPUs, and Add-on Cards	Professor Messer 220-1201 v1.70 p.38; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.5	A+::220-1201::3.5 A+::220-1201::Domain3-Hardware A+::220-1201::MotherboardsCPUsandAddonCards Cloze HighYield ARM CPU Source::Messer-v170
3.5-C009	<p>x64 refers to a {{c1::64-bit}} PC CPU architecture.</p>	<p>Objective 3.5 contrasts x86/x64 with ARM architecture.</p>	"<h3>Distinction</h3>
<p>x64 is the 64-bit PC architecture term commonly contrasted with x86 in operating system and driver compatibility discussions.</p>"	easy	cloze	220-1201 3.5 - Motherboards, CPUs, and Add-on Cards	Professor Messer 220-1201 v1.70 p.38; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.5	A+::220-1201::3.5 A+::220-1201::Domain3-Hardware A+::220-1201::MotherboardsCPUsandAddonCards Cloze CPU Architecture Source::Messer-v170
3.5-C010	<p>POST expands to {{c1::Power-On Self-Test}}.</p>	<p>POST is part of the firmware startup process before the operating system loads.</p>	"<h3>Distinction</h3>
<p>POST happens early in startup and checks core hardware before normal OS loading.</p>"	easy	cloze	220-1201 3.5 - Motherboards, CPUs, and Add-on Cards	Professor Messer 220-1201 v1.70 p.36; CompTIA 220-1201 Exam Objectives v4.0, Objective 3.5	A+::220-1201::3.5 A+::220-1201::Domain3-Hardware A+::220-1201::MotherboardsCPUsandAddonCards Cloze BIOS POST Source::Messer-v170
